"id"	"family"	"title"	"doi"	"tei_path"	"openalex_cited_by_count"	"openalex_id"	"citation_retrieved_at"	"citation_tier"	"screening_decision"	"screening_reason"	"primary_parametric_dgp_analysis"	"influential_contextual_stratum"	"monte_carlo_status"	"n_simulation_experiments"	"n_dgp_structures"	"n_cells_by_experiment"	"n_dgp_cells_main_text"	"cell_count_status"	"n_replications_by_experiment"	"internal_bootstrap_counts"	"randomization_counts"	"real_data_status"	"n_real_datasets"	"real_dataset_class"	"real_dataset_names"	"real_data_role"	"n_real_with_perf"	"out_of_sample_evaluation"	"validation_scheme"	"method_proposed"	"comparators"	"metrics"	"simulation_sections_reviewed"	"simulation_text_characters_reviewed"	"simulation_scope_note"	"simulation_evidence_section"	"simulation_evidence_excerpt"	"real_data_evidence_section"	"real_data_evidence_excerpt"	"coding_status"	"coder_notes"	"axis_sample_size"	"axis_spatial_dependence"	"axis_weights_geometry"	"axis_noise_snr"	"axis_error_distribution"	"axis_heteroskedasticity"	"axis_nonlinearity"	"axis_x_correlation"	"axis_spatial_scale"	"axis_measurement_error"	"axis_missing_data"
"E06"	"spatial_econometrics"	"Efficient estimation of the semiparametric spatial autoregressive model"	"10.1016/j.jeconom.2009.10.031"	"corpus\papers\tei\E06.tei.xml"	"46"	"https://openalex.org/W2149504484"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"multiple error distributions"	"unclear"	"unclear"	"table_reconstruction_required"	"1000"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"adaptive semiparametric SAR estimator"	"adaptive estimator; OLS; benchmark likelihood-based estimators"	"bias; MSE"	"Finite Sample Performance"	"7613"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Finite Sample Performance"	"The behaviour of our adaptive estimates in …nite sample sizes was examined in a small Monte Carlo study. The spatial weight matrix W given by (1.4) was employed, with three di¤erent choices of (p; q): (8,12), (11,18), (14,28). These correspond to n = 96, 198 and 392, and are intended to represent a slow approach to the asymptotic behaviour of (3.1). For each n, scalar explanatory variables x 1 ; :::; x n were generated as iid uniform (0; 1) observations, and then kept …xed throughout the study, to conform to the non-stochastic aspect of Assumption 2. The "" i we"	""	""	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"unclear"	"unclear"	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E07"	"spatial_econometrics"	"On Two-Step Estimation of a Spatial Autoregressive Model with Autoregressive Disturbances and Endogenous Regressors"	"10.1080/07474938.2013.741020"	"corpus\papers\tei\E07.tei.xml"	"232"	"https://openalex.org/W1999854284"	"2026-09-17"	"high_200_499"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"1 SARAR with endogenous regressor"	"four lattice/sample configurations × parameter settings"	"unclear"	"table_reconstruction_required"	"2500"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"two-step estimator for SARAR with endogenous regressors"	"proposed estimator and associated tests"	"bias; SD; estimated SD; rejection rate; R2"	"Monte Carlo Study | Monte Carlo Experiments | Monte Carlo Results"	"6702"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Monte Carlo Experiments"	"The model we employ in our Monte Carlo analysis is a special case of the one specified in (1) and ( 2 ) with M  = W  , one outside endogenous variable in Y  = e y  and one exogenous variable in X  = x  : We have dropped the zero subscripts used to identify the true parameter values to simplify the notation. The outside endogenous variable is assumed to be generated as: where e x  is an exogenous variable, e ²  is an  × 1 vector of innovations, and e  and e  are coefficients. To simulate the d"	""	""	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E08"	"spatial_econometrics"	"GMM estimation of spatial autoregressive models with moving average disturbances"	"10.1016/j.regsciurbeco.2013.09.002"	"corpus\papers\tei\E08.tei.xml"	"25"	"https://openalex.org/W3126137460"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"2"	"SARMA(1,1); SARMA(0,1), each with parameter settings"	"lower_bound_2"	"lower_bound"	"1000"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"bilateral trade-flow gravity data"	"empirical illustration"	"unclear"	"no"	"unclear"	"best GMM estimator (BGMME)"	"BGMME; MLE; QMLE; GS2SLSE"	"bias; RMSE; precision/efficiency"	"Introduction | Design | Results"	"15778"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Results"	"e bias, while the GS2SLSE of ρ 0 has positive bias. The additional moment functions exploited by the BGMME of ρ 0 seem to improve the precision of the estimator in both cases. The simulation results for β 10 and β 20 are presented in Tables 5 through 8 . We find that all estimators impose almost no bias on β 1 and β 2 , except for the MLE and the QMLE when λ 0 = -0.6. Both BGMME and GS2SLSE are as precise as the MLE in case (1). In case (2), the BGMME is more efficient than both QMLE and GS2SLSE as indicated by RMSEs. This result indicates that the additional moment functions considered for the BGMME are more useful for the estimation of the…"	"Empirical illustration"	"[Empirical illustration] The empirical illustration replicates columns 1-3 of Table 2 in Behrens et al. (2012), which estimates the so-called gravity equation system using techniques borrowed from spatial econometrics. The gravity equation system yields convenient regression specifications for the analysis of bilateral trade flows. However, estimation is not straightforward owing to the problem of how to account for the interdependence between trade flows. Some earlier studies try to control for interdependence by employing ad hoc regional remoteness indices or by including origin and destination specific fixed effects. Such approaches implicitly assume that trade flows between any two trading partners are independent from the rest of the world, which has no theoretical foundation. Behrens et al. (2012) makes the observation that structural estimation of gravity equation systems depends on the correct treatment of the unobservable price indices. Their idea is to utilize, instead, some other observed factor that has one-to-one correspondence with unobserved price indices. To do so, they derive a gravity equation from the quantity-based version of the constant elasticity of substitution (CES) model by making the observation that price indices in this model are implicit functions of trade flows. Conveniently, the solution yields an econometric specification that properly accounts…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"unclear"
"E09"	"spatial_econometrics"	"Spatial autoregressive models with unknown heteroskedasticity: A comparison of Bayesian and robust GMM approach"	"10.1016/j.regsciurbeco.2013.12.003"	"corpus\papers\tei\E09.tei.xml"	"22"	"https://openalex.org/W2025757672"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"heteroskedastic SAR"	"4 spatial-layout combinations × parameter settings"	"lower_bound_4"	"lower_bound"	"1000"	"none"	"none_explicitly_found"	"yes"	"2"	"2"	"Boston housing; dual gravity/trade data"	"two illustrative applications"	"unclear"	"no"	"unclear"	"robust GMM and Bayesian MCMC estimators"	"MLE; RGMME; Bayesian BE1; Bayesian BE2"	"bias; SD; RMSE; direct/indirect/total effects"	"Monte Carlo experiments | Simulation results"	"8563"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Introduction"	"present study, we evaluate the performance of various heteroskedasticity robust estimators suggested in the literature for spatial autoregressive models. To this end, we conduct a Monte Carlo study and provide two empirical illustrations to show how these estimators perform in applied research. In the presence of heteroskedastic disturbances, the ML and GMM estimators are generally inconsistent. The ML estimator is inconsistent if heteroskedasticity is not incorporated into estimation, because the likelihood function is not maximized at the true parameter values. 2 The GMM estimators are also inconsistent since the moment functions are often…"	"Housing price model | Dual gravity model"	"[Housing price model] In the first illustrative application, the Harrison and Rubinfeld (1978) data set described in Gilley and Kelley Pace (1996) is used to estimate a hedonic housing-price model for a sample of 506 observations of census tracts in the Boston Standard Metropolitan Area in 1970. This data set has been used by many authors to illustrate various econometric techniques, see for example LeSage (1999) and Baltagi (2008). In this application, the median house price is explained by thirteen variables that are described more fully in Table 9 of Appendix C: per-capita crime rate by town, proportion of residential land zoned for lots over 25,000 ft 2 , proportion of non-retail business acres per town, Charles River dummy variable, nitric oxides concentration parts per 10 million, average number of rooms per dwelling, proportion of owner-occupied units built prior to 1940, weighted distance to five Boston employment centers, index of accessibility to radial highways, full-value property tax rate, pupil-teacher ratio by town, proportion of blacks per town, and proportion of lower class per town. 37 We construct a contiguity weight matrix following LeSage (1999, p.115). 38 The estimation results are given in Table 1 . First of all, the null hypothesis of no heteroskedasticity is rejected as indicated by the Breusch-Pagan LM tests and its Koenker version. 39 The presence of…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E10"	"spatial_econometrics"	"Estimating a spatial autoregressive model with an endogenous spatial weight matrix"	"10.1016/j.jeconom.2014.08.008"	"corpus\papers\tei\E10.tei.xml"	"312"	"https://openalex.org/W2075346238"	"2026-09-17"	"high_200_499"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"1 endogenous-W SAR"	"3 endogeneity levels × 2 spatial-dependence levels = 6, before other settings"	"lower_bound_6"	"lower_bound"	"1000"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"IV/QML/GMM estimators for endogenous W"	"two-stage IV; QMLE; GMM; conventional SAR with alternative W"	"mean; bias; empirical SD; estimated SE"	"Data generating process | Monte Carlo results"	"3723"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Data generating process"	"In this section, we evaluate four estimation methods of a SAR with an endogenous W n . The data generating process (DGP) is where x i,n = (x i1,n , x i2,n ) ′ with x i1,n = 1 and x i2,n ∼ N(0, 1); β 1 = β 2 = 1. Here we let X 1n = X 2n = X n . The endogenous, row-normalized W n = (w ij,n ) is constructed as follows: In the simulation, we compare four different estimation methods: conventional IV, 2SIV, conventional MLE of SAR, and the MLE in Section 3.2. The conventional method refers to the case of treating W n as exogenous. We refer to these four methods as IV, 2SIV, SAR, and"	""	""	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E11"	"spatial_econometrics"	"Modified QML estimation of spatial autoregressive models with unknown heteroskedasticity and nonnormality"	"10.1016/j.regsciurbeco.2015.02.003"	"corpus\papers\tei\E11.tei.xml"	"42"	"https://openalex.org/W2740655325"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"3 error DGPs plus SARAR extension"	"main SAR factorial; smaller SARAR comparison"	"unclear"	"table_reconstruction_required"	"1000; 1000"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"modified QMLE"	"QMLE; MQMLE; GMME; RGMME; ORGMME; 2SLSE; root estimator; three-step SARAR estimator"	"mean; bias; RMSE; SD; robust estimated SE"	"Monte Carlo Study"	"1505"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Monte Carlo Study"	"Extensive Monte Carlo experiments were conducted to (i) investigate the finite sample behaviour of the original QMLE λn and the modified QMLE (MQMLE) λn proposed in this paper, and their impacts on the estimators of β and σ 2 , with respect to the changes in the sample size, spatial layouts, error distributions and the model parameters when the models are heteroskedastic; and (ii) compare the QMLE and the MQMLE with the non-robust generalized method of moments estimator (GMME) of Lee (2"	""	""	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E12"	"spatial_econometrics"	"A spatial autoregressive model with a nonlinear transformation of the dependent variable"	"10.1016/j.jeconom.2014.12.005"	"corpus\papers\tei\E12.tei.xml"	"47"	"https://openalex.org/W2090343436"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"nonlinear transformations and misspecification/test alternatives"	"estimation designs; functional-form test pairs"	"unclear"	"table_reconstruction_required"	"1000; 1000"	"500"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"MLE; IV/2SLS and simulated optimal IV for nonlinear SAR"	"MLE; IV; 2SLS; simulated optimal IV"	"bias; SD; RMSE; prediction; empirical size; power"	"Introduction | The MLE and its large sample properties | IV and two stage least square estimation | Estimation | Testing functional forms"	"26130"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Estimation"	"In this section, we conduct some Monte Carlo experiments to study the finite sample properties and the robustness of our estimators. Specifically, we would like to investigate the following four issues in the experiments: (1) comparing the marginal effects of nonlinear and linear models; (2) the precision of predictions from nonlinear and linear models if the true model is nonlinear; (3) the finite sample performance of our estimators; and (4) the robustness of the QMLE if ϵ i is not normally distributed. In"	""	""	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"unclear"
"E13"	"spatial_econometrics"	"Estimators of Binary Spatial Autoregressive Models: A Monte Carlo Study"	"10.1111/jors.12116"	"corpus\papers\tei\E13.tei.xml"	"42"	"https://openalex.org/W2153553798"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"1 binary SAR"	"2 sample sizes × 4 rho levels = 8"	"8"	"exact"	"1000"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"comparative study of binary SAR estimators"	"EM; Gibbs; RIS; GMM; linearized GMM"	"mean bias; SD; computation/feasibility"	"Monte Carlo simulations"	"11163"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Monte Carlo simulations"	"In order to make up for the lack of simulation studies for BSAR models (Fleming, 2004) , in this section we compare the properties of these five estimators by Monte Carlo simulations. The set up of the simulations is primarily based on the literature on policy and regime diffusion (e.g. Gleditsch and Ward, 2006; Baturo and Gray, 2009) and on broad similarity with simulations as published in accompaniment of the proposals of estimators discussed in this paper (e.g. McMillen, 1995b; Beron and Vijverberg, 2004; Kl"	""	""	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E14"	"spatial_econometrics"	"Approximate likelihood estimation of spatial probit models"	"10.1016/j.regsciurbeco.2017.02.002"	"corpus\papers\tei\E14.tei.xml"	"59"	"https://openalex.org/W2590808118"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"3"	"2 (SAR probit; SEM probit)"	"2; 8; 84"	"94"	"exact"	"1000; 1000; 1000"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"Urbansimul parcel data, Provence"	"empirical performance illustration"	"unclear"	"no"	"unclear"	"approximate full/conditional likelihood for spatial probit"	"RIS; CLUC reorderings; full likelihood; conditional likelihood; standard probit"	"bias; SD; RMSE; log-likelihood; computation time"	"Monte Carlo simulations | Experiment 1: Reordering scheme and a comparison with existing algorithms | Experiment 2: Conditional vs. full-likelihood method | Experiment 3: Conditional-likelihood estimations for big sample sizes"	"10514"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Monte Carlo simulations"	"We planned three Monte Carlo experiments: 1. the first experiment compares the performance of the RIS estimator of Beron and Vijverberg (2004) and three CLUC methods with different reordering schemes. 2. the second experiment is intended to compare the full-likelihood method vs. the condition method; 3. the third experiment tests the performance of the conditional method in terms of accuracy and estimation time for increasing sample sizes. In all the three experiments, the simulated data are g"	"Numerical considerations for application to large samples | Empirical application"	"[Numerical considerations for application to large samples] The numerical approximation presented in the preceding paragraph can be directly used to compute the likelihood associated to SAR and SEM probit models through Eqs. (4) and (7). Nevertheless, there are a few further precautions that we adopted in order to reduce the computation time of the algorithm and improve the quality of the approximation: • use of sparse matrices and sparse linear algebra, especially for the computations relative to the spatial weight matrices W and M, that have dimension n×n, but usually high sparsity (lot of zero entries); • the inverse matrices I ρW ( -) n -1 and I λM ( -) n -1 are approximated (when n > 1000) with their Taylor expansion I ρW I ρW ρ W ρ W ( -) ∼ + + + + ⋯ n n -1 2 2 3 3 and similarly for I λM ( -) n -1 . This is possible since W (resp. M) is row-standardised and the spatial lag parameter ρ (resp. spatial error parameter λ) is contained in the [ -1, 1] interval, hence all of the eigenvalues of ρW (resp. λM ) have absolute value smaller than 1. We will denote with o W the order of the Taylor approximation of I ρW ( -) n -1 and . A discussion on the appropriate value of the order of approximation o W , based on the results of a Monte Carlo experiment, is proposed in the Appendix C. • the most time-consuming part of the entire algorithm is the Cholesky decomposition of the sparse…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"G01"	"GWR_MGWR_SVC"	"Geographically Weighted Regression: A Method for Exploring Spatial Nonstationarity"	"10.1111/j.1538-4632.1996.tb00936.x"	"corpus\papers\tei\G01.tei.xml"	"3571"	"https://openalex.org/W2047120335"	"2026-09-17"	"very_high_500_plus"	"retain_influential_contextual_stratum"	"Foundational GWR article retained for historical context; randomization-based assessment is not a parametric DGP Monte Carlo experiment."	"no"	"yes"	"randomization_only"	"0"	"0"	"0"	"0"	"not_applicable"	"not_applicable"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"Tyne and Wear car-ownership wards"	"case study"	"unclear"	"yes"	"unclear"	"unclear"	"Thus, the observed values of / 3 or si could be compared TABLE 1 Variables Used in GWR Example Dependent or Variable Numerator Denominator Independent Male Unemployment Male Population Population I Seeking Work Economically Active Social Class I Households with Total Households I Head in Social Class I Cars per Households Number of Cars Number of D Households (100s) to these randomization distributions in order to p… | or si will also give a significance test when compared with the observed statistics."	"standard deviation; standard error"	"Testing For Spatial Nonstationarity | Application of GWR"	"9187"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Testing For Spatial Nonstationarity"	"distributions under the null hypothesis that model (1) holds. Although it is proposed to consider theoretical properties of these distributions in the future, for the time being a Monte Carlo approach will be adopted. Under the null hypothesis, any permutation of (.i,yi) pairs among the geographical sampling points i are equally likely to occur. Thus, the observed values of / 3 or si could be compared TABLE 1 Variables Used in GWR Example Dependent or Variable Numerator Denominator Independent Male Unemployment Male Population Population I Seeking Work Economically Active Social Class I Households with Total Households I Head in Social Class…"	"Application of GWR"	"[Application of GWR] As GWR is a sample-point-based technique, the variables associated with each ward are assumed to be samples taken at the centroid of that ward so that the point i is defined as the centroid of ward i. In this way, distance decay TABLE 2 Global OLS Regression Results Parameter Estimated Value Standard Error t value Intercept Social Class Unemployment R2 = .83 88.5 1.88 -1.83 2.89 0.33 0.11 30.6 5.7 16.6 effects will still apply, with the influence of each ward on the estimate of aik being reduced as the distance of the ward centroid from i increases. This also provides a useful means of mapping the results of the analysis: if aik is estimated for each ward centroid, and that value is assigned to the relevant ward, then a choropleth map of the variation in the coefficients may be drawn. These coefficient values may then also be used as a basis for the significance tests described above. GWR models with the spatial weighting function described in (9) with various values of B were .applied to the data described in Table 1 and in Figures 2 3 4 . The value of the cross-validation sum of squared errors CVSS is graphed as a function of B in Figure 5 . From this it may be seen that there is a globally optimal value of /3 at around 0.303 which was confirmed by a Golden Section optimization routine. At this value the CV score is roughly half that for the global regre…"	"screening_resolved_contextual"	"Retained outside the parametric-DGP denominator. No TEI for this record is present among the current 67-file corpus; classification follows the previously verified distinction requested by the user."	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"G02"	"GWR_MGWR_SVC"	"Geographically Weighted Regression"	"10.1111/1467-9884.00145"	"corpus\papers\tei\G02.tei.xml"	"1588"	"https://openalex.org/W2045066934"	"2026-09-17"	"very_high_500_plus"	"retain_influential_contextual_stratum"	"Foundational GWR article retained for historical context; randomization-based assessment is not a parametric DGP Monte Carlo experiment."	"no"	"yes"	"randomization_only"	"0"	"0"	"0"	"0"	"not_applicable"	"not_applicable"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"limiting long-term illness data"	"worked empirical example"	"unclear"	"unclear"	"unclear"	"unclear"	"In this section, we shall consider the development of a hypothesis test for against One useful statistic to measure the variability of â ij as i varies for a ®xed j is the variance of â ij across i: where a dot in a subscript position denotes averaging over that subscript. | Therefore, using Monte Carlo tests it should be possible to compare the distribution of the v j under the randomization hypothesis. | By carrying out a randomization test similar to that set out above, it is possible to compare simulated s-values, chosen to optimize equation ( 10 ), with those for the actual data."	"standard error"	"Testing the geographically weighted regression hypothesis | Alternative methods for assessing the spatial variability of coef®cients | Results of geographically weighted regression"	"8203"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Testing the geographically weighted regression hypothesis"	"f®cient corresponding to v j is ®xed. For individual variables, hypothesis (11) could be tested if the null distribution of v j were known. Unfortunately this is not the case, but Monte Carlo techniques (Hope, 1968 ) offer an alternative approach. For this particular problem a randomization test may be carried out. Under hypothesis H 0 we assume that the â ij do not vary with i for variable j. This suggests that, if the GWR model were to be calibrated with the locations of the observations randomly assigned to the predictor and response variables, there should be little difference in the patterns of â ij Ðif the â ij are ®xed over space then…"	""	""	"screening_resolved_contextual"	"Retained outside the parametric-DGP denominator. No TEI for this record is present among the current 67-file corpus; classification follows the previously verified distinction requested by the user."	"unclear"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"
"G03"	"GWR_MGWR_SVC"	"A Simulation-Based Study of Geographically Weighted Regression as a Method for Investigating Spatially Varying Relationships"	"10.1068/a44111"	"corpus\papers\tei\G03.tei.xml"	"242"	"https://openalex.org/W2002607717"	"2026-09-17"	"high_200_499"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"2 (stationary coefficients; spatially varying coefficients)"	"14 DGP cells; 14 DGP cells"	"28"	"exact"	"100 per cell; 100 per cell"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"unclear"	"unclear"	"GWR reliability assessment"	"global regression; standard GWR; locally linear GWR"	"coefficient accuracy; coefficient correlation; prediction error; false-positive behavior"	"Experimental design"	"17285"	"Each experiment crosses 2 spatial systems (Georgia and Toronto) with 7 predictor-correlation levels, giving 14 DGP cells. Kernel, cross-validation and estimator variants are method settings, not additional DGP cells. The second experiment restricts estimator variants for Toronto but retains the same 14 DGP cells."	"Previous research"	"led numerical experiments. Wheeler and Tiefelsdorf (2005) first sought to elucidate the link between collinearity in GWR and correlation of estimated regression coefficients using simulation studies. For their investigation Wheeler and Tiefelsdorf (2005) designed the data-generating process by fixing the true regression coefficients to global constants (set to 1) and selecting a pair of explanatory variables and disturbances based on the eigenvectors of a transformation of the spatial connectivity matrix of the 159 counties of Georgia, USA. The explanatory variables in this experiment had a spatial pattern but were uncorrelated with each oth…"	""	""	"simulation_manually_verified"	"Full TEI rechecked. The text explicitly states 100 independent realizations for every correlation level; exact DGP-cell total reconstructed without counting estimator settings."	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"
"G04"	"GWR_MGWR_SVC"	"Multiscale Geographically Weighted Regression (MGWR)"	"10.1080/24694452.2017.1352480"	"corpus\papers\tei\fotheringham2017_Wenbai Yang, and Wei Kang.tei.xml"	"1370"	"https://openalex.org/W2747207142"	"2026-09-17"	"very_high_500_plus"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"2 (unequal spatial heterogeneity; equal spatial heterogeneity)"	"1; 1"	"2"	"exact"	"100; 100"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"Irish Famine electoral divisions"	"empirical illustration"	"unclear"	"no"	"unclear"	"MGWR"	"OLS; GWR; MGWR"	"bandwidth recovery; parameter-surface RMSE; residual sum of squares; computation time"	"Simulation Design | Simulation Design 1 | Simulation Design 2 | Simulation Design 1 | Simulation Design 2"	"4667"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Simulation Design"	"imates of the response variable than GWR? 4. MGWR is a big model-how much longer does it take to run than GWR? These questions are examined by applying MGWR and GWR to a series of simulated data sets with known properties and varying levels of spatial heterogeneity across local parameter surfaces. To construct these simulated databases, the basis for the data generating process (DGP) is the GWR-like linear model in Equation ( 1 ). The spatial layout consists of a regular 25 £ 25 lattice. 3 We produced m parameter surfaces of different levels of spatial heterogeneity, generated normally distributed predictor variables x as well as a normally…"	"An Empirical Example of the Irish Famine"	"[An Empirical Example of the Irish Famine] To provide an empirical application of MGWR to real data, we used data on population change between 1841 and 1851 for 2,317 electoral divisions (EDs) in the Republic of Ireland, which covers the period of the Great Famine (1845-1850), during which there was a large but spatially uneven decline in the population of Ireland due to death and emigration. To examine the spatial variation in population loss, for each ED we have data on eight predictor variables shown to be significantly related to population change in an earlier study by Fotheringham, Kelly, and Charlton (2013) and described in Table 3 . 5 An adaptive bandwidth was used for both the GWR and MGWR calibrations. The GWR calibration yielded an optimal bandwidth of 136 nearest neighbors, implying fairly localized processes. The MGWR model calibration converged after forty iterations and variation), and ""mean elevation"" (local variation), respectively. In Figure 16 it can be seen that the local parameter estimates for the variable ""distance to the coast"" derived from the MGWR model are uniformly negative across the country and are close to zero, indicating that proximity to the coast had little or no effect on population decline throughout the whole of the country. In contrast, the GWR estimates suggest that there is some spatial variation in the effect of distance to the coast,…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"unclear"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"
