"id"	"family"	"title"	"doi"	"status"	"path"	"bytes"	"pages"	"title_check"	"tei_status"	"tei_path"	"tei_bytes"	"tei_paragraphs"
"S08"	"geostatistics_GP"	"A Multi-Resolution Approximation for Massive Spatial Datasets"	"10.1080/01621459.2015.1123632"	"available"	"corpus\papers\raw_pdf\S08.pdf"	"1184825"	"23"	"6/6"	"available"	"corpus\papers\tei\S08.tei.xml"	"112780"	"109"
"S09"	"geostatistics_GP"	"Modeling spatial data using local likelihood estimation and a Matérn to spatial autoregressive translation"	"10.1002/env.2652"	"available"	"corpus\papers\raw_pdf\S09.pdf"	"1583208"	"15"	"10/10"	"available"	"corpus\papers\tei\S09.tei.xml"	"85609"	"68"
"S10"	"geostatistics_GP"	"A Vecchia approximation for high-dimensional Gaussian cumulative distribution functions arising from spatial data"	"10.1080/00949655.2021.2016759"	"available"	"corpus\papers\raw_pdf\S10.pdf"	"1088406"	"19"	"10/10"	"available"	"corpus\papers\tei\S10.tei.xml"	"71258"	"55"
"T01"	"spatiotemporal_panel"	"Panel data models with spatially correlated error components"	"10.1016/j.jeconom.2006.09.004"	"available"	"corpus\papers\raw_pdf\T01.pdf"	"386617"	"47"	"8/8"	"available"	"corpus\papers\tei\T01.tei.xml"	"138589"	"170"
"T02"	"spatiotemporal_panel"	"QML Estimation of Spatial Dynamic Panel Data Models with Time Varying Spatial Weights Matrices"	"10.1080/17421772.2011.647057"	"available"	"corpus\papers\raw_pdf\T02.pdf"	"740838"	"45"	"11/11"	"available"	"corpus\papers\tei\T02.tei.xml"	"206226"	"186"
"T03"	"spatiotemporal_panel"	"Spatial dynamic panel data models with interactive fixed effects"	"10.1016/j.jeconom.2016.12.001"	"available"	"corpus\papers\raw_pdf\T03.pdf"	"1132559"	"53"	"9/9"	"available"	"corpus\papers\tei\T03.tei.xml"	"158629"	"220"
"T04"	"spatiotemporal_panel"	"QML estimation of spatial dynamic panel data models with endogenous time varying spatial weights matrices"	"10.1016/j.jeconom.2016.11.004"	"available"	"corpus\papers\raw_pdf\T04.pdf"	"608398"	"58"	"12/12"	"available"	"corpus\papers\tei\T04.tei.xml"	"168788"	"320"
"T05"	"spatiotemporal_panel"	"A spatial panel data model with time varying endogenous weights matrices and common factors"	"10.1016/j.regsciurbeco.2017.03.007"	"available"	"corpus\papers\raw_pdf\T05.pdf"	"1924152"	"29"	"12/12"	"available"	"corpus\papers\tei\T05.tei.xml"	"221357"	"237"
"T06"	"spatiotemporal_panel"	"Estimation of fixed effects spatial dynamic panel data models with small T and unknown heteroskedasticity"	"10.1016/j.regsciurbeco.2020.103520"	"available"	"corpus\papers\raw_pdf\T06.pdf"	"430006"	"36"	"9/10"	"available"	"corpus\papers\tei\T06.tei.xml"	"128990"	"159"
"T07"	"spatiotemporal_panel"	"Spatial dynamic panel data models with correlated random effects"	"10.1016/j.jeconom.2020.05.016"	"available"	"corpus\papers\raw_pdf\T07.pdf"	"785805"	"31"	"3/9"	"available"	"corpus\papers\tei\T07.tei.xml"	"205438"	"232"
"T08"	"spatiotemporal_panel"	"Estimation and model selection in general spatial dynamic panel data models"	"10.1073/pnas.1917411117"	"available"	"corpus\papers\raw_pdf\T08.pdf"	"1629912"	"7"	"9/9"	"available"	"corpus\papers\tei\T08.tei.xml"	"55103"	"65"
"T09"	"spatiotemporal_panel"	"Minimum distance quantile regression for spatial autoregressive panel data models with fixed effects"	"10.1371/journal.pone.0261144"	"available"	"corpus\papers\raw_pdf\T09.pdf"	"855933"	"13"	"10/10"	"available"	"corpus\papers\tei\T09.tei.xml"	"64356"	"79"
"T10"	"spatiotemporal_panel"	"Modeling Nonstationarity in Space and Time"	"10.1111/biom.12656"	"available"	"corpus\papers\raw_pdf\T10.pdf"	"1292149"	"10"	"4/4"	"available"	"corpus\papers\tei\T10.tei.xml"	"81042"	"45"
"C01"	"complementary"	"A tuning parameter free test for properties of space-time covariance functions"	"10.1016/j.jspi.2009.05.008"	"available"	"corpus\papers\raw_pdf\C01.pdf"	"156843"	"8"	"9/9"	"available"	"corpus\papers\tei\C01.tei.xml"	"61828"	"39"
"C02"	"complementary"	"Spatial measurement error and correction by spatial SIMEX in linear regression models when using predicted air pollution exposures"	"10.1093/biostatistics/kxv048"	"available"	"corpus\papers\raw_pdf\C02.pdf"	"363565"	"24"	"10/10"	"available"	"corpus\papers\tei\C02.tei.xml"	"97803"	"76"
"C03"	"complementary"	"A double fixed rank kriging approach to spatial regression models with covariate measurement error"	"10.1002/env.2771"	"available"	"corpus\papers\raw_pdf\C03.pdf"	"6761316"	"17"	"12/12"	"available"	"corpus\papers\tei\C03.tei.xml"	"120016"	"73"
"C04"	"complementary"	"PDE-regularised spatial quantile regression"	"10.1016/j.jmva.2024.105381"	"available"	"corpus\papers\raw_pdf\C04.pdf"	"7122614"	"22"	"4/4"	"available"	"corpus\papers\tei\C04.tei.xml"	"185147"	"160"
"C05"	"complementary"	"Quantile regression for partially linear varying coefficient spatial autoregressive models"	"10.1080/03610918.2022.2154365"	"available"	"corpus\papers\raw_pdf\C05.pdf"	"302328"	"27"	"8/9"	"available"	"corpus\papers\tei\C05.tei.xml"	"95320"	"110"
