category;bib_key;title;dataset_doi;data_access_url;note
depot_non_gere_automatiquement;Warehouse_2007_MeanAnnualPrecipitationMm_10_15493_sarva_b;Mean Annual Precipitation (mm);10.15493/sarva.beeh.10000054;https://api.odp.saeon.ac.za/catalog/SAEON/go/10.15493/SARVA.BEEH.10000054;
depot_non_gere_automatiquement;Warehouse_2024_FireuriskCanopyFuelParameters_10_21950_ktala8;FirEUrisk_canopy_fuel_parameters: canopy height, canopy cover and canopy base height;10.21950/ktala8;https://edatos.consorciomadrono.es/citation?persistentId=doi:10.21950/KTALA8;
echec_telechargement;Warehouse_2023_TruckIdlingAndParking_10_25338_b8qd38;Truck idling and parking data for AB 617 disadvantaged communities study;10.25338/b8qd38;https://datadryad.org/dataset/doi:10.25338/B8QD38;
depot_non_gere_automatiquement;Warehouse_2024_IntroductionToSpatialStatistics_10_34810_data178;Introduction to spatial statistics;10.34810/data1784;https://dataverse.csuc.cat/citation?persistentId=doi:10.34810/data1784;
depot_non_gere_automatiquement;Warehouse_2025_DatasetOnFormingInduced_10_57760_science;Dataset on forming-induced thickness variations and structural responses in arched thin-shell metal alloys;10.57760/sciencedb.22771;https://www.scidb.cn/detail?dataSetId=a70757a0ddfc4ceead9b503fb6d195bb;
depot_non_gere_automatiquement;Warehouse_2026_DigitalGovernmentConstructionRegional_10_57760_science;Digital Government Construction；Regional Innovation;10.57760/sciencedb.34375;https://www.scidb.cn/detail?dataSetId=13a20b59f999438db611e3d3c0a6bc5c;
depot_non_gere_automatiquement;Warehouse_2026_DownscaledTemperatureAndPrecipitation_10_57760_science;Downscaled temperature and precipitation dataset for the Qilian Mountains region (1961–2022);10.57760/sciencedb.35354;https://www.scidb.cn/detail?dataSetId=66edeba3aeca4494b622394c11715928;
depot_non_gere_automatiquement;Warehouse_2024_SpatialDistributionDatasetOf_10_57760_science;Spatial distribution dataset of soil organic carbon and total nitrogen content in the Northeast Corn Belt (2013);10.57760/sciencedb.iga.00954;https://www.scidb.cn/detail?dataSetId=DS_6f0de565c52c48e78b61675a74e68c5f;
depot_non_gere_automatiquement;Warehouse_2026_ArcticDaily1kmSea_10_57760_science;Arctic daily 1km sea ice drift product: 2018-2020, Version 2.0;10.57760/sciencedb.07192;https://www.scidb.cn/detail?dataSetId=8cf81c7a69004c2ebc94b12ddbb7ae72;
telecharge_sans_geometrie_exploitable;Warehouse_2024_Sdige_10_6084_m9_figsh;SDIGE;10.6084/m9.figshare.26804356;https://figshare.com/articles/dataset/SDIGE/26804356;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2025_ChinesePaintingAndCalligraphy_10_6084_m9_figsh;Chinese painting and calligraphy auction;10.6084/m9.figshare.28560089;https://figshare.com/articles/dataset/Chinese_painting_and_calligraphy_auction/28560089;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2026_DataDescriptionForeignTrade_10_6084_m9_figsh;Data Description: Foreign Trade and Variety Dynamics of Provinces and Sectors in Turkey (2013-2024);10.6084/m9.figshare.33016886;https://figshare.com/articles/dataset/Data_Description_Foreign_Trade_and_Variety_Dynamics_of_Provinces_and_Sectors_in_Turkey_2013-2024_/33016886;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
depot_non_gere_automatiquement;Warehouse_2017_SuperconductingGravimeterDataFrom_10_5880_igets_dj;Superconducting Gravimeter Data from Djougou - Level 1;10.5880/igets.dj.l1.001;http://dataservices.gfz.de/igets/showshort.php?id=escidoc:2308895;
echec_telechargement;Warehouse_2024_DataForClimaticAnd_10_5061_dryad_kd;Data for: Climatic and management-related drivers of endemic European spruce bark beetle populations in boreal forests;10.5061/dryad.kd51c5bdc;https://datadryad.org/dataset/doi:10.5061/dryad.kd51c5bdc;
telechargement_partiel;Warehouse_2020_ReplicationDataForBias_10_7910_dvn_adif;Replication Data for: Bias due to network misspecification under spatial dependence;10.7910/dvn/adifov;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/ADIFOV;
erreur_api_listing;Warehouse_2015_TheImprobableNatureOf_10_7910_dvn_gy65;The Improbable Nature of the Implied Correlation Matrix from Spatial Regression Models;10.7910/dvn/gy65tp;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/GY65TP;
depot_non_gere_automatiquement;Warehouse_2025_SoilDepthLayerFor_10_5066_p13byzhj;Soil depth layer for the Greater Everglades;10.5066/p13byzhj;https://www.sciencebase.gov/catalog/item/689e267ad4be02147c20e525;
telecharge_sans_geometrie_exploitable;Warehouse_2025_RelationshipBetweenTheGeographical_10_6084_m9_figsh;Relationship between the geographical distribution of adolescent body size and photoperiod observed in Japan and China: a spatial analysis;10.6084/m9.figshare.29380355;https://tandf.figshare.com/articles/dataset/Relationship_between_the_geographical_distribution_of_adolescent_body_size_and_photoperiod_observed_in_Japan_and_China_a_spatial_analysis/29380355;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2025_SpatialAnalysisOfRural_10_6084_m9_figsh;Spatial analysis of rural multidimensional poverty in Morocco: a novel approach using satellite nighttime light data;10.6084/m9.figshare.29942044.v1;https://tandf.figshare.com/articles/dataset/Spatial_analysis_of_rural_multidimensional_poverty_in_Morocco_a_novel_approach_using_satellite_nighttime_light_data/29942044/1;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
depot_non_gere_automatiquement;Warehouse_2025_ExploringSocialInteractionsIn_10_14288_1_04484;Exploring Social Interactions in Vancouver's Neighbourhood Parks Through Sentiment Analysis of Google Reviews;10.14288/1.0448471;https://doi.library.ubc.ca/10.14288/1.0448471;
depot_non_gere_automatiquement;Warehouse_2016_AHedonicPricingAnalysis_10_14457_tu_the_;A hedonic pricing analysis: evaluating prices of Bangkok's new condominium along BTS skytrain;10.14457/tu.the.2016.123;http://doi.nrct.go.th/?page=resolve_doi&resolve_doi=10.14457/TU.the.2016.123;
depot_non_gere_automatiquement;Warehouse_2016_ProductivitySpilloverFdiAnd_10_14457_tu_the_;Productivity spillover, FDI and industrial performance in Thailand: a spatial econometric approach;10.14457/tu.the.2016.625;http://doi.nrct.go.th/?page=resolve_doi&resolve_doi=10.14457/TU.the.2016.625;
depot_non_gere_automatiquement;Warehouse_2020_TheImpactOfChina_10_14457_tu_the_;The impact of China's local economic development level on the development of rural e-commerce: a spatial effect analysis;10.14457/tu.the.2020.830;http://doi.nrct.go.th/?page=resolve_doi&resolve_doi=10.14457/TU.the.2020.830;
depot_non_gere_automatiquement;Warehouse_2015_OrthomosaicOfSamoylovIsland_10_1594_pangaea_;Orthomosaic of Samoylov Island, Siberia, summer 2006 (382 MB);10.1594/pangaea.845722;https://doi.pangaea.de/10.1594/PANGAEA.845722;
depot_non_gere_automatiquement;Warehouse_2015_NearInfraredOrthomosaicOf_10_1594_pangaea_;Near-infrared orthomosaic of Samoylov Island, Siberia, summer 2014 (854 MB);10.1594/pangaea.845723;https://doi.pangaea.de/10.1594/PANGAEA.845723;
depot_non_gere_automatiquement;Warehouse_2015_VisibleAndNearInfrared_10_1594_pangaea_;Visible and near-infrared orthomosaic of Samoylov Island, Siberia, summer 2015 (5.3 GB);10.1594/pangaea.845724;https://doi.pangaea.de/10.1594/PANGAEA.845724;
depot_non_gere_automatiquement;Warehouse_2026_SpatialSpilloverEffectsOf_10_17632_2wkgfx4;Spatial Spillover Effects of the Coupling Coordination Degree between Digital Economy and Environmental Regulation on Carbon Productivity;10.17632/2wkgfx4592;https://data.mendeley.com/datasets/2wkgfx4592;
depot_non_gere_automatiquement;Warehouse_2026_ReplicationDataForSpatial_10_17632_5dv8gp2;Replication data for: Spatial Enclaves or Regional Catalysts? A Spatial Econometric Typology of Special Economic Zones in Indonesia;10.17632/5dv8gp22vw;https://data.mendeley.com/datasets/5dv8gp22vw;
depot_non_gere_automatiquement;Warehouse_2026_ReplicationDataForSpatial_10_17632_5dv8gp2;Replication data for: Spatial Enclaves or Regional Catalysts? A Spatial Econometric Typology of Special Economic Zones in Indonesia;10.17632/5dv8gp22vw.1;https://data.mendeley.com/datasets/5dv8gp22vw/1;
depot_non_gere_automatiquement;Warehouse_2026_ReplicationDataForSpatial_10_17632_5dv8gp2;Replication data for: Spatial Enclaves or Regional Catalysts? A Spatial Econometric Typology of Special Economic Zones in Indonesia;10.17632/5dv8gp22vw.2;https://data.mendeley.com/datasets/5dv8gp22vw/2;
depot_non_gere_automatiquement;Warehouse_2026_CountyEconomyData_10_17632_8gcxt4t;COUNTY ECONOMY DATA;10.17632/8gcxt4t33m;https://data.mendeley.com/datasets/8gcxt4t33m;
depot_non_gere_automatiquement;Warehouse_2026_CountyEconomyData_10_17632_8gcxt4t;COUNTY ECONOMY DATA;10.17632/8gcxt4t33m.1;https://data.mendeley.com/datasets/8gcxt4t33m/1;
depot_non_gere_automatiquement;Warehouse_2026_TheCodesAndReal_10_17632_dmgcvm7;"The codes and real-word data supporting paper ""A geographically weighted autoregressive model with an adaptive spatial weights matrix: Construction, estimation, and inference"".";10.17632/dmgcvm7865;https://data.mendeley.com/datasets/dmgcvm7865;
depot_non_gere_automatiquement;Warehouse_2026_TheCodesAndReal_10_17632_dmgcvm7;"The codes and real-word data supporting paper ""A geographically weighted autoregressive model with an adaptive spatial weights matrix: Construction, estimation, and inference"".";10.17632/dmgcvm7865.1;https://data.mendeley.com/datasets/dmgcvm7865/1;
depot_non_gere_automatiquement;Warehouse_2021_DataForAnApplication_10_17632_jycfnxx;Data for: An application of geographically weighted quantile LASSO to weather index insurance design published by RAC-Revista de Administração Contemporânea;10.17632/jycfnxxysp;https://data.mendeley.com/datasets/jycfnxxysp;
depot_non_gere_automatiquement;Warehouse_2021_DataForAnApplication_10_17632_jycfnxx;Data for: An application of geographically weighted quantile LASSO to weather index insurance design published by RAC-Revista de Administração Contemporânea;10.17632/jycfnxxysp.1;https://data.mendeley.com/datasets/jycfnxxysp/1;
depot_non_gere_automatiquement;Warehouse_2020_DataForLocalFuzzy_10_17632_kd5xprh;Data for: Local fuzzy geographically weighted clustering: A new method for geodemographic segmentation.;10.17632/kd5xprhv65;https://data.mendeley.com/datasets/kd5xprhv65;
depot_non_gere_automatiquement;Warehouse_2020_DataForLocalFuzzy_10_17632_kd5xprh;Data for: Local fuzzy geographically weighted clustering: A new method for geodemographic segmentation.;10.17632/kd5xprhv65.1;https://data.mendeley.com/datasets/kd5xprhv65/1;
depot_non_gere_automatiquement;Warehouse_2025_ReplicationDataAndSource_10_17632_mzpz22x;Replication data and source files for Economic, Social, Environmental, and Institutional Factors Shaping Onshore Wind LCOE in Europe: Evidence from Spatial Panel Models;10.17632/mzpz22x58x;https://data.mendeley.com/datasets/mzpz22x58x;
depot_non_gere_automatiquement;Warehouse_2025_ReplicationDataAndSource_10_17632_mzpz22x;Replication data and source files for Economic, Social, Environmental, and Institutional Factors Shaping Onshore Wind LCOE in Europe: Evidence from Spatial Panel Models;10.17632/mzpz22x58x.1;https://data.mendeley.com/datasets/mzpz22x58x/1;
depot_non_gere_automatiquement;Warehouse_2025_ReplicationDataAndSource_10_17632_mzpz22x;Replication data and source files for Economic, Social, Environmental, and Institutional Factors Shaping Onshore Wind LCOE in Europe: Evidence from Spatial Panel Models;10.17632/mzpz22x58x.2;https://data.mendeley.com/datasets/mzpz22x58x/2;
depot_non_gere_automatiquement;Warehouse_2026_TheUnevenEconomicsOf_10_17632_w6z56wt;The Uneven Economics of Protests: Understanding Social Unrest and Income Dynamics in Pakistan;10.17632/w6z56wtgjf;https://data.mendeley.com/datasets/w6z56wtgjf;
depot_non_gere_automatiquement;Warehouse_2026_TheUnevenEconomicsOf_10_17632_w6z56wt;The Uneven Economics of Protests: Understanding Social Unrest and Income Dynamics in Pakistan;10.17632/w6z56wtgjf.1;https://data.mendeley.com/datasets/w6z56wtgjf/1;
depot_non_gere_automatiquement;Warehouse_2026_FeatureGuidedBathymetricInterpolation_10_21227_ebt7_9p;"""Feature-Guided Bathymetric Interpolation Dataset""";10.21227/ebt7-9p03;https://ieee-dataport.org/documents/feature-guided-bathymetric-interpolation-dataset-5;
depot_non_gere_automatiquement;Warehouse_2020_TestingForSpatialGroup_10_23728_b2share;Testing for spatial group‑wise heteroskedasticity in spatial autocorrelation regression models: Lagrange multiplier scan tests [Data set and code];10.23728/b2share.018e440e8b9548a79991ec7deb231308;https://b2share.eudat.eu/records/018e440e8b9548a79991ec7deb231308;
depot_non_gere_automatiquement;Warehouse_2023_IntroductionToCrossSection_10_23728_b2share;"Introduction to cross-section spatial econometric models with applications in R [Data set &amp; Code]";10.23728/b2share.4066171faa9b48329daf3c03de04305e;https://b2share.eudat.eu/records/4066171faa9b48329daf3c03de04305e;
depot_non_gere_automatiquement;Warehouse_2023_IntroductionToCrossSection_10_23728_b2share;Introduction to cross-section spatial econometric models with applications in R [Data and Codes];10.23728/b2share.9d4d0d6e554c4c1cb76312207545e78f;https://b2share.eudat.eu/records/9d4d0d6e554c4c1cb76312207545e78f;
depot_non_gere_automatiquement;Warehouse_2025_BalticSeaAlgalBloom_10_34808_4czj_pp;Baltic Sea algal bloom prediction: multiple Regression Analysis;10.34808/4czj-pp75;https://mostwiedzy.pl/en/open-research-data/baltic-sea-algal-bloom-prediction-multiple-regression-analysis,1030040507107347-0;
trop_volumineux_gt_200mo;Warehouse_2023_DataAssociatedToThe_10_5281_zenodo_1;"Data associated to ""The Direct Cost of Contaminated Brownfield Sites on Real Estate in France: A Quasi-Exhaustive Hedonic Price Analysis""";10.5281/zenodo.10085267;https://zenodo.org/doi/10.5281/zenodo.10085267;
trop_volumineux_gt_200mo;Warehouse_2023_DataAssociatedToThe_10_5281_zenodo_1;"Data associated to ""The Direct Cost of Contaminated Brownfield Sites on Real Estate in France: A Quasi-Exhaustive Hedonic Price Analysis""";10.5281/zenodo.10085268;https://zenodo.org/doi/10.5281/zenodo.10085268;
trop_volumineux_gt_200mo;Warehouse_2024_ActApMobileMonitoring_10_5281_zenodo_1;ACT-AP Mobile Monitoring;10.5281/zenodo.13761281;https://zenodo.org/doi/10.5281/zenodo.13761281;
trop_volumineux_gt_200mo;Warehouse_2024_ActApMobileMonitoring_10_5281_zenodo_1;ACT-AP Mobile Monitoring;10.5281/zenodo.13761282;https://zenodo.org/doi/10.5281/zenodo.13761282;
trop_volumineux_gt_200mo;Warehouse_2025_StordalenMireWaterTable_10_5281_zenodo_1;Stordalen Mire water table depth map from calibrated remote sensing data (2014);10.5281/zenodo.15042288;https://zenodo.org/doi/10.5281/zenodo.15042288;
trop_volumineux_gt_200mo;Warehouse_2025_StordalenMireWaterTable_10_5281_zenodo_1;Stordalen Mire water table depth map from calibrated remote sensing data (2014);10.5281/zenodo.15042289;https://zenodo.org/doi/10.5281/zenodo.15042289;
trop_volumineux_gt_200mo;Warehouse_2025_StordalenMireWaterTable_10_5281_zenodo_1;Stordalen Mire water table depth map from calibrated remote sensing data (2014);10.5281/zenodo.15092752;https://zenodo.org/doi/10.5281/zenodo.15092752;
telecharge_sans_geometrie_exploitable;Warehouse_2025_DatasetForThePaper_10_5281_zenodo_1;"Dataset for the paper ""Evidence of Public Expenditure Spillovers in Mexico: Measuring Spatial Interactions Among Municipal Governments""";10.5281/zenodo.15530851;https://zenodo.org/doi/10.5281/zenodo.15530851;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2025_DatasetForThePaper_10_5281_zenodo_1;"Dataset for the paper ""Evidence of Public Expenditure Spillovers in Mexico: Measuring Spatial Interactions Among Municipal Governments""";10.5281/zenodo.15530852;https://zenodo.org/doi/10.5281/zenodo.15530852;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2025_ThePickingTheFittest_10_5281_zenodo_1;The 'picking the fittest' approach and spatial dynamics in China's artificial intelligence regional development;10.5281/zenodo.17143072;https://zenodo.org/doi/10.5281/zenodo.17143072;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2025_ThePickingTheFittest_10_5281_zenodo_1;The 'picking the fittest' approach and spatial dynamics in China's artificial intelligence regional development;10.5281/zenodo.17143073;https://zenodo.org/doi/10.5281/zenodo.17143073;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
trop_volumineux_gt_200mo;Warehouse_2025_HfEolusTask3_10_5281_zenodo_1;HF-EOLUS. Task 3. MeteoGalicia Wind Interpolation Outputs;10.5281/zenodo.17490872;https://zenodo.org/doi/10.5281/zenodo.17490872;
trop_volumineux_gt_200mo;Warehouse_2025_HfEolusTask3_10_5281_zenodo_1;HF-EOLUS. Task 3. MeteoGalicia Wind Interpolation Outputs;10.5281/zenodo.17670447;https://zenodo.org/doi/10.5281/zenodo.17670447;
trop_volumineux_gt_200mo;Warehouse_2026_AirQualityInEurope_10_5281_zenodo_1;Air Quality in Europe: Daily, Monthly, and Annual Maps of NO2, O3, PM10, and PM2.5 between 2015 and 2023;10.5281/zenodo.19203552;https://zenodo.org/doi/10.5281/zenodo.19203552;
trop_volumineux_gt_200mo;Warehouse_2026_AirQualityInEurope_10_5281_zenodo_1;Air Quality in Europe: Daily, Monthly, and Annual Maps of NO2, O3, PM10, and PM2.5 between 2015 and 2023;10.5281/zenodo.19203553;https://zenodo.org/doi/10.5281/zenodo.19203553;
telecharge_sans_geometrie_exploitable;Warehouse_2026_DengueCasesInRecife_10_5281_zenodo_1;Dengue Cases in Recife, Brazil (2013–2025): Clean and Geocoded Dataset;10.5281/zenodo.19397264;https://zenodo.org/doi/10.5281/zenodo.19397264;code(s) administratif(s) detecte(s) sans geometrie directe - necessite une jointure vers un referentiel externe (GEOID/FIPS/IBGE/sigungu/code postal s
telecharge_sans_geometrie_exploitable;Warehouse_2026_ArboviralDiseaseCasesIn_10_5281_zenodo_1;Arboviral Disease Cases in Recife, Brazil (2013–2025): Clean and Geocoded Dataset;10.5281/zenodo.19397485;https://zenodo.org/doi/10.5281/zenodo.19397485;code(s) administratif(s) detecte(s) sans geometrie directe - necessite une jointure vers un referentiel externe (GEOID/FIPS/IBGE/sigungu/code postal s
trop_volumineux_gt_200mo;Warehouse_2026_AirQualityInEurope_10_5281_zenodo_1;Air Quality in Europe: Daily, Monthly, and Annual Maps of NO2, O3, PM10, and PM2.5 between 2015 and 2023;10.5281/zenodo.19566932;https://zenodo.org/doi/10.5281/zenodo.19566932;
telecharge_sans_geometrie_exploitable;Warehouse_2026_HepatitisEInThe_10_5281_zenodo_2;Hepatitis E in the Republic of Korea, 2020–2025: reproducibility package (data, scripts, intermediate outputs, tables, figures);10.5281/zenodo.20097376;https://zenodo.org/doi/10.5281/zenodo.20097376;code(s) administratif(s) detecte(s) sans geometrie directe - necessite une jointure vers un referentiel externe (GEOID/FIPS/IBGE/sigungu/code postal s
telecharge_sans_geometrie_exploitable;Warehouse_2026_HepatitisEInThe_10_5281_zenodo_2;Hepatitis E in the Republic of Korea, 2020–2025: reproducibility package (data, scripts, intermediate outputs, tables, figures);10.5281/zenodo.20097377;https://zenodo.org/doi/10.5281/zenodo.20097377;code(s) administratif(s) detecte(s) sans geometrie directe - necessite une jointure vers un referentiel externe (GEOID/FIPS/IBGE/sigungu/code postal s
telecharge_sans_geometrie_exploitable;Warehouse_2026_DatasetsForMilanAs_10_5281_zenodo_2;"Datasets for ""Milan as a 15-minute city: the relationship between prices and amenities""";10.5281/zenodo.20533621;https://zenodo.org/doi/10.5281/zenodo.20533621;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2026_DatasetsForMilanAs_10_5281_zenodo_2;"Datasets for ""Milan as a 15-minute city: the relationship between prices and amenities""";10.5281/zenodo.20533622;https://zenodo.org/doi/10.5281/zenodo.20533622;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
trop_volumineux_gt_200mo;Warehouse_2022_DataAndSoftwareArchive_10_5281_zenodo_5;"Data and Software Archive for ""Likely community transmission of COVID-19 infections between neighboring, persistent hotspots in Ontario, Canada""";10.5281/zenodo.5585811;https://zenodo.org/record/5585811;
trop_volumineux_gt_200mo;Warehouse_2022_DataAndSoftwareArchive_10_5281_zenodo_6;"Data and Software Archive for ""Likely community transmission of COVID-19 infections between neighboring, persistent hotspots in Ontario, Canada""";10.5281/zenodo.6510012;https://zenodo.org/record/6510012;
trop_volumineux_gt_200mo;Warehouse_2023_TheGlobal30M_10_5281_zenodo_7;The global 30-m forest canopy height map for 2020;10.5281/zenodo.7643402;https://zenodo.org/record/7643402;
trop_volumineux_gt_200mo;Warehouse_2023_TheGlobal30M_10_5281_zenodo_7;The global 30-m forest canopy height map for 2020;10.5281/zenodo.7643403;https://zenodo.org/record/7643403;
depot_non_gere_automatiquement;Warehouse_2025_ExploringSocialInteractionsIn_10_5683_sp3_oq9o;Exploring Social Interactions in Vancouver's Neighbourhood Parks Through Sentiment Analysis of Google Reviews;10.5683/sp3/oq9o09;https://borealisdata.ca/citation?persistentId=doi:10.5683/SP3/OQ9O09;
depot_non_gere_automatiquement;Warehouse_2026_Igwraboost_10_57760_science;IGWRABoost;10.57760/sciencedb.35399;https://www.scidb.cn/detail?dataSetId=01c7f77b276c480fa7e59febe85d48dc;
depot_non_gere_automatiquement;Warehouse_2001_IndustryPolicyAndPeer_10_57760_science;Industry Policy and Peer Effects of Corporate Innovation: A Heterogeneity Study Based on Spatial Autoregressive Models;10.57760/sciencedb.j00214.00111;https://www.scidb.cn/detail?dataSetId=2f3703194cd14244be60f3ade91e3e62;
telecharge_sans_geometrie_exploitable;Warehouse_2023_UntitCanTheDigital_10_6084_m9_figsh;Untit Can the digital economy effectively contribute to the clean energy transition? Evidence from China led Item;10.6084/m9.figshare.23675661;https://figshare.com/articles/dataset/Untit_Can_the_digital_economy_effectively_contribute_to_the_clean_energy_transition_Evidence_from_China_led_Item/23675661;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2024_SdigeData_10_6084_m9_figsh;SDIGE.data;10.6084/m9.figshare.26803639;https://figshare.com/articles/dataset/SDIGE_data/26803639;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2025_SportsIndustryRawData_10_6084_m9_figsh;Sports industry raw data 、Digital-real integration raw data;10.6084/m9.figshare.29578211;https://figshare.com/articles/dataset/__/29578211;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
telecharge_sans_geometrie_exploitable;Warehouse_2026_ReplicationCodeForThe_10_6084_m9_figsh;Replication Code for The Impact of the Digital Economy on Industrial GTFP in the YEB: A Nexus of Agglomeration, Innovation, and Spatial Spillovers;10.6084/m9.figshare.31323511;https://figshare.com/articles/dataset/Replication_Code_for_The_Impact_of_the_Digital_Economy_on_Industrial_GTFP_in_the_YEB_A_Nexus_of_Agglomeration_Innovation_and_Spatial_Spillovers/31323511;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
depot_non_gere_automatiquement;Warehouse_2025_RegionalRealEstatePrice_10_7807_immo_red;Regional Real Estate Price Index for Germany - PUF, 2008-11/2024;10.7807/immo:redx:puf:v15;https://www.rwi-essen.de/en/research-advice/further/research-data-center-ruhr-fdz/data-sets/rwi-geo-red/x-real-estate-data-and-price-indices;
depot_non_gere_automatiquement;Warehouse_2025_RegionalRealEstatePrice_10_7807_immo_red;Regional Real Estate Price Index for Germany - (PUF), 2008-05/2025;10.7807/immo:redx:puf:v16;https://www.rwi-essen.de/en/research-advice/further/research-data-center-ruhr-fdz/data-sets/rwi-geo-red/x-real-estate-data-and-price-indices;
depot_non_gere_automatiquement;Warehouse_2025_RegionalRealEstatePrice_10_7807_immo_red;Regional Real Estate Price Index for Germany - SUF, 2008-11/2024;10.7807/immo:redx:suf:v15;https://www.rwi-essen.de/en/research-advice/further/research-data-center-ruhr-fdz/data-sets/rwi-geo-red/x-real-estate-data-and-price-indices;
depot_non_gere_automatiquement;Warehouse_2025_RegionalRealEstatePrice_10_7807_immo_red;Regional Real Estate Price Index for Germany - (SUF Off-site), 2008-05/2025;10.7807/immo:redx:suf:v16;https://www.rwi-essen.de/en/research-advice/further/research-data-center-ruhr-fdz/data-sets/rwi-geo-red/x-real-estate-data-and-price-indices;
