package;dataset;reference_type;doi;doi_url;source_url;doi_verified;doi_type;paper_or_book_title;authors;year;venue;publisher;model_or_equation_found_locally;model_keywords;detected_reference;local_raw_match;doc_path;verification_note
ade4;ggtortoises;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps069.pdf;;;;;;;;;;Source: M.C. Ciofi, C. Milinkovitch, J.P. Gibbs, A. Caccone, and J.R. Powell (2002) Microsatellite analysis of genetic divergence among populations of giant galapagos tortoises. _Molecular Ecology_ *11*: 2265-2283. || References: M.C. Ciofi, C. Milinkovitch, J.P. Gibbs, A. Caccone, and J.R. Powell (2002). Microsatellite analysis of genetic divergence among populations of giant galapagos tortoises. _Molecular Ecology_ *11*: 2265-2283. See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps069.pdf> (in French). || Description: This data set gives genetic relationships between Galapagos tortoises populations with 10 microsatellites.;;wiki\datasets\r_package_docs\ade4\topics\ggtortoises.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;hdpg;url;;;http://research.marshfieldclinic.org/genetics/Freq/FreqInfo.htm;;;;;;;;;;Source: Extract of data prepared by the Human Diversity Panel Genotypes (invalid http://research.marshfieldclinic.org/genetics/Freq/FreqInfo.htm) prepared by Hinda Haned, from data used in: Noah A. Rosenberg, Jonatahan K. Pritchard, James L. Weber, Howard M. Cabb, Kenneth K. Kidds, Lev A. Zhivotovsky, Marcus W. Feldman (2002) Genetic Structure of human Populations _Science_, *298*, 2381-2385. Lev A. Zhivotovsky, Noah Rosenberg, and Marcus W. Feldman (2003). Features of Evolution and Expansion of Modern Humans, Inferred from Genomewide Microsatellite Markers _Am. J. Hum. Genet_, *72*, 1171-1186. || Description: This data set gives genotypes variation of 1066 individuals belonging to 52 predefined populations, for 404 microsatellite markers. || Details: The rows of ‘hdpg$pop’ are the names of the 52 populations belonging to the geographic regions contained in the rows of ‘hdpg$region’. The chosen regions are: America, Asia, Europe, Middle East North Africa, Oceania, Subsaharan AFRICA. The 52 populations are: Adygei, Balochi, Bantu, Basque, Bedouin, Bergamo, Biaka Pygmies, Brahui, Burusho, Cambodian, Columbian, Dai, Daur, Druze, French, Han, Hazara, Hezhen, Japanese, Kalash, Karitiana, Lahu, Makrani, Mandenka, Maya, Mbuti Pygmies, Melanesian, Miaozu, Mongola, Mozabite, Naxi, NewGuinea, Nilote, Orcadian, Oroqen, Palestinian, Pathan, Pima, Russian, San, Sardinian, She, Sindhi, Surui, Tu, Tujia, Tuscan, Uygur, Xibo, Yakut, Yizu, Yoruba. ‘hdpg$freq’ is a data frame with 52 rows, corresponding to the 52 populations described above, and 4992 microsatellite markers.;;wiki\datasets\r_package_docs\ade4\topics\hdpg.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;houmousr;doi;10.1007/s11692-021-09550-0;https://doi.org/10.1007/s11692-021-09550-0;;yes;journal-article;Overcoming the Spurious Groups Problem in Between-Group PCA;"Jean Thioulouse; Sabrina Renaud; Anne-Béatrice Dufour; Stéphane Dray";2021;Evolutionary Biology;Springer Science and Business Media LLC;;;Source: Thioulouse, J., Renaud, S., Dufour, AB. et al. Overcoming the Spurious Groups Problem in Between-Group PCA. Evol Biol (2021). https://doi.org/10.1007/s11692-021-09550-0 || References: Renaud S, Pantalacci S, Auffray J (2011) Differential evolvability along lines of least resistance of upper and lower molars in island house mice. PLoS ONE 6, https://doi.org/10.1371/journal.pone.0018951 Renaud S, Dufour A, Hardouin E, Ledevin R, Auffray J (2015) Once upon multivariate analyses: when they tell several stories about biological evolution. PLoS ONE 10, https://doi.org/10.1371/journal.pone.0132801 Renaud S, Ledevin R, Souquet L, Gomes Rodrigues H, Ginot S, Agret S, Claude J, Herrel A, Hautier L (2018) Evolving teeth within a stable masticatory apparatus in Orkney mice. Evolutionary Biology 45:405–424 || Description: Morphometric data set describing the shape of the first upper molar in populations of the Western European house mouse (_Mus musculus domesticus_) || Details: The rows of ‘houmousr$dfcc’ correspond to 214 mice sampled in five locations in France and Italy. The 128 columns are 128 aligned coordinates describing the shape of the occlusal surface of the first upper molar (UM1). ‘houmousr$faccc’ is a factor giving the location where mice were sampled: Montpellier, Frontignan, Gardouch (South of France), Lombardy (Northern Italy), and Corsica.;;wiki\datasets\r_package_docs\ade4\topics\houmousr.md;
ade4;houmousr;doi;10.1371/journal.pone.0018951;https://doi.org/10.1371/journal.pone.0018951;;yes;journal-article;Differential Evolvability Along Lines of Least Resistance of Upper and Lower Molars in Island House Mice;"Sabrina Renaud; Sophie Pantalacci; Jean-Christophe Auffray";2011;PLoS ONE;Public Library of Science (PLoS);;;Source: Thioulouse, J., Renaud, S., Dufour, AB. et al. Overcoming the Spurious Groups Problem in Between-Group PCA. Evol Biol (2021). https://doi.org/10.1007/s11692-021-09550-0 || References: Renaud S, Pantalacci S, Auffray J (2011) Differential evolvability along lines of least resistance of upper and lower molars in island house mice. PLoS ONE 6, https://doi.org/10.1371/journal.pone.0018951 Renaud S, Dufour A, Hardouin E, Ledevin R, Auffray J (2015) Once upon multivariate analyses: when they tell several stories about biological evolution. PLoS ONE 10, https://doi.org/10.1371/journal.pone.0132801 Renaud S, Ledevin R, Souquet L, Gomes Rodrigues H, Ginot S, Agret S, Claude J, Herrel A, Hautier L (2018) Evolving teeth within a stable masticatory apparatus in Orkney mice. Evolutionary Biology 45:405–424 || Description: Morphometric data set describing the shape of the first upper molar in populations of the Western European house mouse (_Mus musculus domesticus_) || Details: The rows of ‘houmousr$dfcc’ correspond to 214 mice sampled in five locations in France and Italy. The 128 columns are 128 aligned coordinates describing the shape of the occlusal surface of the first upper molar (UM1). ‘houmousr$faccc’ is a factor giving the location where mice were sampled: Montpellier, Frontignan, Gardouch (South of France), Lombardy (Northern Italy), and Corsica.;;wiki\datasets\r_package_docs\ade4\topics\houmousr.md;
ade4;houmousr;doi;10.1371/journal.pone.0132801;https://doi.org/10.1371/journal.pone.0132801;;yes;journal-article;Once upon Multivariate Analyses: When They Tell Several Stories about Biological Evolution;"Sabrina Renaud; Anne-Béatrice Dufour; Emilie A. Hardouin; Ronan Ledevin; Jean-Christophe Auffray";2015;PLOS ONE;Public Library of Science (PLoS);;;Source: Thioulouse, J., Renaud, S., Dufour, AB. et al. Overcoming the Spurious Groups Problem in Between-Group PCA. Evol Biol (2021). https://doi.org/10.1007/s11692-021-09550-0 || References: Renaud S, Pantalacci S, Auffray J (2011) Differential evolvability along lines of least resistance of upper and lower molars in island house mice. PLoS ONE 6, https://doi.org/10.1371/journal.pone.0018951 Renaud S, Dufour A, Hardouin E, Ledevin R, Auffray J (2015) Once upon multivariate analyses: when they tell several stories about biological evolution. PLoS ONE 10, https://doi.org/10.1371/journal.pone.0132801 Renaud S, Ledevin R, Souquet L, Gomes Rodrigues H, Ginot S, Agret S, Claude J, Herrel A, Hautier L (2018) Evolving teeth within a stable masticatory apparatus in Orkney mice. Evolutionary Biology 45:405–424 || Description: Morphometric data set describing the shape of the first upper molar in populations of the Western European house mouse (_Mus musculus domesticus_) || Details: The rows of ‘houmousr$dfcc’ correspond to 214 mice sampled in five locations in France and Italy. The 128 columns are 128 aligned coordinates describing the shape of the occlusal surface of the first upper molar (UM1). ‘houmousr$faccc’ is a factor giving the location where mice were sampled: Montpellier, Frontignan, Gardouch (South of France), Lombardy (Northern Italy), and Corsica.;;wiki\datasets\r_package_docs\ade4\topics\houmousr.md;
ade4;jv73;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps047.pdf;;;;;;;;;;Source: Verneaux, J. (1973) Cours d'eau de Franche-Comté (Massif du Jura). Recherches écologiques sur le réseau hydrographique du Doubs. Essai de biotypologie. Thèse d'Etat, Besançon. || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps047.pdf> (in French). || Description: This data set gives physical and physico-chemical variables, fish species, spatial coordinates about 92 sites.;;wiki\datasets\r_package_docs\ade4\topics\jv73.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;lascaux;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps022.pdf;;;;;;;;;;Source: Lascaux, J.M. (1996) _Analyse de la variabilité morphologique de la truite commune (Salmo trutta L.) dans les cours d'eau du bassin pyrénéen méditerranéen_. Thèse de doctorat en sciences agronomiques, INP Toulouse. || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps022.pdf> (in French). || Description: This data set gives meristic, genetic and morphological data frame for 306 trouts.;;wiki\datasets\r_package_docs\ade4\topics\lascaux.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;lizards;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps063.pdf;;;;;;;;;;References: Bauwens, D., and Díaz-Uriarte, R. (1997) Covariation of life-history traits in lacertid lizards: a comparative study. _American Naturalist_, *149*, 91-111. See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps063.pdf> (in French). || Description: This data set describes the phylogeny of 18 lizards as reported by Bauwens and Díaz-Uriarte (1997). It also gives life-history traits corresponding to these 18 species. || Details: Variables of ‘lizards$traits’ are the following ones : mean.L (mean length (mm)), matur.L (length at maturity (mm)), max.L (maximum length (mm)), hatch.L (hatchling length (mm)), hatch.m (hatchling mass (g)), clutch.S (Clutch size), age.mat (age at maturity (number of months of activity)), clutch.F (clutch frequency).;;wiki\datasets\r_package_docs\ade4\topics\lizards.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;mafragh;doi;10.1111/j.1365-2745.2010.01743.x;https://doi.org/10.1111/j.1365-2745.2010.01743.x;;yes;journal-article;Linking patterns in phylogeny, traits, abiotic variables and space: a novel approach to linking environmental filtering and plant community assembly;"Sandrine Pavoine; Errol Vela; Sophie Gachet; Gérard de Bélair; Michael B. Bonsall";2011;Journal of Ecology;Wiley;g12 <- lattice::xyplot(ms1$li[, 1] ~ coa1$li[, 1]);;Source: de Bélair, Gérard and Bencheikh-Lehocine, Mahmoud (1987) Composition et déterminisme de la végétation d'une plaine côtière marécageuse : La Mafragh (Annaba, Algérie). _Bulletin d'Ecologie_, *18*(4), 393-407. Pavoine, S., Vela, E., Gachet, S., de Bélair, G. and Bonsall, M. B. (2011) Linking patterns in phylogeny, traits, abiotic variables and space: a novel approach to linking environmental filtering and plant community assembly. _Journal of Ecology_, *99*, 165-175. doi:10.1111/j.1365-2745.2010.01743.x || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps053.pdf> (in French). || Description: This data set gives environmental and spatial informations about species and sites.;;wiki\datasets\r_package_docs\ade4\topics\mafragh.md;
ade4;mafragh;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps053.pdf;;;;;;;;g12 <- lattice::xyplot(ms1$li[, 1] ~ coa1$li[, 1]);;Source: de Bélair, Gérard and Bencheikh-Lehocine, Mahmoud (1987) Composition et déterminisme de la végétation d'une plaine côtière marécageuse : La Mafragh (Annaba, Algérie). _Bulletin d'Ecologie_, *18*(4), 393-407. Pavoine, S., Vela, E., Gachet, S., de Bélair, G. and Bonsall, M. B. (2011) Linking patterns in phylogeny, traits, abiotic variables and space: a novel approach to linking environmental filtering and plant community assembly. _Journal of Ecology_, *99*, 165-175. doi:10.1111/j.1365-2745.2010.01743.x || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps053.pdf> (in French). || Description: This data set gives environmental and spatial informations about species and sites.;;wiki\datasets\r_package_docs\ade4\topics\mafragh.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;maples;local_model_signal;;;;;;;;;;;lm(dom~bif | abline(lm(dom~bif)) | summary(lm(dom~bif));lm;References: Ackerly, D. D. and Donoghue, M.J. (1998) Leaf size, sapling allometry, and Corner's rules: phylogeny and correlated evolution in Maples (Acer). _American Naturalist_, *152*, 767-791. || Description: This data set describes the phylogeny of 17 flowers as reported by Ackerly and Donoghue (1998). It also gives 31 traits corresponding to these 17 species.;;wiki\datasets\r_package_docs\ade4\topics\maples.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;microsatt;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps055.pdf;;;;;;;;;;Source: Extract of data prepared by D. Laloë <mailto:ugendla@dga2.jouy.inra.fr> from data used in: Moazami-Goudarzi, K., D. Laloë, J. P. Furet, and F. Grosclaude (1997) Analysis of genetic relationships between 10 cattle breeds with 17 microsatellites. _Animal Genetics_, *28*, 338-345. Souvenir Zafindrajaona, P.,Zeuh V. ,Moazami-Goudarzi K., Laloë D., Bourzat D., Idriss A., and Grosclaude F. (1999) Etude du statut phylogénétique du bovin Kouri du lac Tchad à l'aide de marqueurs moléculaires. _Revue d'Elevage et de Médecine Vétérinaire des pays Tropicaux_, *55*, 155-162. Moazami-Goudarzi, K., Belemsaga D. M. A., Ceriotti G., Laloë D. , Fagbohoun F., Kouagou N. T., Sidibé I., Codjia V., Crimella M. C., Grosclaude F. and Touré S. M. (2001) Caractérisation de la race bovine Somba à l'aide de marqueurs moléculaires. _Revue d'Elevage et de Médecine Vétérinaire des pays Tropicaux_, *54*, 1-10. || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps055.pdf> (in French). || Description: This data set gives genetic relationships between cattle breeds with microsatellites.;;wiki\datasets\r_package_docs\ade4\topics\microsatt.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;mjrochet;url;;;http://www.ifremer.fr/maerha/argentin.html;;;;;;;;lm (length at maturity (cm | maturity (years)), lm (length at maturity (cm)), l05 (length at 5;lm;Source: Data taken from: Summary of data - Clupeiformes : http://www.ifremer.fr/maerha/clupe.html Summary of data - Argentiniformes : http://www.ifremer.fr/maerha/argentin.html Summary of data - Salmoniformes : http://www.ifremer.fr/maerha/salmon.html Summary of data - Gadiformes : http://www.ifremer.fr/maerha/gadi.html Summary of data - Lophiiformes : http://www.ifremer.fr/maerha/loph.html Summary of data - Atheriniformes : http://www.ifremer.fr/maerha/ather.html Summary of data - Perciformes : http://www.ifremer.fr/maerha/perci.html Summary of data - Pleuronectiformes : http://www.ifremer.fr/maerha/pleuro.html Summary of data - Scorpaeniformes : http://www.ifremer.fr/maerha/scorpa.html Phylogenetic tree : http://www.ifremer.fr/maerha/life_history.html || References: Rochet, M. J., Cornillon, P-A., Sabatier, R. and Pontier, D. (2000) Comparative analysis of phylogenic and fishing effects in life history patterns of teleos fishes. _Oïkos_, *91*, 255-270. || Description: This data set describes the phylogeny of 49 teleos fishes as reported by Rochet et al. (2000). It also gives life-history traits corresponding to these 49 species. || Details: Variables of ‘mjrochet$tab’ are the following ones : tm (age at maturity (years)), lm (length at maturity (cm)), l05 (length at 5 per cent survival (cm)), t05 (time to 5 per cent survival (years)), fb (slope of the log-log fecundity-length relationship), fm (fecundity the year of maturity), egg (volume of eggs (mm^3)).;;wiki\datasets\r_package_docs\ade4\topics\mjrochet.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;mjrochet;url;;;http://www.ifremer.fr/maerha/ather.html;;;;;;;;lm (length at maturity (cm | maturity (years)), lm (length at maturity (cm)), l05 (length at 5;lm;Source: Data taken from: Summary of data - Clupeiformes : http://www.ifremer.fr/maerha/clupe.html Summary of data - Argentiniformes : http://www.ifremer.fr/maerha/argentin.html Summary of data - Salmoniformes : http://www.ifremer.fr/maerha/salmon.html Summary of data - Gadiformes : http://www.ifremer.fr/maerha/gadi.html Summary of data - Lophiiformes : http://www.ifremer.fr/maerha/loph.html Summary of data - Atheriniformes : http://www.ifremer.fr/maerha/ather.html Summary of data - Perciformes : http://www.ifremer.fr/maerha/perci.html Summary of data - Pleuronectiformes : http://www.ifremer.fr/maerha/pleuro.html Summary of data - Scorpaeniformes : http://www.ifremer.fr/maerha/scorpa.html Phylogenetic tree : http://www.ifremer.fr/maerha/life_history.html || References: Rochet, M. J., Cornillon, P-A., Sabatier, R. and Pontier, D. (2000) Comparative analysis of phylogenic and fishing effects in life history patterns of teleos fishes. _Oïkos_, *91*, 255-270. || Description: This data set describes the phylogeny of 49 teleos fishes as reported by Rochet et al. (2000). It also gives life-history traits corresponding to these 49 species. || Details: Variables of ‘mjrochet$tab’ are the following ones : tm (age at maturity (years)), lm (length at maturity (cm)), l05 (length at 5 per cent survival (cm)), t05 (time to 5 per cent survival (years)), fb (slope of the log-log fecundity-length relationship), fm (fecundity the year of maturity), egg (volume of eggs (mm^3)).;;wiki\datasets\r_package_docs\ade4\topics\mjrochet.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;mjrochet;url;;;http://www.ifremer.fr/maerha/clupe.html;;;;;;;;lm (length at maturity (cm | maturity (years)), lm (length at maturity (cm)), l05 (length at 5;lm;Source: Data taken from: Summary of data - Clupeiformes : http://www.ifremer.fr/maerha/clupe.html Summary of data - Argentiniformes : http://www.ifremer.fr/maerha/argentin.html Summary of data - Salmoniformes : http://www.ifremer.fr/maerha/salmon.html Summary of data - Gadiformes : http://www.ifremer.fr/maerha/gadi.html Summary of data - Lophiiformes : http://www.ifremer.fr/maerha/loph.html Summary of data - Atheriniformes : http://www.ifremer.fr/maerha/ather.html Summary of data - Perciformes : http://www.ifremer.fr/maerha/perci.html Summary of data - Pleuronectiformes : http://www.ifremer.fr/maerha/pleuro.html Summary of data - Scorpaeniformes : http://www.ifremer.fr/maerha/scorpa.html Phylogenetic tree : http://www.ifremer.fr/maerha/life_history.html || References: Rochet, M. J., Cornillon, P-A., Sabatier, R. and Pontier, D. (2000) Comparative analysis of phylogenic and fishing effects in life history patterns of teleos fishes. _Oïkos_, *91*, 255-270. || Description: This data set describes the phylogeny of 49 teleos fishes as reported by Rochet et al. (2000). It also gives life-history traits corresponding to these 49 species. || Details: Variables of ‘mjrochet$tab’ are the following ones : tm (age at maturity (years)), lm (length at maturity (cm)), l05 (length at 5 per cent survival (cm)), t05 (time to 5 per cent survival (years)), fb (slope of the log-log fecundity-length relationship), fm (fecundity the year of maturity), egg (volume of eggs (mm^3)).;;wiki\datasets\r_package_docs\ade4\topics\mjrochet.md;"Lien non DOI ou signal local; verification manuelle requise."
