package;dataset;package_dataset_pairs;reference_type;doi;doi_url;source_url;doi_verified;doi_type;paper_or_book_title;authors;year;venue;publisher;model_or_equation_found_locally;model_keywords;detected_reference;local_raw_match;doc_path;verification_note;selection_score;selection_spatial_terms;selection_spatiotemporal_terms;selection_model_terms
agridat;kenward.cattle;agridat::kenward.cattle;doi;10.1111/rssb.12065;https://doi.org/10.1111/rssb.12065;;yes;journal-article;A Joint Modelling Approach for Longitudinal Studies;"Weiping Zhang; Chenlei Leng; Cheng Yong Tang";2015;Journal of the Royal Statistical Society Series B: Statistical Methodology;Oxford University Press (OUP);weight~day|trt | lmer(weight ~ trt*poly(day, 4 | lmer(weight ~ trt + poly(day, 4 | lmer(weight ~ poly(day, 4 | pred ~ day|trt | weight ~ trt + poly(day;anova, lmer;Source: Kenward, Michael G. (1987). A Method for Comparing Profiles of Repeated Measurements. _Applied Statistics_, 36, 296-308. Table 1. https://doi.org/10.2307/2347788 || References: W. Zhang, C. Leng and C. Y. Tang (2015). A joint modelling approach for longitudinal studies _J. R. Statist. Soc. B_, 77 (2015), 219-238. https://doi.org/10.1111/rssb.12065 || Description: Repeated measurements of the weights of calves from a trial on the control of intestinal parasites. || Details: Grazing cattle can ingest larvae, which deprives the host animal of nutrients and weakens the immune system, affecting the growth of the animal. Two treatments A and B were applied randomly to 60 animals (30 each in two groups) to control the disease. Each animal was weighed 11 times at two-week intervals (one week between the final two measurements). Is there a difference in treatments, and when does that difference first become manifest?;;wiki\datasets\r_package_docs\agridat\topics\kenward.cattle.md;;6;;longitudinal;anova, model
ade4;houmousr;ade4::houmousr;doi;10.1371/journal.pone.0132801;https://doi.org/10.1371/journal.pone.0132801;;yes;journal-article;Once upon Multivariate Analyses: When They Tell Several Stories about Biological Evolution;"Sabrina Renaud; Anne-Béatrice Dufour; Emilie A. Hardouin; Ronan Ledevin; Jean-Christophe Auffray";2015;PLOS ONE;Public Library of Science (PLoS);;;Source: Thioulouse, J., Renaud, S., Dufour, AB. et al. Overcoming the Spurious Groups Problem in Between-Group PCA. Evol Biol (2021). https://doi.org/10.1007/s11692-021-09550-0 || References: Renaud S, Pantalacci S, Auffray J (2011) Differential evolvability along lines of least resistance of upper and lower molars in island house mice. PLoS ONE 6, https://doi.org/10.1371/journal.pone.0018951 Renaud S, Dufour A, Hardouin E, Ledevin R, Auffray J (2015) Once upon multivariate analyses: when they tell several stories about biological evolution. PLoS ONE 10, https://doi.org/10.1371/journal.pone.0132801 Renaud S, Ledevin R, Souquet L, Gomes Rodrigues H, Ginot S, Agret S, Claude J, Herrel A, Hautier L (2018) Evolving teeth within a stable masticatory apparatus in Orkney mice. Evolutionary Biology 45:405–424 || Description: Morphometric data set describing the shape of the first upper molar in populations of the Western European house mouse (_Mus musculus domesticus_) || Details: The rows of ‘houmousr$dfcc’ correspond to 214 mice sampled in five locations in France and Italy. The 128 columns are 128 aligned coordinates describing the shape of the occlusal surface of the first upper molar (UM1). ‘houmousr$faccc’ is a factor giving the location where mice were sampled: Montpellier, Frontignan, Gardouch (South of France), Lombardy (Northern Italy), and Corsica.;;wiki\datasets\r_package_docs\ade4\topics\houmousr.md;;3;coordinates;;
surveillance;fluBYBW;surveillance::fluBYBW;doi;10.1214/14-aoas743;https://doi.org/10.1214/14-aoas743;;yes;journal-article;Power-law models for infectious disease spread;"Sebastian Meyer; Leonhard Held";2014;The Annals of Applied Statistics;Institute of Mathematical Statistics;plot(fluBYBW, ~time) | plot(fluBYBW, ~unit, tps = 1:52, total.args = list(), | # Here we take the first 20 weeks of 2001 (runtime: ~3 minutes).;;"Source: Robert Koch-Institut: SurvStat: <https://survstat.rki.de/>; Queried on 6 March 2009. || References: Paul, M. and Held, L. (2011) Predictive assessment of a non-linear random effects model for multivariate time series of infectious disease counts. Statistics in Medicine, *30*, 1118-1136. Meyer, S. and Held, L. (2014): Power-law models for infectious disease spread. _The Annals of Applied Statistics_, *8* (3), 1612-1639. doi:10.1214/14-AOAS743 <https://doi.org/10.1214/14-AOAS743> || Description: Weekly number of influenza A & B cases in the 140 districts of the two Southern German states Bavaria and Baden-Wuerttemberg, for the years 2001 to 2008. These surveillance data have been analyzed originally by Paul and Held (2011) and more recently by Meyer and Held (2014).";;wiki\datasets\r_package_docs\surveillance\topics\fluBYBW.md;;5;;time series;model
vegan;BCI;vegan::BCI;doi;10.1038/nature12872;https://doi.org/10.1038/nature12872;;yes;journal-article;Three keys to the radiation of angiosperms into freezing environments;"Amy E. Zanne; David C. Tank; William K. Cornwell; Jonathan M. Eastman; Stephen A. Smith; Richard G. FitzJohn; Daniel J. McGlinn; Brian C. O’Meara";2014;Nature;Springer Science and Business Media LLC;;;Source: <https://www.science.org/doi/10.1126/science.1066854> for community data and References for environmental data. For updated complete data (incl. thinner trees down to 1 cm), see Condit et al. (2019). || References: Condit, R, Pitman, N, Leigh, E.G., Chave, J., Terborgh, J., Foster, R.B., Nuñez, P., Aguilar, S., Valencia, R., Villa, G., Muller-Landau, H.C., Losos, E. & Hubbell, S.P. (2002). Beta-diversity in tropical forest trees. _Science_ 295, 666-669. Condit R., Pérez, R., Aguilar, S., Lao, S., Foster, R. & Hubbell, S. (2019). Complete data from the Barro Colorado 50-ha plot: 423617 trees, 35 years [Dataset]. _Dryad_. doi:10.15146/5xcp-0d46 <https://doi.org/10.15146/5xcp-0d46> Condit, R., Aguilar, S., Lao, S., Foster, R., Hubbell, S. (2020). BCI 50-ha Plot Taxonomy [Dataset]. _Dryad_. doi:10.15146/R3FH61 <https://doi.org/10.15146/R3FH61> Harms K.E., Condit R., Hubbell S.P. & Foster R.B. (2001) Habitat associations of trees and shrubs in a 50-ha neotropical forest plot. _J. Ecol._ 89, 947-959. Kress W.J., Erickson D.L, Jones F.A., Swenson N.G, Perez R., Sanjur O. & Bermingham E. (2009) Plant DNA barcodes and a community phylogeny of a tropical forest dynamics plot in Panama. _PNAS_ 106, 18621-18626. Pyke, C. R., Condit, R., Aguilar, S., & Lao, S. (2001). Floristic composition across a climatic gradient in a neotropical lowland forest. _Journal of Vegetation Science_ 12, 553-566. doi:10.2307/3237007 <https://doi.org/10.2307/3237007> Zanne A.E., Tank D.C., Cornwell, W.K., Eastman J.M., Smith, S.A., FitzJohn, R.G., McGlinn, D.J., O’Meara, B.C., Moles, A.T., Reich, P.B., Royer, D.L., Soltis, D.E., Stevens, P.F., Westoby, M., Wright, I.J., Aarssen, L., Bertin, R.I., Calaminus, A., Govaerts, R., Hemmings, F., Leishman, M.R., Oleksyn, J., Soltis, P.S., Swenson, N.G., Warman, L. & Beaulieu, J.M. (2014) Three keys to the radiation of angiosperms into freezing environments. _Nature_ 506, 89-92. doi:10.1038/nature12872 <https://doi.org/10.1038/nature12872> (published online Dec 22, 2013). || Description: Tree counts in 1-hectare plots in the Barro Colorado Island and associated site information. || Details: Data give the numbers of trees at least 10 cm in diameter at breast height (DBH) in each one hectare quadrat in the 1982 BCI plot. Within each plot, all individuals were tallied and are recorded in this table. The full survey included smaller trees with DBH 1 cm or larger, but the ‘BCI’ dataset is a subset of larger trees as compiled by Condit et al. (2002). The full data with thinner trees has densities above 4000 stems per hectare, or about ten times more stems than these data. The dataset ‘BCI’ was provided (in 2003) to illustrate analysis methods in ‘vegan’. For scientific research on ecological issues we strongly recommend to access complete and more modern data (Condit et al. 2019) with updated taxonomy (Condit et al. 2020). The data frame contains only the Barro Colorado Island subset of the full data table of Condit et al. (2002). The quadrats are located in a regular grid. See ‘BCI.env’ for the coordinates. A full description of the site information in ‘BCI.env’ is given in Pyke et al. (2001) and Harms et al. (2001). _N.B._ Pyke et al. (2001) and Harms et al. (2001) give conflicting information about forest age categories and elevation.;;wiki\datasets\r_package_docs\vegan\topics\BCI.md;;3;coordinates;;
spaMM;arabidopsis;spaMM::arabidopsis;doi;10.1111/ecog.00566;https://doi.org/10.1111/ecog.00566;;yes;journal-article;Testing environmental and genetic effects in the presence of spatial autocorrelation;"François Rousset; Jean‐Baptiste Ferdy";2014;Ecography;Wiley;fitme(cbind(pos1046738,1-pos1046738)~seasonal+Matern(1|LAT+LONG), | SNPfit <- fitme(cbind(pos1046738,1-pos1046738)~seasonal+Matern(1|LAT+LONG),;;"Source: The data were retrieved from ‘http://bergelson.uchicago.edu/regmap-data/climate-genome-scan’ on 22 February 2013 (they may no longer be available from there). || References: Fournier-Level A, Korte A., Cooper M. D., Nordborg M., Schmitt J., Wilczek AM (2011). A map of local adaptation in Arabidopsis thaliana. Science 334: 86-89. Hancock, A. M., Brachi, B., Faure, N., Horton, M. W., Jarymowycz, L. B., Sperone, F. G., Toomajian, C., Roux, F., and Bergelson, J. 2011. Adaptation to climate across the Arabidopsis thaliana genome, Science 334: 83-86. Rousset F., Ferdy, J.-B. (2014) Testing environmental and genetic effects in the presence of spatial autocorrelation. Ecography, 37: 781-790. doi:10.1111/ecog.00566 <https://doi.org/10.1111/ecog.00566> || Description: For 948 “accessions” from European Arabidopsis thaliana populations, this data set merges the genotypic information at four single nucleotide polymorphisms (SNP) putatively involved in adaptation to climate (Fournier-Level et al, 2011, Table 1), with 13 climatic variables from Hancock et al. (2011). || Details: The response is binary so ‘method=""PQL/L""’ seems warranted (see Rousset and Ferdy, 2014).";;wiki\datasets\r_package_docs\spaMM\topics\arabidopsis.md;;3;spatial;;
agridat;crossa.wheat;agridat::crossa.wheat;doi;10.2135/cropsci2013.03.0178;https://doi.org/10.2135/cropsci2013.03.0178;;yes;journal-article;Genotype Plus Genotype × Block of Environments Biplots;"Jean‐Louis Laffont; Kevin Wright; Mohamed Hanafi";2013;Crop Science;Wiley;"yield~gen*loc | Jr, HG. (1991). AMMI adjustment for statistical analysis of an | # AMMI biplot. Fig 3 of Crossa et al. | m1 <- with(dat, AMMI(E=loc, G=gen, R=1, Y=yield)) | main=""crossa.wheat AMMI biplot"", | m2 <- gge(dat2, yield~gen*loc,";ammi;Source: Crossa, J and Fox, PN and Pfeiffer, WH and Rajaram, S and Gauch Jr, HG. (1991). AMMI adjustment for statistical analysis of an international wheat yield trial. Theoretical and Applied Genetics, 81, 27-37. https://doi.org/10.1007/BF00226108 || References: Jean-Louis Laffont, Kevin Wright and Mohamed Hanafi (2013). Genotype + Genotype x Block of Environments (GGB) Biplots. Crop Science, 53, 2332-2341. https://doi.org/10.2135/cropsci2013.03.0178 || Description: Wheat yields for 18 genotypes at 25 locations || Details: Grain yield from the 8th Elite Selection Wheat Yield Trial to evaluate 18 bread wheat genotypes at 25 locations in 15 countries. Cross et al. used this data to cluster loctions into 2 mega-environments and clustered genotypes into 3 wheat clusters. Locations Code Country Location Latitude (N) Elevation (m) AK Algeria El Khroub 36 640 AL Algeria Setif 36 1,023 BJ Bangladesh Joydebpur 24 8 CA Cyprus Athalassa 35 142 EG Egypt E1 Gemmeiza 31 8 ES Egypt Sakha 31 6 EB Egypt Beni-Suef 29 28 IL India Ludhiana 31 247 ID India Delhi 29 228 JM Jordan Madaba 36 785 KN Kenya Njoro 0 2,165 MG Mexico Guanajuato 21 1765 MS Mexico Sonora 27 38 MM Mexico Michoacfin 20 1517 NB Nepal Bhairahwa 27 105 PI Pakistan Islamabad 34 683 PA Pakistan Ayub 32 213 SR Saudi Arabia Riyadh 24 600 SG Sudan Gezira 14 411 SE Spain Encinar 38 20 SJ Spain Jerez 37 180 SC Spain Cordoba 38 110 SS Spain Sevilla 38 20 TB Tunisia Beja 37 150 TC Thailand Chiang Mai 18 820 Used with permission of Jose' Crossa.;;wiki\datasets\r_package_docs\agridat\topics\crossa.wheat.md;;4;latitude;;ammi
spatstat.data;meningitis;spatstat.data::meningitis | surveillance::imdepi;doi;10.1111/j.1541-0420.2011.01684.x;https://doi.org/10.1111/j.1541-0420.2011.01684.x;;yes;journal-article;A Space–Time Conditional Intensity Model for Invasive Meningococcal Disease Occurrence;"Sebastian Meyer; Johannes Elias; Michael Höhle";2012;Biometrics;Oxford University Press (OUP);;;"Source: Obtained from package ‘surveillance’. IMD case reports: German Reference Centre for Meningococci at the Department of Hygiene and Microbiology, Julius-Maximilians-Universitaet Universitaet Wuerzburg, Germany (<https://www.hygiene.uni-wuerzburg.de/meningococcus/>). Thanks to Dr. Johannes Elias and Prof. Dr. Ulrich Vogel for providing the data. Shapefile of Germany's districts as at 2009-01-01: German Federal Agency for Cartography and Geodesy, Frankfurt am Main, Germany, <https://gdz.bkg.bund.de/>. || References: Meyer, S., Elias, J. and Hoehle, M. (2012): A space-time conditional intensity model for invasive meningococcal disease occurrence. _Biometrics_, *68*, 607-616. doi:10.1111/j.1541-0420.2011.01684.x Baddeley, A., Davies, T.M. and Hazelton, M.L. (2025) An improved estimator of the pair correlation function of a spatial point process. _Biometrika_, to appear. || Description: Spatial locations of cases of invasive meningococcal disease in Germany, and information on the population density. || Details: These data give the spatial locations of 636 cases of invasive meningococcal disease in Germany, together with information on the division of Germany into administrative districts, and estimates of population density in each district. The data were extracted from the dataset ‘imdepi’ in the package ‘surveillance’. They have been simplified and converted to ‘spatstat’ format. The original data were analysed by Meyer, Elias and Hoehle (2012). The simplified data provided here were analysed in Baddeley, Davies and Hazelton (2025). The dataset ‘meningitis’ is a list (of class ‘""solist""’) containing two elements, ‘cases’ and ‘kreise’. The first element ‘cases’ is a spatial point pattern (object of class ‘""ppp""’) containing 636 points giving the locations of the cases. This is a multitype point pattern, that is, it has marks which are categorical values, classifying each point into type B or C, according to the serotype of each case. According to the ‘surveillance’ documentation, these data are from cases caused by the two most common meningococcal finetypes in Germany, ‘B:P1.7-2,4:F1-5’ (of serogroup B) and ‘C:P1.5,2:F3-3’ (of serogroup C). The observation window for the point pattern is a polygonal representation of the national border of Germany. Coordinates are given in kilometres. The second element ‘kreise’ is a tessellation (object of class ‘""tess""’) giving the division of Germany into administrative districts. Each tile of the tessellation is marked by a numerical value which is an estimate of the average population density (people per square kilometre) in the district.";;wiki\datasets\r_package_docs\spatstat.data\topics\meningitis.md;;14;coordinates, point pattern, spatial;space-time;model
spDataLarge;lsl;spDataLarge::lsl;doi;10.1016/j.geomorph.2011.10.029;https://doi.org/10.1016/j.geomorph.2011.10.029;;yes;journal-article;Geomorphic process rates of landslides along a humidity gradient in the tropical Andes;"J. Muenchow; A. Brenning; M. Richter";2012;Geomorphology;Elsevier BV;;;"Source: Landslide dataset of the RSAGA package: ‘data(""landslides"", package = ""RSAGA"")’. *Landslide Data:* Muenchow, J., Brenning, A., Richter, R. (2012): Geomorphic process rates of landslides along a humidity gradient in the tropical Andes, Geomorphology 139-140, 271-284. DOI: 10.1016/j.geomorph.2011.10.029. Stoyan, R. (2000): Aktivitaet, Ursachen und Klassifikation der Rutschungen in San Francisco/Suedecuador. Unpublished diploma thesis, University of Erlangen-Nuremberg, Germany. || Description: Data used in the ""Statistical learning for geographic data"" chapter in Geocomputation with R. See <https://r.geocompx.org/spatial-cv.html> for details.";;wiki\datasets\r_package_docs\spDataLarge\topics\lsl.md;;9;geographic, landslide, spatial;;
plm;RiceFarms;plm::RiceFarms;doi;10.1002/jae.1190;https://doi.org/10.1002/jae.1190;;yes;journal-article;Alternative technical efficiency measures: Skew, bias and scale;"Qu Feng; William C. Horrace";2012;Journal of Applied Econometrics;Wiley;;;Source: Feng Q, Horrace WC (2012). “Alternative technical efficiency measures: Skew, bias and scale.” _Journal of Applied Econometrics_, *27*(2), 253-268. doi:10.1002/jae.1190 <https://doi.org/10.1002/jae.1190>. || Description: a panel of 171 observations || Details: _number of observations_ : 1026 _observation_ : farms _country_ : Indonesia;;wiki\datasets\r_package_docs\plm\topics\RiceFarms.md;;4;;panel;
HistData;Guerry;HistData::Guerry;doi;10.1214/10-aoas356;https://doi.org/10.1214/10-aoas356;;yes;journal-article;Revisiting Guerry’s data: Introducing spatial constraints in multivariate analysis;"Stéphane Dray; Thibaut Jombart";2011;The Annals of Applied Statistics;Institute of Mathematical Statistics;;;"Source: Angeville, A. (1836). _Essai sur la Statistique de la Population fran?aise_ Paris: F. Doufour. Guerry, A.-M. (1833). _Essai sur la statistique morale de la France_ Paris: Crochard. English translation: Hugh P. Whitt and Victor W. Reinking, Lewiston, N.Y. : Edwin Mellen Press, 2002. Parent-Duchatelet, A. (1836). _De la prostitution dans la ville de Paris_, 3rd ed, 1857, p. 32, 36 See the example by John Russell for the 30DayChartChallenge || References: Dray, S. and Jombart, T. (2011). A Revisit Of Guerry's Data: Introducing Spatial Constraints In Multivariate Analysis. _The Annals of Applied Statistics_, Vol. 5, No. 4, 2278-2299. <https://arxiv.org/pdf/1202.6485>, DOI: 10.1214/10-AOAS356. Brunsdon, C. and Dykes, J. (2007). Geographically weighted visualization: interactive graphics for scale-varying exploratory analysis. Geographical Information Science Research Conference (GISRUK 07), NUI Maynooth, Ireland, April, 2007. Friendly, M. (2007). A.-M. Guerry's Moral Statistics of France: Challenges for Multivariable Spatial Analysis. _Statistical Science_, 22, 368-399. Friendly, M. (2007). Data from A.-M. Guerry, Essay on the Moral Statistics of France (1833), <http://datavis.ca/gallery/guerry/guerrydat.html>. || Description: Andre-Michel Guerry (1833) was the first to systematically collect and analyze social data on such things as crime, literacy and suicide with the view to determining social laws and the relations among these variables. The ‘Guerry’ data frame comprises a collection of 'moral variables' on the 86 departments of France around 1830. A few additional variables have been added from other sources. || Details: Note that most of the variables (e.g., ‘Crime_pers’) are scaled so that 'more is better' morally. This is done by expressing ""bad"" numbers as _population per_ crime or by using ranks. Thus, in his choropleth maps, he was able to assign darker shading consistently to the departments that were worse. Values for the quantitative variables displayed on Guerry's maps were taken from Table A2 in the English translation of Guerry (1833) by Whitt and Reinking. Values for the ranked variables were taken from Table A1, with some corrections applied. The maximum is indicated by rank 1, and the minimum by rank 86.";;wiki\datasets\r_package_docs\HistData\topics\Guerry.md;;12;geographic, geographical, geographically, spatial;;
ade4;mafragh;ade4::mafragh;doi;10.1111/j.1365-2745.2010.01743.x;https://doi.org/10.1111/j.1365-2745.2010.01743.x;;yes;journal-article;Linking patterns in phylogeny, traits, abiotic variables and space: a novel approach to linking environmental filtering and plant community assembly;"Sandrine Pavoine; Errol Vela; Sophie Gachet; Gérard de Bélair; Michael B. Bonsall";2011;Journal of Ecology;Wiley;g12 <- lattice::xyplot(ms1$li[, 1] ~ coa1$li[, 1]);;Source: de Bélair, Gérard and Bencheikh-Lehocine, Mahmoud (1987) Composition et déterminisme de la végétation d'une plaine côtière marécageuse : La Mafragh (Annaba, Algérie). _Bulletin d'Ecologie_, *18*(4), 393-407. Pavoine, S., Vela, E., Gachet, S., de Bélair, G. and Bonsall, M. B. (2011) Linking patterns in phylogeny, traits, abiotic variables and space: a novel approach to linking environmental filtering and plant community assembly. _Journal of Ecology_, *99*, 165-175. doi:10.1111/j.1365-2745.2010.01743.x || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps053.pdf> (in French). || Description: This data set gives environmental and spatial informations about species and sites.;;wiki\datasets\r_package_docs\ade4\topics\mafragh.md;;3;spatial;;
ade4;houmousr;ade4::houmousr;doi;10.1371/journal.pone.0018951;https://doi.org/10.1371/journal.pone.0018951;;yes;journal-article;Differential Evolvability Along Lines of Least Resistance of Upper and Lower Molars in Island House Mice;"Sabrina Renaud; Sophie Pantalacci; Jean-Christophe Auffray";2011;PLoS ONE;Public Library of Science (PLoS);;;Source: Thioulouse, J., Renaud, S., Dufour, AB. et al. Overcoming the Spurious Groups Problem in Between-Group PCA. Evol Biol (2021). https://doi.org/10.1007/s11692-021-09550-0 || References: Renaud S, Pantalacci S, Auffray J (2011) Differential evolvability along lines of least resistance of upper and lower molars in island house mice. PLoS ONE 6, https://doi.org/10.1371/journal.pone.0018951 Renaud S, Dufour A, Hardouin E, Ledevin R, Auffray J (2015) Once upon multivariate analyses: when they tell several stories about biological evolution. PLoS ONE 10, https://doi.org/10.1371/journal.pone.0132801 Renaud S, Ledevin R, Souquet L, Gomes Rodrigues H, Ginot S, Agret S, Claude J, Herrel A, Hautier L (2018) Evolving teeth within a stable masticatory apparatus in Orkney mice. Evolutionary Biology 45:405–424 || Description: Morphometric data set describing the shape of the first upper molar in populations of the Western European house mouse (_Mus musculus domesticus_) || Details: The rows of ‘houmousr$dfcc’ correspond to 214 mice sampled in five locations in France and Italy. The 128 columns are 128 aligned coordinates describing the shape of the occlusal surface of the first upper molar (UM1). ‘houmousr$faccc’ is a factor giving the location where mice were sampled: Montpellier, Frontignan, Gardouch (South of France), Lombardy (Northern Italy), and Corsica.;;wiki\datasets\r_package_docs\ade4\topics\houmousr.md;;3;coordinates;;
agridat;bachmaier.nitrogen;agridat::bachmaier.nitrogen;doi;10.1007/s00362-008-0159-7;https://doi.org/10.1007/s00362-008-0159-7;;yes;journal-article;Test and confidence set for the difference of the x-coordinates of the vertices of two quadratic regression models;Martin Bachmaier;2010;Statistical Papers;Springer Science and Business Media LLC;lm(yield ~ nitro + I(nitro^2 | yield~nitro | pred~nitro | Where a Quadratic Regression Model Has a Given Gradient. | the x-coordinates of the vertices of two quadratic regression | m1 <- lm(yield ~ nitro + I(nitro^2), dlow);lm, regression;Source: Bachmaier, Martin. 2009. A Confidence Set for That X-Coordinate Where a Quadratic Regression Model Has a Given Gradient. Statistical Papers 50: 649–60. https://doi.org/10.1007/s00362-007-0104-1. || References: Bachmaier, Martin. Test and confidence set for the difference of the x-coordinates of the vertices of two quadratic regression models. Stat Papers (2010) 51:285–296, https://doi.org/10.1007/s00362-008-0159-7 || Description: Trial of wheat with nitrogen fertilizer in two fertility zones || Details: Data from a wheat fertilizer experiment in Germany in two yield zones. In each zone, the design was an RCB with 4 blocks and 11 nitrogen levels. The yield of each plot was measured. Electronic data originally downloaded from http://www.tec.wzw.tum.de/bachmaier/vino.zip (no longer available).;;wiki\datasets\r_package_docs\agridat\topics\bachmaier.nitrogen.md;;5;coordinates;;model, regression
AER;Grunfeld;AER::Grunfeld | plm::Grunfeld;doi;10.1111/j.1468-0475.2010.00513.x;https://doi.org/10.1111/j.1468-0475.2010.00513.x;;yes;journal-article;The Grunfeld Data at 50;"Christian Kleiber; Achim Zeileis";2010;German Economic Review;Walter de Gruyter GmbH;"lm(invest ~ value + capital, data = ggr, subset = firm == ""General Motors"" | lm(invest ~ value + capital, data = ggr | invest ~ value + capital | fm_gm <- lm(invest ~ value + capital, data = ggr, subset = firm == ""General Motors"") | fm_pool <- lm(invest ~ value + capital, data = ggr) | fm_ols <- systemfit(invest ~ value + capital, data = pggr, method = ""OLS"")";lm;"Source: The data are taken from Grunfeld (1958, Appendix, Tables 2-9 and 11-13). || References: Baltagi, B.H. (2002). _Econometrics_, 3rd ed., Berlin: Springer-Verlag. Baltagi, B.H. (2005). _Econometric Analysis of Panel Data_, 3rd ed. Chichester, UK: John Wiley. Greene, W.H. (2003). _Econometric Analysis_, 5th edition. Upper Saddle River, NJ: Prentice Hall. Greene, W.H. (2008). _Econometric Analysis_, 6th edition. Upper Saddle River, NJ: Prentice Hall. Grunfeld, Y. (1958). _The Determinants of Corporate Investment_. Unpublished Ph.D. Dissertation, University of Chicago. Kleiber, C., and Zeileis, A. (2010). “The Grunfeld Data at 50.” _German Economic Review_, *11*(4), 404-417. doi:10.1111/j.1468-0475.2010.00513.x <https://doi.org/10.1111/j.1468-0475.2010.00513.x> || Description: Panel data on 11 large US manufacturing firms over 20 years, for the years 1935-1954. || Details: This is a popular data set for teaching purposes. Unfortunately, there exist several different versions (see Kleiber and Zeileis, 2010, for a detailed discussion). In particular, the version provided by Greene (2003) has a couple of errors for ‘""US Steel""’ (firm 2): investment in 1940 is 261.6 (instead of the correct 361.6), investment in 1952 is 645.2 (instead of the correct 645.5), capital in 1946 is 132.6 (instead of the correct 232.6). Here, we provide the original data from Grunfeld (1958). The data for the first 10 firms are identical to those of Baltagi (2002) or Baltagi (2005), now also used by Greene (2008).";;wiki\datasets\r_package_docs\AER\topics\Grunfeld.md;;4;;panel;
agridat;bachmaier.nitrogen;agridat::bachmaier.nitrogen;doi;10.1007/s00362-007-0104-1;https://doi.org/10.1007/s00362-007-0104-1;;yes;journal-article;A confidence set for that x-coordinate where a quadratic regression model has a given gradient;Martin Bachmaier;2009;Statistical Papers;Springer Science and Business Media LLC;lm(yield ~ nitro + I(nitro^2 | yield~nitro | pred~nitro | Where a Quadratic Regression Model Has a Given Gradient. | the x-coordinates of the vertices of two quadratic regression | m1 <- lm(yield ~ nitro + I(nitro^2), dlow);lm, regression;Source: Bachmaier, Martin. 2009. A Confidence Set for That X-Coordinate Where a Quadratic Regression Model Has a Given Gradient. Statistical Papers 50: 649–60. https://doi.org/10.1007/s00362-007-0104-1. || References: Bachmaier, Martin. Test and confidence set for the difference of the x-coordinates of the vertices of two quadratic regression models. Stat Papers (2010) 51:285–296, https://doi.org/10.1007/s00362-008-0159-7 || Description: Trial of wheat with nitrogen fertilizer in two fertility zones || Details: Data from a wheat fertilizer experiment in Germany in two yield zones. In each zone, the design was an RCB with 4 blocks and 11 nitrogen levels. The yield of each plot was measured. Electronic data originally downloaded from http://www.tec.wzw.tum.de/bachmaier/vino.zip (no longer available).;;wiki\datasets\r_package_docs\agridat\topics\bachmaier.nitrogen.md;;5;coordinates;;model, regression
plm;LaborSupply;plm::LaborSupply;doi;10.1017/cbo9780511811241;https://doi.org/10.1017/cbo9780511811241;;yes;monograph;Microeconometrics;"A. Colin Cameron; Pravin K. Trivedi";2005;;Cambridge University Press;;;Source: Online complements to Ziliak (1997). Journal of Business Economics and Statistics web site: <https://amstat.tandfonline.com/loi/ubes20/>. || References: Colin Cameron A, K. Trivedi P (2005). _Microeconometrics: Methods and Applications_. Cambridge University Press. ISBN 0521848059, doi:10.1017/CBO9780511811241 <https://doi.org/10.1017/CBO9780511811241>. Ziliak JP (1997). “Efficient Estimation with Panel Data When Instruments Are Predetermined: An Empirical Comparison of Moment-Condition Estimators.” _Journal of Business & Economic Statistics_, *15*(4), 419-431. ISSN 07350015. || Description: A panel of 532 observations from 1979 to 1988 || Details: _number of observations_ : 5320;;wiki\datasets\r_package_docs\plm\topics\LaborSupply.md;;4;;panel;
