dataset_id,fiche_path,status,formula_pub,x_terms_pub,y_term_pub,source_ref,source_type,evidence_source,evidence_fiche,manual_search_reason,search_queries
Python_geodatasets_geoda.milwaukee1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.milwaukee1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::milwaukee1"" regression formula ; ""geodatasets geoda.milwaukee1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::milwaukee1"" model formula"
Python_geodatasets_geoda.ndvi,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.ndvi.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::ndvi"" regression formula ; ""geodatasets geoda.ndvi"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::ndvi"" model formula"
Python_geodatasets_geoda.nepal,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nepal.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::nepal"" regression formula ; ""geodatasets geoda.nepal"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::nepal"" model formula"
Python_geodatasets_geoda.nyc,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nyc.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::nyc"" regression formula ; ""geodatasets geoda.nyc"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::nyc"" model formula"
Python_geodatasets_geoda.nyc_education,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nyc_education.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::nyc_education"" regression formula ; ""geodatasets geoda.nyc education"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::nyc_education"" model formula"
Python_geodatasets_geoda.nyc_neighborhoods,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.nyc_neighborhoods.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::nyc_neighborhoods"" regression formula ; ""geodatasets geoda.nyc neighborhoods"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::nyc_neighborhoods"" model formula"
Python_geodatasets_geoda.orlando1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.orlando1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::orlando1"" regression formula ; ""geodatasets geoda.orlando1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::orlando1"" model formula"
Python_geodatasets_geoda.phoenix_acs,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.phoenix_acs.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::phoenix_acs"" regression formula ; ""geodatasets geoda.phoenix acs"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::phoenix_acs"" model formula"
Python_geodatasets_geoda.police,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.police.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::police"" regression formula ; ""geodatasets geoda.police"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::police"" model formula"
Python_geodatasets_geoda.sacramento1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.sacramento1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::sacramento1"" regression formula ; ""geodatasets geoda.sacramento1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::sacramento1"" model formula"
Python_geodatasets_geoda.savannah1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.savannah1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::savannah1"" regression formula ; ""geodatasets geoda.savannah1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::savannah1"" model formula"
Python_geodatasets_geoda.seattle1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.seattle1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::seattle1"" regression formula ; ""geodatasets geoda.seattle1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::seattle1"" model formula"
Python_geodatasets_geoda.tampa1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.tampa1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::tampa1"" regression formula ; ""geodatasets geoda.tampa1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::tampa1"" model formula"
Python_geodatasets_geoda.us_sdoh,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.us_sdoh.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::us_sdoh"" regression formula ; ""geodatasets geoda.us sdoh"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::us_sdoh"" model formula"
Python_geodatasets_naturalearth.cities,wiki/datasets/fiches_datasets/Python_geodatasets_naturalearth.cities.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::cities"" regression formula ; ""geodatasets naturalearth.cities"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::cities"" model formula"
Python_geodatasets_spdata.boston,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.boston.md,resolved_existing_python_fiche,log(CMEDV) ~ CRIM + I(RM^2) + log(LSTAT) + TAX + ZN + INDUS + CHAS + I(NOX^2) + AGE + log(DIS) + log(RAD) + PTRATIO + B,CRIM + I(RM^2) + log(LSTAT) + TAX + ZN + INDUS + CHAS + I(NOX^2) + AGE + log(DIS) + log(RAD) + PTRATIO + B,log(CMEDV),"Liu-type pretest and shrinkage estimation for the conditional autoregressive model, Table 1, Boston housing full model; dataset originally Harrison & Rubinfeld (1978).",scientific_article,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.boston.md,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.boston.md,,"""geodatasets::boston"" regression formula ; ""geodatasets spdata.boston"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::boston"" model formula"
Python_geodatasets_spdata.columbus,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.columbus.md,resolved_existing_python_fiche,CRIME ~ HOVAL + INC,HOVAL + INC,CRIME,"Anselin, Luc (1988) Spatial Econometrics: Methods and Models. Dordrecht: Kluwer Academic, Table 12.1, p. 189.",book,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.columbus.md,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.columbus.md,,"""geodatasets::columbus"" regression formula ; ""geodatasets spdata.columbus"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::columbus"" model formula"
Python_geodatasets_spdata.eire,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.eire.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::eire"" regression formula ; ""geodatasets spdata.eire"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::eire"" model formula"
Python_geodatasets_spdata.nydata,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.nydata.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::nydata"" regression formula ; ""geodatasets spdata.nydata"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::nydata"" model formula"
Python_geodatasets_spdata.wheat,wiki/datasets/fiches_datasets/Python_geodatasets_spdata.wheat.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::wheat"" regression formula ; ""geodatasets spdata.wheat"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::wheat"" model formula"
Python_libpysal_Baltimore,wiki/datasets/fiches_datasets/Python_libpysal_Baltimore.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""libpysal::Baltimore"" regression formula ; ""libpysal Baltimore"" spatial regression formula ; ""package Python `libpysal`"" ""libpysal::Baltimore"" model formula"
Python_libpysal_Elections,wiki/datasets/fiches_datasets/Python_libpysal_Elections.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""libpysal::Elections"" regression formula ; ""libpysal Elections"" spatial regression formula ; ""package Python `libpysal`"" ""libpysal::Elections"" model formula"
Python_libpysal_NYC_Socio-Demographics,wiki/datasets/fiches_datasets/Python_libpysal_NYC_Socio-Demographics.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""libpysal::NYC Socio-Demographics"" regression formula ; ""libpysal NYC Socio-Demographics"" spatial regression formula ; ""package Python `libpysal`"" ""libpysal::NYC Socio-Demographics"" model formula"
Python_libpysal_Ohiolung,wiki/datasets/fiches_datasets/Python_libpysal_Ohiolung.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""libpysal::Ohiolung"" regression formula ; ""libpysal Ohiolung"" spatial regression formula ; ""package Python `libpysal`"" ""libpysal::Ohiolung"" model formula"
Python_libpysal_Snow,wiki/datasets/fiches_datasets/Python_libpysal_Snow.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""libpysal::Snow"" regression formula ; ""libpysal Snow"" spatial regression formula ; ""package Python `libpysal`"" ""libpysal::Snow"" model formula"
Python_libpysal_chicagoSDOH,wiki/datasets/fiches_datasets/Python_libpysal_chicagoSDOH.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""libpysal::chicagoSDOH"" regression formula ; ""libpysal chicagoSDOH"" spatial regression formula ; ""package Python `libpysal`"" ""libpysal::chicagoSDOH"" model formula"
Python_libpysal_georgia,wiki/datasets/fiches_datasets/Python_libpysal_georgia.md,resolved_existing_python_fiche,PctBach~PctRural+PctFB+PctBlack+PctEld,PctRural+PctFB+PctBlack+PctEld,PctBach,"Fotheringham, Brunsdon & Charlton (2002), Wiley",book,wiki/datasets/fiches_datasets/Python_libpysal_georgia.md,wiki/datasets/fiches_datasets/Python_libpysal_georgia.md,,"""libpysal::georgia"" regression formula ; ""libpysal georgia"" spatial regression formula ; ""package Python `libpysal`"" ""libpysal::georgia"" model formula"
