source_language;source_catalogue;final_category;final_sheet;package;bundle;main_object;dataset_key;dataset;main_file_or_entry;role;keep;description_bundle;description;theme;n;k;useful_variable_count;useful_variables;variables;geometry_type;has_geometry;has_coordinates;coordinate_columns;has_place_name_if_no_geometry;place_name_columns;has_datetime;datetime_columns;has_y;candidate_y_variables;has_multiple_x;candidate_x_variables;auxiliary_files;local_files;duplicate_in_r;r_match;curation_decision;curation_reason;source;source_url;inventory_status;download_status
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;giscoR;gisco_coastal_lines;gisco_coastal_lines;;;;main_spatial_sf;;Coastal lines 2016 'sf' object;;geometries administratives / demographie;2129;2;0;;COAS_ID, geometry;;Yes;No;;No;;No;;Yes;COAS_ID;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;COAS_RG_20M_2016_4326.gpkg file.;;;
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;eea.large_rivers;large_rivers;eea.large_rivers;main_dataset_catalog_entry;yes;;Large rivers in Europe that have a catchment area large than 50,000 km2.;a qualifier manuellement;20;3;0;;NAME, Shape_Leng, geometry;LineString;Yes;No;;No;NAME;No;;Yes;Shape_Leng;No;;;data\downloads\software\python_datasets\csv\geodatasets__eea_large_rivers.csv, data\downloads\software\python_datasets\geojson\geodatasets__eea_large_rivers.geojson;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://github.com/geopandas/geodatasets/raw/refs/heads/main/data_backup/wise_large_rivers.zip;listed_from_geodatasets_catalog;extracted_csv_geojson
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;eurostat.nuts_lb_2024_3035;nuts_lb_2024_3035;eurostat.nuts_lb_2024_3035;main_dataset_catalog_entry;yes;;NUTS 2024 label points (LB), EPSG:3035 (ETRS89 / LAEA Europe).;a qualifier manuellement;1798;9;0;;;Point;Yes;No;;No;;No;;No;;No;;;;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://gisco-services.ec.europa.eu/distribution/v2/nuts/gpkg/NUTS_LB_2024_3035.gpkg;listed_from_geodatasets_catalog;extract_failed
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;eurostat.nuts_rg_10m_2024_3035;nuts_rg_10m_2024_3035;eurostat.nuts_rg_10m_2024_3035;main_dataset_catalog_entry;yes;;NUTS 2024 statistical regions (RG polygons), scale 1:10M, EPSG:3035 (ETRS89 / LAEA Europe).;a qualifier manuellement;1798;9;0;;;Polygon;Yes;No;;No;;No;;No;;No;;;;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://gisco-services.ec.europa.eu/distribution/v2/nuts/gpkg/NUTS_RG_10M_2024_3035.gpkg;listed_from_geodatasets_catalog;extract_failed
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;geoda.cars;cars;geoda.cars;main_dataset_catalog_entry;yes;;2011 abandoned vehicles in Chicago (311 complaints).;a qualifier manuellement;137867;21;0;;;Point;Yes;No;;No;;No;;No;;No;;;;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://geodacenter.github.io/data-and-lab//data/Abandoned_Vehicles_Map.csv;listed_from_geodatasets_catalog;extract_failed
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;geoda.juvenile;juvenile;geoda.juvenile;main_dataset_catalog_entry;yes;;Cardiff juvenile delinquent residences;a qualifier manuellement;168;4;0;;ID, X, Y, geometry;Point;Yes;Yes;X, Y;No;ID;No;;No;;No;;;data\downloads\software\python_datasets\csv\geodatasets__geoda_juvenile.csv, data\downloads\software\python_datasets\geojson\geodatasets__geoda_juvenile.geojson;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://geodacenter.github.io/data-and-lab//data/juvenile.zip;listed_from_geodatasets_catalog;extracted_csv_geojson
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;geoda.oz9799;oz9799;geoda.oz9799;main_dataset_catalog_entry;yes;;Monthly ozone data, 1997-99;a qualifier manuellement;30;78;0;;;Point;Yes;No;;No;;No;;No;;No;;;;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://geodacenter.github.io/data-and-lab//data/oz9799.zip;listed_from_geodatasets_catalog;extract_failed
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;geoda.spirals;spirals;geoda.spirals;main_dataset_catalog_entry;yes;;Synthetic spiral points;a qualifier manuellement;300;2;0;;;Point;Yes;No;;No;;No;;No;;No;;;;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://geodacenter.github.io/data-and-lab//data/spirals.csv;listed_from_geodatasets_catalog;extract_failed
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;geodatasets;;;ny.bb;bb;ny.bb;main_dataset_catalog_entry;yes;;The borough boundaries of New York City clipped to the shoreline at mean high tide for 2016.;a qualifier manuellement;5;5;0;;;Polygon;Yes;No;;No;;No;;No;;No;;;;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://www.nyc.gov/assets/planning/download/zip/data-maps/open-data/nybb_16a.zip;listed_from_geodatasets_catalog;extract_failed
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;libpysal;;;Juvenile;Juvenile;Juvenile;main_dataset_catalog_entry;yes;; Cardiff juvenile delinquent residences;a qualifier manuellement;168;4;0;;ID, X, Y, geometry;;Yes;Yes;X, Y;No;ID;No;;No;;No;;;data\downloads\software\python_datasets\csv\libpysal__Juvenile.csv, data\downloads\software\python_datasets\geojson\libpysal__Juvenile.geojson;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;;listed_from_libpysal_examples;extracted_csv_geojson
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;libpysal;;;juvenile;juvenile;juvenile;main_dataset_catalog_entry;yes;;Residences of juvenile offenders in Cardiff, UK;a qualifier manuellement;168;4;0;;ID, X, Y, geometry;;Yes;Yes;X, Y;No;ID;No;;No;;No;;;data\downloads\software\python_datasets\csv\libpysal__juvenile.csv, data\downloads\software\python_datasets\geojson\libpysal__juvenile.geojson;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;;listed_from_libpysal_examples;extracted_csv_geojson
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;xarray;;;basin_mask;basin_mask;basin_mask;main_dataset_catalog_entry;yes;;;a qualifier manuellement;2138400;1;2;basin, Z;basin, X, Y, Z;;Yes;Yes;X, Y;No;;No;;Yes;basin;No;Z;;data\downloads\software\python_datasets\netcdf\xarray__basin_mask.nc;No;;Declasser auxiliaire;"Nom et structure suggerent une couche support; peu de variables modelisables.";;;listed_from_xarray_tutorial;extracted_netcdf
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;scikit-mobility;;;data/datasets/flow_foursquare_nyc/flow_foursquare_nyc.json;flow_foursquare_nyc;data/datasets/flow_foursquare_nyc/flow_foursquare_nyc.json;metadata_or_tabular_file;yes_auxiliary;;FlowDataFrame describing the movements of individual (from FourSquare) between tiles of size 4km in New York City.;mobilite / trajectoires;;;0;;;;Yes;No;;No;;No;;No;;No;;;data\downloads\software\python_datasets\files\scikit-mobility\scikit-mobility__data_datasets_flow_foursquare_nyc_flow_foursquare_nyc_json.json;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;http://www-public.it-sudparis.eu/~zhang_da/pub/dataset_tsmc2014.zip;embedded_package_file;copied_package_file
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;scikit-mobility;;;data/datasets/foursquare_nyc/foursquare_nyc.json;foursquare_nyc;data/datasets/foursquare_nyc/foursquare_nyc.json;metadata_or_tabular_file;yes_auxiliary;;Dataset containing the Foursquare checkins of individuals moving in New York City;mobilite / trajectoires;;;0;;;;Yes;No;;No;;No;;No;;No;;;data\downloads\software\python_datasets\files\scikit-mobility\scikit-mobility__data_datasets_foursquare_nyc_foursquare_nyc_json.json;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;http://www-public.it-sudparis.eu/~zhang_da/pub/dataset_tsmc2014.zip;embedded_package_file;copied_package_file
Python;software_python_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_Python;scikit-mobility;;;data/datasets/nyc_boundaries/nyc_boundaries.json;nyc_boundaries;data/datasets/nyc_boundaries/nyc_boundaries.json;metadata_or_tabular_file;yes_auxiliary;;This Shapefile containts the Borough Boundaries of NYC (Water Areas Included);mobilite / trajectoires;;;0;;;;Yes;No;;No;;No;;No;;No;;;data\downloads\software\python_datasets\files\scikit-mobility\scikit-mobility__data_datasets_nyc_boundaries_nyc_boundaries_json.json;No;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;;https://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nybbwi_22a.zip;embedded_package_file;copied_package_file
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;SplashDams;SplashDams;;;;main_spatial_sp;;Data for Splash Dams in western Oregon;;a qualifier manuellement;232;6;2;height, owner;streamName, locationCode, height, lastDate, owner, datesUsed;;Yes;No;;No;streamName;Yes;lastDate, datesUsed;Yes;locationCode;Yes;height, owner;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";"R. R. Miller (2010) Is the Past Present? Historical Splash-dam Mapping and Stream Disturbance Detection in the Oregon Coastal Province. MSc. thesis, Oregon State University; packaged by Jonathan Callahan";;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;afcon;afcon;;;;main_table;;Spatial patterns of conflict in Africa 1966-78;;crime / conflit / securite;42;5;1;totcon;x, y, totcon, name, id;;Yes;Yes;x, y;No;name;No;;Yes;totcon;No;id;africa.rook.nb, afxy, paper.nb;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";Anselin, L. and John O'Loughlin. 1992. Geography of international conflict and cooperation: spatial dependence and regional context in Africa. In The New Geopolitics, ed. M. Ward, pp. 39-75. Philadelphia, PA: Gordon and Breach. also: Anselin, L. 1995. Local indicators of spatial association, Geographical Analysis, 27, Table 1, p. 103.;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;auckland;auckland;;;;main_table;;Marshall's infant mortality in Auckland dataset;;sante / epidemiologie;167;4;2;Deaths.1977.85, Under.5.1981;Easting, Northing, Deaths.1977.85, Under.5.1981;;Yes;Yes;Easting, Northing;No;;No;;Yes;Deaths.1977.85;No;Under.5.1981;auckland.nb, auckpolys;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";"Marshall R M (1991) Mapping disease and mortality rates using Empirical Bayes Estimators, Applied Statistics, 40, 283-294; Bailey T, Gatrell A (1995) Interactive Spatial Data Analysis, Harlow: Longman - INFOMAP data set used with permission.";;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;coffee_data;coffee_data;;;;main_table;;World coffee production data;;economie / panel / econometrie;47;3;2;coffee_production_2016, coffee_production_2017;name_long, coffee_production_2016, coffee_production_2017;;Yes;Yes;name_long;No;name_long;No;;Yes;coffee_production_2016;No;coffee_production_2017;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";The International Coffee Organization (ICO). See http://www.ico.org/ and http://www.ico.org/prices/m1-exports.pdf;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;congruent;congruent;;;;main_spatial_sf;;Datasets to illustrate the concept of spatial congruence;;a qualifier manuellement;9;3;2;level, value;level, value, geometry;;Yes;No;;No;;No;;Yes;value;No;;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://en.wikipedia.org/wiki/ONS_coding_system>;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;cycle_hire;cycle_hire;;;;main_spatial_sf;;Cycle hire points in London;;transport / mobilite;742;6;2;nbikes, nempty;id, name, area, nbikes, nempty, geometry;;Yes;No;;No;name;No;;Yes;id;Yes;area, nbikes, nempty;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://www.data.gov.uk/>;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;cycle_hire_osm;cycle_hire_osm;;;;main_spatial_sf;;Cycle hire points in London from OSM;;biodiversite / ecologie;540;6;1;description;osm_id, name, capacity, cyclestreets_id, description, geometry;;Yes;No;;No;name, capacity;No;;Yes;osm_id;Yes;cyclestreets_id, description;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://www.openstreetmap.org>;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;elect80;elect80;;;;main_spatial_sp;;1980 Presidential election results;;housing / immobilier;3107;5;4;pc_turnout, pc_college, pc_homeownership, pc_income;FIPS, pc_turnout, pc_college, pc_homeownership, pc_income;;Yes;No;;No;FIPS;No;;Yes;pc_income;Yes;pc_turnout, pc_college, pc_homeownership;dll, e80_queen, elect80_lw, k4;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";"Pace, R. Kelley and Ronald Barry. 1997. ""Quick Computation of Spatial Autoregressive Estimators"", in Geographical Analysis; sourced from the data folder in the Spatial Econometrics Toolbox for Matlab, formerly available from http://www.spatial-econometrics.com/html/jplv7.zip, files 'elect.dat' and 'elect.ford' (with the final line dropped).";;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;incongruent;incongruent;;;;main_spatial_sf;;Datasets to illustrate the concept of spatial congruence;;a qualifier manuellement;9;3;2;level, value;level, value, geometry;;Yes;No;;No;;No;;Yes;value;No;;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;lnd;lnd;;;;main_spatial_sf;;The boroughs of London;;a qualifier manuellement;33;8;4;HECTARES, ONS_INNER, SUB_2009, SUB_2006;NAME, GSS_CODE, HECTARES, NONLD_AREA, ONS_INNER, SUB_2009, SUB_2006, geometry;;Yes;No;;No;NAME;No;;Yes;GSS_CODE;Yes;HECTARES, NONLD_AREA, ONS_INNER, SUB_2009, SUB_2006;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://github.com/Robinlovelace/Creating-maps-in-R>;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;nz;nz;;;;main_spatial_sf;;Regions in New Zealand;;economie / panel / econometrie;16;7;3;Island, Median_income, Sex_ratio;Name, Island, Land_area, Population, Median_income, Sex_ratio, geom;;Yes;Yes;Population;No;Name;No;;Yes;Median_income;Yes;Land_area, Sex_ratio;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://www.stats.govt.nz> <https://en.wikipedia.org/wiki/Regions_of_New_Zealand>;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;nz_height;nz_height;;;;main_spatial_sf;;High points in New Zealand;;a qualifier manuellement;101;3;2;t50_fid, elevation;t50_fid, elevation, geometry;;Yes;No;;No;;No;;Yes;t50_fid;No;elevation;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://data.linz.govt.nz>;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;state.vbm;state.vbm;;;;main_spatial_sp;;US State Visibility Based Map;;geometries administratives / demographie;50;2;2;center_x, center_y;center_x, center_y;;Yes;No;;No;;No;;Yes;center_x;No;center_y;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";The data was converted from the maps library for S-PLUS. S-PLUS uses the map with permission from the author. This version of the data has not received permission from the author (no attempt made, not that it was refused), most of my uses I feel fall under fair use and do not violate copyright, but you will need to decide for yourself and your applications.;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;urban_agglomerations;urban_agglomerations;;;;main_spatial_sf;;Major urban areas worldwide;;geometries administratives / demographie;540;10;4;"index, rank
order, urban_agglomeration, note";"index, year, rank
order, country
code, country_or_area, city_code, urban_agglomeration, note, population_millions, geometry";;Yes;Yes;population_millions;No;"country
code, country_or_area, city_code";Yes;year;Yes;index;Yes;"rank
order, note";;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;us_states;us_states;;;;main_spatial_sf;;US states polygons;;geometries administratives / demographie;49;7;2;total_pop_10, total_pop_15;GEOID, NAME, REGION, AREA, total_pop_10, total_pop_15, geometry;;Yes;No;;No;GEOID, NAME, REGION;No;;Yes;total_pop_10, total_pop_15;No;AREA;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html>;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;used.cars;used.cars;;;;main_table;;US 1960 used car prices;;housing / immobilier;48;2;2;tax.charges, price.1960;tax.charges, price.1960;;No;No;;No;;No;;Yes;price.1960;No;tax.charges;usa48.nb;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";Hanna, F. A. 1966 Effects of regional differences in taxes and transport charges on automobile consumption, in Ostry, S., Rhymes, J. K. (eds) Papers on regional statistical studies, Toronto: Toronto University Press, pp. 199-223.;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spData;wheat;wheat;;;;main_table;;Mercer and Hall wheat yield data;;agronomie / agriculture;500;3;1;yield;lon, lat, yield;;Yes;Yes;lon, lat;No;;No;;Yes;yield;No;;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";Cressie, N. A. C. (1993) Statistics for Spatial Data. Wiley, New York, p. 455.;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spDataLarge;bristol_ways;bristol_ways;;;;main_spatial_sf;;Datasets providing a snapshot of Bristol's transport system;;transport / mobilite;6160;4;3;highway, maxspeed, ref;highway, maxspeed, ref, geometry;;Yes;No;;No;;No;;Yes;highway;No;;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";<https://wicid.ukdataservice.ac.uk/> and other open access sources;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spDataLarge;census_de;census_de;;;;main_table;;Datasets providing building blocks for a location analysis;;a qualifier manuellement;210556;6;4;pop, women, mean_age, hh_size;x, y, pop, women, mean_age, hh_size;;Yes;Yes;x, y;No;;No;;Yes;pop;Yes;women, mean_age, hh_size;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;spDataLarge;shops;shops;;;;main_spatial_sf;;Datasets providing building blocks for a location analysis;;a qualifier manuellement;180035;3;1;shop;osm_id, shop, geometry;;Yes;No;;No;;No;;No;;No;;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;GWmodel;GeorgiaCounties;Gedu.counties;;;;main_spatial_sp;;Georgia counties data (SpatialPolygonsDataFrame);;a qualifier manuellement;159;8;1;G_UTM_;AREA, PERIMETER, G_UTM_, G_UTM_ID, AREANAME, AREAKEY, X_COORD, Y_COORD;;Yes;Yes;X_COORD, Y_COORD;No;AREANAME;No;;Yes;AREA;Yes;PERIMETER, G_UTM_, G_UTM_ID, AREAKEY;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;mgwrsar;mydatasf;mydatasf;;;;main_spatial_sf;;mydataf is a Simple Feature object with real estate data in south of France.;;housing / immobilier;1403;6;3;price, footage, pbb45;price, year, footage, land_area, pbb45, geometry;;Yes;No;;No;;Yes;year;Yes;price;Yes;footage, land_area, pbb45;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;gstat;coalash;coalash;;;;main_table;;Coal ash samples from a mine in Pennsylvania;;a qualifier manuellement;208;3;1;coalash;x, y, coalash;;Yes;Yes;x, y;No;;No;;Yes;coalash;No;;;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Spatial simple;Spatial_simple;gstat;sic97;sic_full;;;;main_spatial_sp;;Spatial Interpolation Comparison 1997 data set: Swiss Rainfall;;a qualifier manuellement;467;2;1;rainfall;ID, rainfall;;Yes;No;;No;;No;;Yes;ID;No;rainfall;demstd;;;;Spatial simple;"Information spatiale presente, mais moins de 5 variables modelisables; utile surtout pour cartographie, autocorrelation ou krigeage simple.";NA;;;
