dataset_id,N,T,structure,data_type,geometrie,n_y_candidates,n_x_candidates,license,publication_doi,formula_pub
Python_geodatasets_spdata.nydata,281,1,coupe_transversale,spatial,POINT,3,5,BSD 3-Clause,pending,pending
Python_geodatasets_spdata.wheat,500,1,coupe_transversale,spatial,POINT,1,1,BSD 3-Clause,pending,pending
Python_libpysal_Baltimore,211,1,coupe_transversale,spatial,POINT,1,13,BSD 3-Clause,pending,pending
Python_libpysal_Elections,3108,1,coupe_transversale,spatial,POINT,6,38,BSD 3-Clause,pending,pending
Python_libpysal_NYC_Socio-Demographics,2166,1,coupe_transversale,spatial,POINT,7,41,BSD 3-Clause,pending,pending
Python_libpysal_Ohiolung,88,1,coupe_transversale,spatial,POINT,6,19,BSD 3-Clause,pending,pending
Python_libpysal_Snow,1852,1,coupe_transversale,spatial,POINT,3,4,BSD 3-Clause,pending,pending
Python_libpysal_chicagoSDOH,791,617,panel,spatio-temporel,POINT,11,31,BSD 3-Clause,pending,pending
Python_libpysal_georgia,159,1,coupe_transversale,spatial,POINT,3,6,BSD 3-Clause,pending,pending
R_GWmodel_DubVoter_Dub.voter,322,1,coupe_transversale,spatial,POINT,1,8,GPL (>= 2),pending,GenEl2004~DiffAdd+LARent+SC1+Unempl+LowEduc+Age18_24+Age25_44+Age45_64
R_GWmodel_EWHP_ewhp,519,1,coupe_transversale,spatial,POINT,1,8,GPL (>= 2),pending,pending
R_GWmodel_GeorgiaCounties_Gedu.counties,159,1,coupe_transversale,spatial,POINT,2,1,GPL (>= 2),pending,pending
R_GWmodel_LondonBorough_londonborough,35,1,coupe_transversale,spatial,POINT,2,2,GPL (>= 2),pending,pending
R_GWmodel_LondonHP_londonhp,316,1,coupe_transversale,spatial,POINT,1,19,GPL (>= 2),10.1080/13658816.2013.865739,PURCHASE ~ FLOORSZ
R_GWmodel_USelect_USelect2004,3111,1,coupe_transversale,spatial,POINT,1,5,GPL (>= 2),pending,winner ~ unemploy + pctcoled + PEROVER65 + pcturban + WHITE
R_SpatialEpi_pennLC_sf_pennLC_sf,1072,1,coupe_transversale,spatial,POINT,1,5,GPL-2,pending,pending
R_ade4_atlas_atlas,23,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_atya_atya,31,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_avijons_avijons,91,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_buech_buech,31,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_butterfly_butterfly,16,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_doubs_doubs,30,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_elec88_elec88,94,1,coupe_transversale,spatial,POINT,2,7,GPL (>= 2),pending,pending
R_ade4_irishdata_irishdata,25,1,coupe_transversale,spatial,POINT,3,9,GPL (>= 2),pending,pending
R_ade4_julliot_julliot,160,1,coupe_transversale,spatial,POINT,7,0,GPL (>= 2),pending,pending
R_ade4_jv73_jv73,92,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_kcponds_kcponds,33,1,coupe_transversale,spatial,POINT,5,10,GPL (>= 2),pending,pending
R_ade4_macon_macon,8,1,coupe_transversale,spatial,POINT,1,22,GPL (>= 2),pending,pending
R_ade4_mafragh_mafragh,97,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_oribatid_oribatid,70,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_pcw_pcw,50,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_sarcelles_sarcelles,14,1,coupe_transversale,spatial,POINT,6,6,GPL (>= 2),pending,pending
R_ade4_t3012_t3012,30,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_tintoodiel_tintoodiel,52,1,coupe_transversale,spatial,POINT,4,12,GPL (>= 2),pending,pending
R_ade4_vegtf_vegtf,337,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_ade4_zealand_zealand,13,1,coupe_transversale,spatial,POINT,0,0,GPL (>= 2),pending,pending
R_agridat_gartner.corn_gartner.corn,4949,4949,panel,spatio-temporel,POINT,2,2,GPL-2,pending,pending
R_agridat_lasrosas.corn_lasrosas.corn,3443,2,panel,spatio-temporel,POINT,1,5,GPL-2,pending,yield ~ 1 + nitro + I(nitro^2) (referencee dans catalogue)
R_agridat_ortiz.tomato.covs_ortiz.tomato.covs,18,1,coupe_transversale,spatial,POINT,2,15,GPL-2,pending,pending
R_agridat_usgs.herbicides_usgs.herbicides,184,62,panel,spatio-temporel,POINT,8,5,GPL-2,pending,pending
R_agridat_wallace.iowaland_wallace.iowaland,99,1,coupe_transversale,spatial,POINT,2,4,GPL-2,pending,pending (referencee dans catalogue)
R_gstat_DE_RB_2005_DE_RB_2005,23230,365,panel,spatio-temporel,POINT,2,4,GPL (>= 2.0),pending,PM10 ~ 1
R_gstat_jura_jura.pred,259,1,coupe_transversale,spatial,POINT,7,2,GPL (>= 2.0),pending,pending
R_gstat_jura_jura.val,100,1,coupe_transversale,spatial,POINT,7,2,GPL (>= 2.0),pending,pending
R_gstat_meuse.all_meuse.all,164,1,coupe_transversale,spatial,POINT,4,7,GPL (>= 2.0),pending,pending
R_gstat_oxford_oxford,126,1,coupe_transversale,spatial,POINT,12,7,GPL (>= 2.0),pending,pending
R_sfdep_guerry_nb_guerry_nb,85,1,coupe_transversale,spatial,POINT,8,13,GPL-3,10.1214/10-AOAS356,pending
R_spDataLarge_lsl_lsl,350,1,coupe_transversale,spatial,POINT,1,5,CC0,10.1016/j.geomorph.2011.10.029,lslpts ~ slope + cplan + cprof + elev + log10_carea
R_spDataLarge_pol_pres15_pol_pres15,2495,2069,panel,spatio-temporel,POINT,6,20,CC0,pending,pending
R_spData_depmunic_depmunic,7,1,coupe_transversale,spatial,POINT,2,4,CC0,10.1111/gean.12049,"y_{i,j} = rho * W_i * y + x'_{i,j} * beta + z'_j * gamma + theta_j + epsilon_{i,j}; theta_j = lambda * M_j * theta + mu_j"
R_spData_house_house,25357,1444,panel,spatio-temporel,POINT,2,21,CC0,pending,pending
R_spData_nz_nz,16,1,coupe_transversale,spatial,POINT,3,2,CC0,pending,pending
R_spData_properties_properties,1000,1,coupe_transversale,spatial,POINT,2,3,CC0,10.1111/gean.12049,pending
R_spData_world_world,177,1,coupe_transversale,spatial,POINT,3,5,CC0,pending,pending
R_sp_meuse.grid_ll_meuse.grid_ll,3103,1,coupe_transversale,spatial,POINT,1,4,GPL (>= 2),pending,pending
R_sp_meuse.grid_meuse.grid,3103,1,coupe_transversale,spatial,POINT,1,4,GPL (>= 2),pending,pending
R_sp_meuse_meuse,155,1,coupe_transversale,spatial,POINT,4,8,GPL (>= 2),pending,log(zinc) ~ sqrt(dist)
R_spaMM_Leuca_Leuca,156,1,coupe_transversale,spatial,POINT,4,5,CeCILL-2,10.1111/mec.15833,fec_div ~ sex + Matern(1|x+y %in% sex)
R_spaMM_Loaloa_Loaloa,197,1,coupe_transversale,spatial,POINT,1,8,CeCILL-2,10.1179/136485907X229121,"cbind(npos, ntot-npos) ~ elev1 + elev2 + elev3 + elev4 + maxNDVI1 + seNDVI + Matern(1|longitude+latitude)"
R_spaMM_arabidopsis_arabidopsis,948,1,coupe_transversale,spatial,POINT,4,13,CeCILL-2,10.1126/science.1209271,"cbind(pos1046738, 1-pos1046738) ~ seasonal + Matern(1|LAT+LONG)"
R_spatstat.data_nbfires_nbfires,7108,16,panel,spatio-temporel,POINT,1,6,GPL (>= 2),10.1007/s10651-007-0085-1,pending
R_spdep_oldcol_COL.OLD,49,1,coupe_transversale,spatial,POINT,2,10,GPL (>= 2),pending,CRIME ~ HOVAL + INC
R_surveillance_hagelloch_hagelloch.df,188,1,coupe_transversale,spatial,POINT,7,11,GPL-2,10.1093/biostatistics/5.2.249,~ household + cox(AGE)
R_surveillance_hagelloch_hagelloch,70500,1,coupe_transversale,spatial,POINT,2,10,GPL-2,10.1093/biostatistics/5.2.249,~ household + cox(AGE)
