dataset_id,regression_status,evidence_level,method,homolog
R_ade4_butterfly_butterfly,mauvais candidat,,,
R_ade4_doubs_doubs,mauvais candidat,,,
R_ade4_elec88_elec88,mauvais candidat,,,
R_ade4_irishdata_irishdata,candidat par analogie -- non verifie,analogie,OLS,
R_ade4_julliot_julliot,mauvais candidat,,,
R_ade4_jv73_jv73,mauvais candidat,,,
R_ade4_kcponds_kcponds,mauvais candidat,,,
R_ade4_macon_macon,mauvais candidat,,,
R_ade4_mafragh_mafragh,mauvais candidat,,,
R_ade4_oribatid_oribatid,a verifier,article,Ordination sous contrainte,
R_ade4_pcw_pcw,mauvais candidat,,,
R_ade4_sarcelles_sarcelles,mauvais candidat,,,
R_ade4_t3012_t3012,mauvais candidat,,,
R_ade4_tintoodiel_tintoodiel,candidat par analogie -- non verifie,analogie,OLS,
R_ade4_vegtf_vegtf,mauvais candidat,,,
R_ade4_zealand_zealand,mauvais candidat,,,
R_agridat_gartner.corn_gartner.corn,bon candidat,article,GWR,
R_agridat_lasrosas.corn_lasrosas.corn,bon candidat,verbatim,SEM heteroskedastique,Python_geodatasets_geoda.lasrosas
R_agridat_ortiz.tomato.covs_ortiz.tomato.covs,bon candidat,verbatim,PLS,
R_agridat_usgs.herbicides_usgs.herbicides,bon candidat,article,Regression multiple log-log,
R_agridat_wallace.iowaland_wallace.iowaland,bon candidat,code,OLS hedonique (valeur des terres agricoles),
R_gstat_DE_RB_2005_DE_RB_2005,a verifier,verbatim,Krigeage spatio-temporel,
R_gstat_jura_jura.pred,candidat par analogie -- non verifie,analogie,OLS,
R_gstat_jura_jura.val,candidat par analogie -- non verifie,analogie,OLS,
R_gstat_meuse.all_meuse.all,bon candidat,verbatim,OLS + krigeage universel,R_sp_meuse_meuse
R_gstat_oxford_oxford,candidat par analogie -- non verifie,analogie,GWR/OLS,
R_sfdep_guerry_nb_guerry_nb,mis de cote,,,
R_spDataLarge_lsl_lsl,bon candidat,verbatim,GLM logistique (classification binaire glissements de terrain),
R_spDataLarge_pol_pres15_pol_pres15,mauvais candidat,,,
R_spData_depmunic_depmunic,a verifier,article,Modele autoregressif spatial hierarchique (SAR multi-niveaux),
R_spData_house_house,bon candidat,verbatim,OLS/SAR/krigeage,
R_spData_nz_nz,mauvais candidat,,,
R_spData_properties_properties,candidat par analogie -- non verifie,analogie,OLS,
R_spData_world_world,candidat par analogie -- non verifie,analogie,OLS (courbe de Preston),
R_sp_meuse.grid_ll_meuse.grid_ll,mauvais candidat,,,
R_sp_meuse.grid_meuse.grid,mauvais candidat,,,
R_sp_meuse_meuse,bon candidat,verbatim,OLS + krigeage universel,R_gstat_meuse.all_meuse.all
R_spaMM_Leuca_Leuca,bon candidat,verbatim,GLMM geostatistique (effet spatial Matern sexe-specifique),
R_spaMM_Loaloa_Loaloa,bon candidat,verbatim,GLMM binomial geostatistique (Matern),
R_spaMM_arabidopsis_arabidopsis,bon candidat,verbatim,"GLMM binomial geostatistique (Matern), genomique du paysage",
R_spatstat.data_nbfires_nbfires,a verifier,,,
R_spdep_oldcol_COL.OLD,bon candidat,verbatim,OLS/Lag/Erreur,Python_geodatasets_spdata.columbus
R_surveillance_hagelloch_hagelloch,bon candidat,verbatim,twinSIR (modele de survie / processus de comptage pour epidemie),R_surveillance_hagelloch_hagelloch.df
R_surveillance_hagelloch_hagelloch.df,bon candidat,verbatim,twinSIR (modele de survie / processus de comptage pour epidemie),R_surveillance_hagelloch_hagelloch
