doi;doi_url;package_datasets;title;authors;year;doi_type;venue;oa_status;download_status;downloaded_file;pdf_url;source_api;license;landing_url;file_size;sha256;failure_reason;model_signal
10.1017/cbo9780511811241;https://doi.org/10.1017/cbo9780511811241;plm::LaborSupply;Microeconometrics;"A. Colin Cameron; Pravin K. Trivedi";2005;monograph;;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1017/cbo9780511811241;;;unpaywall_skipped_missing_email;
10.1017/s0007485399000656;https://doi.org/10.1017/s0007485399000656;agridat::holland.arthropods;The within-field spatial and temporal distribution of arthropods in winter wheat;"J.M. Holland; J.N. Perry; L. Winder";1999;journal-article;Bulletin of Entomological Research;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1017/s0007485399000656;;;unpaywall_skipped_missing_email;linyphiidae ~ col*row | n.brevicollis ~ col*row | linyphiidae~ col*row | collembola ~ col*row | carabidae ~ col*row | lycosidae ~ col*row
10.1038/nature12872;https://doi.org/10.1038/nature12872;vegan::BCI;Three keys to the radiation of angiosperms into freezing environments;"Amy E. Zanne; David C. Tank; William K. Cornwell; Jonathan M. Eastman; Stephen A. Smith; Richard G. FitzJohn; Daniel J. McGlinn; Brian C. O’Meara";2014;journal-article;Nature;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1038/nature12872;;;"openalex:not_pdf content_type=text/html; charset=""utf-8"" prefix=b'<!DOC' | crossref:not_pdf content_type=text/html; charset=""utf-8"" prefix=b'<!DOC' | crossref:not_pdf content_type=text/html; charset=""utf-8"" prefix=b'<!DOC' | unpaywall_skipped_missing_email";
10.1038/s41437-024-00743-9;https://doi.org/10.1038/s41437-024-00743-9;agridat::connolly.potato;Incorporating spatial and genetic competition into breeding pipelines with the R package gencomp;"Saulo F. S. Chaves; Filipe M. Ferreira; Getulio C. Ferreira; Salvador A. Gezan; Kaio Olimpio G. Dias";2025;journal-article;Heredity;green;downloaded;corpus\papers\raw_pdf\agridat_connolly.potato - Incorporating spatial and genetic competition into breeding pipelines with the R package gencomp.pdf;https://www.nature.com/articles/s41437-024-00743-9.pdf;crossref;https://www.springernature.com/gp/researchers/text-and-data-mining;https://doi.org/10.1038/s41437-024-00743-9;5837089;d200f7964588bf6efd6664f2e27adfcd4799956d77c0a86ab27fc093069a4fdf;;yield~col*row | yield~matur | yield~gen | row~col | yield ~ cov | lm(yield ~ 0 + gen + rep + cov, data=dat
10.1071/ar9880339;https://doi.org/10.1071/ar9880339;agridat::williams.barley.uniformity;The use of uniformity data in the design and analysis of cotton and barley variety trials;"ER Williams; DJ Luckett";1988;journal-article;Australian Journal of Agricultural Research;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1071/ar9880339;;;crossref:http_403 | unpaywall_skipped_missing_email;yield ~ col*row | yield~col*row | fit~col*row | aov(yield ~ factor(row | desplot(dat, yield ~ col*row, | dat$fit <- fitted(loess(yield~col*row, dat, span=.1))
10.1111/1467-9868.00201;https://doi.org/10.1111/1467-9868.00201;agridat::besag.elbatan;Bayesian Analysis of Agricultural Field Experiments;"Julian Besag; David Higdon";1999;journal-article;Journal of the Royal Statistical Society Series B: Statistical Methodology;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/1467-9868.00201;;;openalex:http_403 | crossref:http_400 | unpaywall_skipped_missing_email;yield~col*row | yield~row|col | lm(yield ~ 0 + gen + factor(col | gam(yield ~ -1 + gen + factor(col | https://web.archive.org/web/19991008143232/www.stat.duke.edu/~higdon/trials/elbatan.dat | Julian Besag and D Higdon, 1999. Bayesian Analysis of
10.1111/1467-9876.00154;https://doi.org/10.1111/1467-9876.00154;agridat::verbyla.lupin;The Analysis of Designed Experiments and Longitudinal Data by Using Smoothing Splines;"Arũnas P. Verbyla; Brian R. Cullis; Michael G. Kenward; Sue J. Welham";1999;journal-article;Journal of the Royal Statistical Society Series C: Applied Statistics;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/1467-9876.00154;;;openalex:http_403 | crossref:http_400 | unpaywall_skipped_missing_email;gen~col+row|site | yield ~ rate|loc*gen | asreml(yield ~ 1 + site + linrate + site:linrate, data = dat, random = ~ spl(rate | desplot(dat, gen~col+row|site, | foo <- xyplot(yield ~ rate|loc*gen, data=dat, subset=year==92, | m0 <- asreml(yield ~ 1
10.1111/ecog.00566;https://doi.org/10.1111/ecog.00566;spaMM::arabidopsis;Testing environmental and genetic effects in the presence of spatial autocorrelation;"François Rousset; Jean‐Baptiste Ferdy";2014;journal-article;Ecography;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/ecog.00566;;;openalex:http_403 | crossref:http_400 | unpaywall_skipped_missing_email;fitme(cbind(pos1046738,1-pos1046738)~seasonal+Matern(1|LAT+LONG), | SNPfit <- fitme(cbind(pos1046738,1-pos1046738)~seasonal+Matern(1|LAT+LONG),
10.1111/j.0002-9092.2004.00610.x;https://doi.org/10.1111/j.0002-9092.2004.00610.x;agridat::lasrosas.corn;A Spatial Econometric Approach to the Economics of Site‐Specific Nitrogen Management in Corn Production;"Luc Anselin; Rodolfo Bongiovanni; Jess Lowenberg‐DeBoer";2004;journal-article;American Journal of Agricultural Economics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/j.0002-9092.2004.00610.x;;;crossref:http_400 | crossref:http_403 | crossref:http_403 | unpaywall_skipped_missing_email;yield ~ long*lat|factor(year | lat~long | yield~nitro|topo | lm(yield ~ 1 + nitro + I(nitro^2 | corn with a spatial regression model. Proceedings of the Fifth | Four Spatial Regression Models for Yield Monitor Data: A Case
10.1111/j.1365-2745.2010.01743.x;https://doi.org/10.1111/j.1365-2745.2010.01743.x;ade4::mafragh;Linking patterns in phylogeny, traits, abiotic variables and space: a novel approach to linking environmental filtering and plant community assembly;"Sandrine Pavoine; Errol Vela; Sophie Gachet; Gérard de Bélair; Michael B. Bonsall";2011;journal-article;Journal of Ecology;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/j.1365-2745.2010.01743.x;;;openalex:http_403 | crossref:http_400 | unpaywall_skipped_missing_email;g12 <- lattice::xyplot(ms1$li[, 1] ~ coa1$li[, 1])
10.1111/j.1468-0475.2010.00513.x;https://doi.org/10.1111/j.1468-0475.2010.00513.x;AER::Grunfeld;The Grunfeld Data at 50;"Christian Kleiber; Achim Zeileis";2010;journal-article;German Economic Review;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/j.1468-0475.2010.00513.x;;;crossref:http_400 | unpaywall_skipped_missing_email;"lm(invest ~ value + capital, data = ggr, subset = firm == ""General Motors"" | lm(invest ~ value + capital, data = ggr | invest ~ value + capital | fm_gm <- lm(invest ~ value + capital, data = ggr, subset = firm == ""General Motors"") | fm_pool <- lm(invest ~ value + capital, data = ggr) | fm_ols <- systemfit(invest ~ value + capital, data = pggr, method = ""OLS"")"
10.1111/j.1541-0420.2011.01684.x;https://doi.org/10.1111/j.1541-0420.2011.01684.x;spatstat.data::meningitis;A Space–Time Conditional Intensity Model for Invasive Meningococcal Disease Occurrence;"Sebastian Meyer; Johannes Elias; Michael Höhle";2012;journal-article;Biometrics;green;downloaded;corpus\papers\raw_pdf\spatstat.data_meningitis - A SpaceTime Conditional Intensity Model for Invasive Meningococcal Disease Occurrence.pdf;https://arxiv.org/pdf/1508.05740;openalex;;http://arxiv.org/abs/1508.05740;4414590;ed2b75c9c296a1e245d3fbe31f7d6d372702f4b948e760d00a9e1f280df9d7be;;
10.1111/j.1740-9713.2017.01071.x;https://doi.org/10.1111/j.1740-9713.2017.01071.x;HistData::Playfair1824;Who is buried in Playfair's Grave?;"Ian Spence; Colin R. Fenn; Scott Klein";2017;journal-article;Significance;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/j.1740-9713.2017.01071.x;;;openalex:http_403 | crossref:http_400 | crossref:http_403 | unpaywall_skipped_missing_email;
10.1111/j.1744-7348.1993.tb04099.x;https://doi.org/10.1111/j.1744-7348.1993.tb04099.x;agridat::connolly.potato;Inter‐plot competition in yield trials of potatoes <i>(Solanum tuberosum</i> L.) with single‐drill plots;"T CONNOLLY; I D CURRIE; J E BRADSHAW; J W McNICOL";1993;journal-article;Annals of Applied Biology;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/j.1744-7348.1993.tb04099.x;;;crossref:http_400 | unpaywall_skipped_missing_email;yield~col*row | yield~matur | yield~gen | row~col | yield ~ cov | lm(yield ~ 0 + gen + rep + cov, data=dat
10.1111/mec.15833;https://doi.org/10.1111/mec.15833;spaMM::Leuca;Sex‐specific spatial variation in fitness in the highly dimorphic <i>Leucadendron rubrum</i>;"Jeanne Tonnabel; Etienne K. Klein; Ophélie Ronce; Sylvie Oddou‐Muratorio; François Rousset; Isabelle Olivieri; Alexandre Courtiol; Agnès Mignot";2021;journal-article;Molecular Ecology;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/mec.15833;;;crossref:http_403 | unpaywall_skipped_missing_email;
10.1111/rssb.12065;https://doi.org/10.1111/rssb.12065;agridat::kenward.cattle;A Joint Modelling Approach for Longitudinal Studies;"Weiping Zhang; Chenlei Leng; Cheng Yong Tang";2015;journal-article;Journal of the Royal Statistical Society Series B: Statistical Methodology;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1111/rssb.12065;;;openalex:http_403 | crossref:http_400 | unpaywall_skipped_missing_email;weight~day|trt | lmer(weight ~ trt*poly(day, 4 | lmer(weight ~ trt + poly(day, 4 | lmer(weight ~ poly(day, 4 | pred ~ day|trt | weight ~ trt + poly(day
10.1126/science.1066854;https://doi.org/10.1126/science.1066854;ade4::pcw;Beta-Diversity in Tropical Forest Trees;"Richard Condit; Nigel Pitman; Egbert G. Leigh; Jérôme Chave; John Terborgh; Robin B. Foster; Percy Núñez; Salomón Aguilar";2002;journal-article;Science;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1126/science.1066854;;;unpaywall_skipped_missing_email;
10.1162/003465300558551;https://doi.org/10.1162/003465300558551;plm::Cigar;To Pool or Not to Pool: Homogeneous Versus Heterogeneous Estimators Applied to Cigarette Demand;"Badi H. Baltagi; James M. Griffin; Weiwen Xiong";2000;journal-article;Review of Economics and Statistics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1162/003465300558551;;;unpaywall_skipped_missing_email;
10.1198/1061860043029;https://doi.org/10.1198/1061860043029;agridat::besag.endive;Likelihood Estimation and Inference for the Autologistic Model;"N Friel; A. N Pettitt";2004;journal-article;Journal of Computational and Graphical Statistics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1198/1061860043029;;;unpaywall_skipped_missing_email;"disease~col*row | Z ~ 0+X | asreml(pres ~ 1, data=dat2, resid = ~ar1(xf | desplot(dat, disease~col*row, | m1 <- autologistic(Z ~ 0+X, A=A, control=list(confint=""none"")) | m2 <- asreml(pres ~ 1, data=dat2,"
10.1198/108571102230;https://doi.org/10.1198/108571102230;agridat::theobald.covariate;A bayesian approach to regional and local-area prediction from crop variety trials;"Chris M. Theobald; Mike Talbot; Fabian Nabugoomu";2002;journal-article;Journal of Agricultural, Biological, and Environmental Statistics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1198/108571102230;;;unpaywall_skipped_missing_email;yield ~ chu|gen | lmer(yield ~ -1 + gen + (1|year/env | env~gen | Bayesian Approach to Regional and Local-Area Prediction From Crop | xyplot(yield ~ chu|gen, dat, type=c('p','smooth'), | m0 <- lmer(yield ~ -1 + gen + (1|year/env) + (1|gen:year), data=dat)
10.1198/108571102780;https://doi.org/10.1198/108571102780;agridat::stroup.nin;Power analysis based on spatial effects mixed models: A tool for comparing design and analysis strategies in the presence of spatial variability;W. W. Stroup;2002;journal-article;Journal of Agricultural, Biological, and Environmental Statistics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1198/108571102780;;;unpaywall_skipped_missing_email;"yield~col*row | yield ~ 0 + gen | asreml(yield ~ gen, random = ~ rep, data=dat, na.action=na.method(x=""omit"" | asreml(yield~gen, data=dat, residual = ~ar1(xf | yield ~ gen | desplot(dat, yield~col*row,"
10.1214/10-aoas356;https://doi.org/10.1214/10-aoas356;HistData::Guerry;Revisiting Guerry’s data: Introducing spatial constraints in multivariate analysis;"Stéphane Dray; Thibaut Jombart";2011;journal-article;The Annals of Applied Statistics;green;downloaded;corpus\papers\raw_pdf\HistData_Guerry - Revisiting Guerrys data Introducing spatial constraints in multivariate analysis.pdf;https://arxiv.org/pdf/1202.6485;openalex;;http://arxiv.org/abs/1202.6485;831388;c6be6ca91451dfe6a4f9914e45e348d3167ec56c7c9fd868830c30ac6d73e615;;
10.1214/14-aoas743;https://doi.org/10.1214/14-aoas743;surveillance::fluBYBW;Power-law models for infectious disease spread;"Sebastian Meyer; Leonhard Held";2014;journal-article;The Annals of Applied Statistics;green;downloaded;corpus\papers\raw_pdf\surveillance_fluBYBW - Power-law models for infectious disease spread.pdf;https://arxiv.org/pdf/1308.5115;openalex;;http://arxiv.org/abs/1308.5115;631379;7f6982478a2cd3420cdc8dceac4663039260ee67b81aa79e9dcabff28c3207ab;;plot(fluBYBW, ~time) | plot(fluBYBW, ~unit, tps = 1:52, total.args = list(), | # Here we take the first 20 weeks of 2001 (runtime: ~3 minutes).
10.1371/journal.pone.0018951;https://doi.org/10.1371/journal.pone.0018951;ade4::houmousr;Differential Evolvability Along Lines of Least Resistance of Upper and Lower Molars in Island House Mice;"Sabrina Renaud; Sophie Pantalacci; Jean-Christophe Auffray";2011;journal-article;PLoS ONE;gold;downloaded;corpus\papers\raw_pdf\ade4_houmousr - Differential Evolvability Along Lines of Least Resistance of Upper and Lower Molars in Island House Mice.pdf;https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0018951&type=printable;openalex;cc-by;https://doi.org/10.1371/journal.pone.0018951;527150;5cea54b79ed6717f50a45122185dd1ffb99f34f8424a06fa2208f3bc9a6c3ef3;;
10.1371/journal.pone.0132801;https://doi.org/10.1371/journal.pone.0132801;ade4::houmousr;Once upon Multivariate Analyses: When They Tell Several Stories about Biological Evolution;"Sabrina Renaud; Anne-Béatrice Dufour; Emilie A. Hardouin; Ronan Ledevin; Jean-Christophe Auffray";2015;journal-article;PLOS ONE;gold;downloaded;corpus\papers\raw_pdf\ade4_houmousr - Once upon Multivariate Analyses When They Tell Several Stories about Biological Evolution.pdf;https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0132801&type=printable;openalex;cc-by;https://doi.org/10.1371/journal.pone.0132801;2036423;e56a9396b81860d0f8ab736717668b1fb93b1cb8dd016994e64db5a426be9345;;
10.1371/journal.pone.0157166;https://doi.org/10.1371/journal.pone.0157166;agridat::kayad.alfalfa;Assessing the Spatial Variability of Alfalfa Yield Using Satellite Imagery and Ground-Based Data;"Ahmed G. Kayad; Khalid A. Al-Gaadi; ElKamil Tola; Rangaswamy Madugundu; Ahmed M. Zeyada; Chariton Kalaitzidis";2016;journal-article;PLOS ONE;gold;downloaded;corpus\papers\raw_pdf\agridat_kayad.alfalfa - Assessing the Spatial Variability of Alfalfa Yield Using Satellite Imagery and Ground-Based Data.pdf;https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0157166&type=printable;openalex;cc-by;https://doi.org/10.1371/journal.pone.0157166;2905246;533ac48dfc366670f1161a26913a1c19bc86b2ff4999d877d601bc11a9bf6d5b;;yield ~ long*lat |harvest | levelplot(yield ~ long*lat |harvest, dat, | ## levelplot(yield ~ long*lat |harvest, dat,
10.1371/journal.pone.0277499;https://doi.org/10.1371/journal.pone.0277499;agridat::tesfaye.millet;Evaluation of finger millet (Eleusine coracana (L.) Gaertn.) in multi-environment trials using enhanced statistical models;"Kassahun Tesfaye; Tesfaye Alemu; Tarekegn Argaw; Santie de Villiers; Ermias Assefa";2023;journal-article;PLOS ONE;gold;downloaded;corpus\papers\raw_pdf\agridat_tesfaye.millet - Evaluation of finger millet (Eleusine coracana (L.) Gaertn.) in multi-environment trials using enhanced.pdf;https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0277499&type=printable;openalex;cc-by;https://doi.org/10.1371/journal.pone.0277499;1683396;7c00aca992587c0b6bf0768e889110a160bd2095484e34ebe84ca3e1dbcee087;;"yield~col*row|env | asreml(yield ~ 1 + env, data=dat, random = ~ at(env | desplot(dat, yield~col*row|env, main=""tesfaye.millet"") | m1 <- asreml(yield ~ 1 + env, | random = ~ at(env):xfac + at(env):yfac + gen:fa(env), | residual = ~ dsum( ~ ar1(xfac):ar1(yfac)|env) )"
10.18637/jss.v077.i11;https://doi.org/10.18637/jss.v077.i11;surveillance::measles.weser;Spatio-Temporal Analysis of Epidemic Phenomena Using the <i>R</i> Package <b>surveillance</b>;"Sebastian Meyer; Leonhard Held; Michael Höhle";2017;journal-article;Journal of Statistical Software;diamond;downloaded;corpus\papers\raw_pdf\surveillance_measles.weser - Spatio-Temporal Analysis of Epidemic Phenomena Using the R Package surveillance.pdf;https://www.jstatsoft.org/article/download/v077i11/1110;openalex;cc-by;https://doi.org/10.18637/jss.v077.i11;1188721;304f4d7eed0d3a1b6dbe6475d7190f3759f028f5b8514afdf78ab01352720602;;
10.2135/cropsci1971.0011183x001100020006x;https://doi.org/10.2135/cropsci1971.0011183x001100020006x;agridat::tai.potato;Genotypic Stability Analysis and Its Application to Potato Regional Trials;George C. C. Tai;1971;journal-article;Crop Science;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.2135/cropsci1971.0011183x001100020006x;;;crossref:http_403 | unpaywall_skipped_missing_email;"variety ~ yield|env | dotplot(variety ~ yield|env, dat, main=""tai.potato"")"
10.2135/cropsci1994.0011183x003400010011x;https://doi.org/10.2135/cropsci1994.0011183x003400010011x;agridat::stroup.nin;Removing Spatial Variation from Wheat Yield Trials: A Comparison of Methods;"Walter W. Stroup; P. Stephen Baenziger; Dieter K. Mulitze";1994;journal-article;Crop Science;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.2135/cropsci1994.0011183x003400010011x;;;crossref:http_403 | unpaywall_skipped_missing_email;"yield~col*row | yield ~ 0 + gen | asreml(yield ~ gen, random = ~ rep, data=dat, na.action=na.method(x=""omit"" | asreml(yield~gen, data=dat, residual = ~ar1(xf | yield ~ gen | desplot(dat, yield~col*row,"
10.2135/cropsci2013.03.0178;https://doi.org/10.2135/cropsci2013.03.0178;agridat::crossa.wheat;Genotype Plus Genotype × Block of Environments Biplots;"Jean‐Louis Laffont; Kevin Wright; Mohamed Hanafi";2013;journal-article;Crop Science;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.2135/cropsci2013.03.0178;;;crossref:http_400 | unpaywall_skipped_missing_email;"yield~gen*loc | Jr, HG. (1991). AMMI adjustment for statistical analysis of an | # AMMI biplot. Fig 3 of Crossa et al. | m1 <- with(dat, AMMI(E=loc, G=gen, R=1, Y=yield)) | main=""crossa.wheat AMMI biplot"", | m2 <- gge(dat2, yield~gen*loc,"
10.2136/sssaj1980.03615995004400040048x;https://doi.org/10.2136/sssaj1980.03615995004400040048x;agridat::hanks.sprinkler;Statistical Analysis of Results from Irrigation Experiments Using the Line‐Source Sprinkler System;"R. J. Hanks; D. V. Sisson; R. L. Hurst; K. G. Hubbard";1980;journal-article;Soil Science Society of America Journal;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.2136/sssaj1980.03615995004400040048x;;;crossref:http_400 | unpaywall_skipped_missing_email;yield~subplot*row | yield~subplot|block | asreml(yield ~ gen + dir + irrf + gen:dir + gen:irrf + dir:irrf, data=dat, random= ~ block + block:dir + block:irrf, resid = ~ block:gen:corb(subf, 3 | Stroup, W. W. (1989). Use of Mixed Model Procedure to Analyze | desplot(dat, yield~subplot*row, | xyplot(yield~subplot|block, dat, type=c('b'), group=gen,
10.2307/1400401;https://doi.org/10.2307/1400401;agridat::gotway.hessianfly;A Generalized Linear Model Approach to Spatial Data Analysis and Prediction;"C. A. Gotway; W. W. Stroup";1997;journal-article;Journal of Agricultural, Biological, and Environmental Statistics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.2307/1400401;;;unpaywall_skipped_missing_email;prop~long*lat | glmer(cbind(y, n-y | C. A. Gotway and W. W. Stroup. A Generalized Linear Model | Approach to Spatial Data Analysis and Prediction _Journal of | desplot(dat, prop~long*lat, | m1 = HLCor(cbind(y, n-y) ~ 1 + gen + (1|block) + Matern(1|long+lat),
10.2307/2347788;https://doi.org/10.2307/2347788;agridat::kenward.cattle;A Method for Comparing Profiles of Repeated Measurements;Michael G. Kenward;1987;journal-article;Applied Statistics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.2307/2347788;;;unpaywall_skipped_missing_email;weight~day|trt | lmer(weight ~ trt*poly(day, 4 | lmer(weight ~ trt + poly(day, 4 | lmer(weight ~ poly(day, 4 | pred ~ day|trt | weight ~ trt + poly(day
10.2307/2348066;https://doi.org/10.2307/2348066;agridat::cullis.earlygen;A New Procedure for the Analysis of Early Generation Variety Trials;"Brian R. Cullis; Warwick J. Lill; John A. Fisher; Barbara J. Read; Alan C. Gleeson";1989;journal-article;Applied Statistics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.2307/2348066;;;unpaywall_skipped_missing_email;check ~ col*row | yield ~ col*row | weed ~ col*row | yield ~ as.character(weed | asreml(yield ~ weed, data=dat, random= ~gen, resid = ~ ar1(xf | yield~weed+pol(col
10.2307/2937941;https://doi.org/10.2307/2937941;plm::SumHes;The Penn World Table (Mark 5): An Expanded Set of International Comparisons, 1950-1988;"Robert Summers; Alan Heston";1991;journal-article;The Quarterly Journal of Economics;green;no_legal_pdf_url_found;;;;;https://doi.org/10.2307/2937941;;;unpaywall_skipped_missing_email;
