"package";"bundle";"main_object";"role";"description_bundle";"source";"variables";"auxiliary_files";"n";"k";"has_geometry";"has_coordinates";"coordinate_columns";"has_multiple_x";"candidate_x_variables";"candidate_y_variables";"target_status";"formula_text";"has_referenced_paper";"paper_doi";"paper_title";"paper_use_summary";"paper_model_keywords";"paper_formula_or_equation";"paper_variables_used";"paper_related_datasets";"paper_reference_evidence";"paper_evidence_status";"has_place_name_if_no_geometry";"place_name_columns";"datetime_columns";"theme";"analytical_group";"linked_datasets";"group_has_y";"group_y_variables";"group_x_variables";"duplicate_key";"duplicate_status"
"spData";"columbus";"columbus";"observation_table";"Columbus OH spatial analysis data set";"Anselin, Luc. 1988. Spatial econometrics: methods and models. Dordrecht: Kluwer Academic, Table 12.1 p. 189.";"AREA, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, NEIG, HOVAL, INC, CRIME, OPEN, PLUMB, DISCBD, X, Y, AREA, NSA, NSB, EW, CP, THOUS, NEIGNO, PERIM";"bbs, col.gal.nb, coords, polys";49;22;"Yes";"Yes";"X, Y";"Yes";"AREA, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, HOVAL, INC, OPEN, PLUMB, DISCBD, NSA, NSB, EW, CP, THOUS, PERIM";"CRIME";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Source: Anselin, Luc. 1988. Spatial econometrics: methods and models. Dordrecht: Kluwer Academic, Table 12.1 p. 189. || Description: The ‘columbus’ data frame has 49 rows and 22 columns. Unit of analysis: 49 neighbourhoods in Columbus, OH, 1980 data. In addition the data set includes a ‘polylist’ object ‘polys’ with the boundaries of the neighbourhoods, a matrix of polygon centroids ‘coords’, and ‘col.gal.nb’, the neighbours list from an original GAL-format file. The matrix ‘bbs’ is DEPRECATED, but retained for other packages using this data set. || Details: The row names of ‘columbus’ and the ‘region.id’ attribute of ‘polys’ are set to ‘columbus$NEIGNO’. Note: All source data files prepared by Luc Anselin, Spatial Analysis Laboratory, Department of Agricultural and Consumer Economics, University of Illinois, Urbana-Champaign, http://sal.agecon.uiuc.edu/datasets/columbus.zip.";"paper_identified_no_equation";"No";"NEIG, NEIGNO";"";"crime / conflit / securite";"spData::bundle::columbus";"columbus";"Yes";"CRIME";"AREA, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, HOVAL, INC, OPEN, PLUMB, DISCBD, NSA, NSB, EW, CP, THOUS, PERIM";"columbus::columbusohspatialanalysisdataset";"preferred_duplicate"
"spData";"boston";"boston.c";"response_table";"Corrected Boston Housing Data";"Previously available from http://lib.stat.cmu.edu/datasets/boston_corrected.txt";"TOWN, TOWNNO, TRACT, LON, LAT, MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT";"boston.soi";506;20;"Yes";"Yes";"LON, LAT";"No";"";"MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT";"strong_name";"";"Yes";"";"";"Models/methods detected: lm.";"lm";"lm(log(MEDV | lm(log(CMEDV | hr0 <- lm(log(MEDV) ~ CRIM + ZN + INDUS + CHAS + I(NOX^2) + I(RM^2) + | gp0 <- lm(log(CMEDV) ~ CRIM + ZN + INDUS + CHAS + I(NOX^2) + I(RM^2) + | spdep::lm.morantest(hr0, spdep::nb2listw(boston.soi))";"log, MEDV, CMEDV, hr0, CRIM, ZN, INDUS, CHAS, I, NOX, RM, gp0, spdep, lm.morantest, nb2listw, boston.soi";"";"Source: Previously available from http://lib.stat.cmu.edu/datasets/boston_corrected.txt || References: Harrison, David, and Daniel L. Rubinfeld, Hedonic Housing Prices and the Demand for Clean Air, _Journal of Environmental Economics and Management_, Volume 5, (1978), 81-102. Original data. Gilley, O.W., and R. Kelley Pace, On the Harrison and Rubinfeld Data, _Journal of Environmental Economics and Management_, 31 (1996),403-405. Provided corrections and examined censoring. Pace, R. Kelley, and O.W. Gilley, Using the Spatial Configuration of the Data to Improve Estimation, _Journal of the Real Estate Finance and Economics_, 14 (1997), 333-340. Bivand, Roger. Revisiting the Boston data set - Changing the units of observation affects estimated willingness to pay for clean air. REGION, v. 4, n. 1, p. 109-127, 2017. <https://openjournals.wu.ac.at/ojs/index.php/region/article/view/107>. || Description: The ‘boston.c’ data frame has 506 rows and 20 columns. It contains the Harrison and Rubinfeld (1978) data corrected for a few minor errors and augmented with the latitude and longitude of the observations. Gilley and Pace also point out that MEDV is censored, in that median values at or over USD 50,000 are set to USD 50,000. The original data set without the corrections is also included in package ‘mlbench’ as ‘BostonHousing’. In addition, a matrix of tract point coordinates projected to UTM zone 19 is included as ‘boston.utm’, and a sphere of influence neighbours list as ‘boston.soi’.";"formula_or_model_found";"No";"TOWN, TOWNNO, TRACT";"";"housing / immobilier";"spData::bundle::boston";"boston";"Yes";"MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT";"";"bostonc::correctedbostonhousingdata";"unique"
"spData";"boston";"boston.utm";"response_matrix";"Corrected Boston Housing Data";"Previously available from http://lib.stat.cmu.edu/datasets/boston_corrected.txt";"x, y";"boston.soi";506;2;"Yes";"Yes";"x, y";"No";"";"";"unknown";"";"Yes";"";"";"Models/methods detected: lm.";"lm";"lm(log(MEDV | lm(log(CMEDV | hr0 <- lm(log(MEDV) ~ CRIM + ZN + INDUS + CHAS + I(NOX^2) + I(RM^2) + | gp0 <- lm(log(CMEDV) ~ CRIM + ZN + INDUS + CHAS + I(NOX^2) + I(RM^2) + | spdep::lm.morantest(hr0, spdep::nb2listw(boston.soi))";"log, MEDV, CMEDV, hr0, CRIM, ZN, INDUS, CHAS, I, NOX, RM, gp0, spdep, lm.morantest, nb2listw, boston.soi";"";"Source: Previously available from http://lib.stat.cmu.edu/datasets/boston_corrected.txt || References: Harrison, David, and Daniel L. Rubinfeld, Hedonic Housing Prices and the Demand for Clean Air, _Journal of Environmental Economics and Management_, Volume 5, (1978), 81-102. Original data. Gilley, O.W., and R. Kelley Pace, On the Harrison and Rubinfeld Data, _Journal of Environmental Economics and Management_, 31 (1996),403-405. Provided corrections and examined censoring. Pace, R. Kelley, and O.W. Gilley, Using the Spatial Configuration of the Data to Improve Estimation, _Journal of the Real Estate Finance and Economics_, 14 (1997), 333-340. Bivand, Roger. Revisiting the Boston data set - Changing the units of observation affects estimated willingness to pay for clean air. REGION, v. 4, n. 1, p. 109-127, 2017. <https://openjournals.wu.ac.at/ojs/index.php/region/article/view/107>. || Description: The ‘boston.c’ data frame has 506 rows and 20 columns. It contains the Harrison and Rubinfeld (1978) data corrected for a few minor errors and augmented with the latitude and longitude of the observations. Gilley and Pace also point out that MEDV is censored, in that median values at or over USD 50,000 are set to USD 50,000. The original data set without the corrections is also included in package ‘mlbench’ as ‘BostonHousing’. In addition, a matrix of tract point coordinates projected to UTM zone 19 is included as ‘boston.utm’, and a sphere of influence neighbours list as ‘boston.soi’.";"formula_or_model_found";"No";"";"";"housing / immobilier";"spData::bundle::boston";"boston";"Yes";"MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT";"";"bostonutm::correctedbostonhousingdata";"unique"
"spData";"coffee_data";"coffee_data";"response_table";"World coffee production data";"The International Coffee Organization (ICO). See http://www.ico.org/ and http://www.ico.org/prices/m1-exports.pdf";"name_long, coffee_production_2016, coffee_production_2017";"";47;3;"No";"No";"";"No";"";"coffee_production_2016, coffee_production_2017";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Source: The International Coffee Organization (ICO). See http://www.ico.org/ and http://www.ico.org/prices/m1-exports.pdf || Description: A tiny dataset containing estimates of global coffee in thousands of 60 kg bags produced by country. Purpose: teaching **not** research. || Details: The examples section shows how this can be joined with spatial data to create a simple map.";"paper_identified_no_equation";"Yes";"name_long";"";"economie / panel / econometrie";"spData::bundle::coffee_data";"coffee_data";"Yes";"coffee_production_2016, coffee_production_2017";"";"coffeedata::worldcoffeeproductiondata";"unique"
"spData";"congruent";"congruent";"spatial_observations";"Datasets to illustrate the concept of spatial congruence";"<https://en.wikipedia.org/wiki/ONS_coding_system>";"level, value, geometry";"";9;3;"Yes";"No";"";"No";"";"value";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Source: <https://en.wikipedia.org/wiki/ONS_coding_system> || Description: Sample of old (incongruent) and new (congruent) administrative zones from UK statistical agencies";"paper_identified_no_equation";"No";"";"";"a qualifier manuellement";"spData::bundle::congruent";"congruent";"Yes";"value";"";"congruent::datasetstoillustratetheconceptofspatialcongruence";"unique"
"spData";"cycle_hire";"cycle_hire";"spatial_observations";"Cycle hire points in London";"<https://www.data.gov.uk/>";"id, name, area, nbikes, nempty, geometry";"";742;6;"Yes";"No";"";"Yes";"id, area, nbikes, nempty";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Source: <https://www.data.gov.uk/> || Description: Points representing cycle hire points accross London.";"paper_identified_no_equation";"No";"name";"";"transport / mobilite";"spData::bundle::cycle_hire";"cycle_hire";"No";"";"id, area, nbikes, nempty";"cyclehire::cyclehirepointsinlondon";"unique"
"spData";"cycle_hire_osm";"cycle_hire_osm";"spatial_observations";"Cycle hire points in London from OSM";"<https://www.openstreetmap.org>";"osm_id, name, capacity, cyclestreets_id, description, geometry";"";540;6;"Yes";"No";"";"Yes";"osm_id, cyclestreets_id, description";"";"unknown";"";"Yes";"";"";"";"";"";"";"";"Source: <https://www.openstreetmap.org> || Description: Dataset downloaded using the osmdata package representing cycle hire points accross London.";"paper_identified_no_equation";"No";"name, capacity";"";"biodiversite / ecologie";"spData::bundle::cycle_hire_osm";"cycle_hire_osm";"No";"";"osm_id, cyclestreets_id, description";"cyclehireosm::cyclehirepointsinlondonfromosm";"unique"
"spData";"depmunic";"depmunic";"spatial_observations";"Municipality departments of Athens (Sf)";NA;"num_dep, airbnb, museums, population, pop_rest, greensp, area, geometry";"";7;8;"Yes";"No";"";"Yes";"num_dep, airbnb, museums, greensp, area";"population, pop_rest";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"";"";"environnement / climat";"spData::bundle::depmunic";"depmunic";"Yes";"population, pop_rest";"num_dep, airbnb, museums, greensp, area";"depmunic::municipalitydepartmentsofathenssf";"unique"
"spData";"elect80";"elect80";"spatial_observations";"1980 Presidential election results";"Pace, R. Kelley and Ronald Barry. 1997. ""Quick Computation of Spatial Autoregressive Estimators"", in Geographical Analysis; sourced from the data folder in the Spatial Econometrics Toolbox for Matlab, formerly available from http://www.spatial-econometrics.com/html/jplv7.zip, files 'elect.dat' and 'elect.ford' (with the final line dropped).";"FIPS, pc_turnout, pc_college, pc_homeownership, pc_income";"dll, e80_queen, elect80_lw, k4";3107;5;"Yes";"No";"";"Yes";"pc_turnout, pc_college, pc_homeownership";"pc_income";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Source: Pace, R. Kelley and Ronald Barry. 1997. ""Quick Computation of Spatial Autoregressive Estimators"", in Geographical Analysis; sourced from the data folder in the Spatial Econometrics Toolbox for Matlab, formerly available from http://www.spatial-econometrics.com/html/jplv7.zip, files ‘elect.dat’ and ‘elect.ford’ (with the final line dropped). || Description: A data set for 1980 Presidential election results covering 3,107 US counties using geographical coordinates. In addition, three spatial neighbour objects, ‘k4’ not using Great Circle distances, ‘dll’ using Great Circle distances, and ‘e80_queen’ of Queen contiguities for equivalent County polygons taken from file ‘co1980p020.tar.gz’ on the USGS National Atlas site, and a spatial weights object imported from ‘elect.ford’ - a 4-nearest neighbour non-GC row-standardised object, but with coercion to symmetry.";"paper_identified_no_equation";"No";"FIPS";"";"housing / immobilier";"spData::bundle::elect80";"elect80";"Yes";"pc_income";"pc_turnout, pc_college, pc_homeownership";"elect80::1980presidentialelectionresults";"unique"
"spData";"eire";"eire.df";"response_table";"Eire data sets";"Upton and Fingleton 1985, - Bailey and Gatrell 1995, ch. 1 for blood group data, Cliff and Ord (1973), p. 107 for remaining variables (also after O'Sullivan, 1968). Polygon borders and Irish data sourced from Michael Tiefelsdorf's SPSS Saddlepoint bundle, originally hosted at: http://geog-www.sbs.ohio-state.edu/faculty/tiefelsdorf/GeoStat.htm.";"A, towns, pale, size, ROADACC, OWNCONS, POPCHG, RETSALE, INCOME";"eire.coords.utm, eire.nb, eire.polys.utm";26;9;"No";"No";"";"Yes";"towns, pale";"A";"documented_formula";"A ~ towns + pale";"Yes";"";"";"Models/methods detected: lm, regression.";"lm, regression";"lm(A ~ towns + pale, data=eire | lm(OWNCONS ~ ROADACC, data=eire | A.lm <- lm(A ~ towns + pale, data=eire) | summary(A.lm) | res <- residuals(A.lm) | title(main=""Regression residuals"")";"A, towns, pale, eire, OWNCONS, ROADACC, A.lm, summary, res, residuals, title, main, Regression";"";"Source: Upton and Fingleton 1985, - Bailey and Gatrell 1995, ch. 1 for blood group data, Cliff and Ord (1973), p. 107 for remaining variables (also after O'Sullivan, 1968). Polygon borders and Irish data sourced from Michael Tiefelsdorf's SPSS Saddlepoint bundle, originally hosted at: http://geog-www.sbs.ohio-state.edu/faculty/tiefelsdorf/GeoStat.htm. || Description: The Eire data set has been converted to shapefile format and placed in the etc/shapes directory. The initial data objects are now stored as a SpatialPolygonsDataFrame object, from which the contiguity neighbour list is recreated. For purposes of record, the original data set is retained. The ‘eire.df’ data frame has 26 rows and 9 columns. In addition, polygons of the 26 counties are provided as a multipart polylist in eire.polys.utm (coordinates in km, projection UTM zone 30). Their centroids are in eire.coords.utm. The original Cliff and Ord binary contiguities are in eire.nb.";"formula_or_model_found";"Yes";"towns";"";"economie / panel / econometrie";"spData::bundle::eire";"eire";"Yes";"A";"towns, pale";"eiredf::eiredatasets";"preferred_duplicate"
"spData";"getisord";"go_xyz";"observation_table";"Getis-Ord remote sensing example data";"Getis, A. and Ord, J. K. 1996 Local spatial statistics: an overview. In P. Longley and M. Batty (eds) _Spatial analysis: modelling in a GIS environment_ (Cambridge: Geoinformation International), 266.";"x, y, val";"go_x, go_y";256;3;"Yes";"Yes";"x, y";"No";"val";"";"unknown";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"";"";"a qualifier manuellement";"spData::bundle::getisord";"getisord";"No";"";"val";"goxyz::getisordremotesensingexampledata";"unique"
"spData";"hawaii";"hawaii";"spatial_observations";"Hawaii multipolygon";"<https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html>";"GEOID, NAME, REGION, AREA, total_pop_10, total_pop_15, geometry";"";1;7;"Yes";"No";"";"No";"AREA";"total_pop_10, total_pop_15";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Source: <https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html> || Description: The object loaded is a ‘sf’ object containing the state of Hawaii from the US Census Bureau with a few variables from American Community Survey (ACS)";"paper_identified_no_equation";"No";"GEOID, NAME, REGION";"";"geometries administratives / demographie";"spData::bundle::hawaii";"hawaii";"Yes";"total_pop_10, total_pop_15";"AREA";"hawaii::hawaiimultipolygon";"unique"
"spData";"huddersfield";"huddersfield";"response_table";"Prevalence of respiratory symptoms";"Martuzzi M, Elliott P (1996) Empirical Bayes estimation of small area prevalence of non-rare conditions, Statistics in Medicine 15, 1867-1873, pp. 1870-1871.";"cases, total";"";71;2;"No";"No";"";"No";"total";"cases";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"";"";"a qualifier manuellement";"spData::bundle::huddersfield";"huddersfield";"Yes";"cases";"total";"huddersfield::prevalenceofrespiratorysymptoms";"unique"
"spData";"incongruent";"incongruent";"spatial_observations";"Datasets to illustrate the concept of spatial congruence";NA;"level, value, geometry";"";9;3;"Yes";"No";"";"No";"";"value";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"";"";"a qualifier manuellement";"spData::bundle::incongruent";"incongruent";"Yes";"value";"";"incongruent::datasetstoillustratetheconceptofspatialcongruence";"unique"
"spData";"jenks71";"jenks71";"response_table";"Illinois 1959 county gross farm product value per acre";"Jenks, G. F., Caspall, F. C., 1971. ""Error on choroplethic maps: definition, measurement, reduction"". Annals, Association of American Geographers, 61 (2), 217-244";"jenks71, area";"";102;2;"No";"No";"";"No";"";"jenks71, area";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"";"";"agronomie / agriculture";"spData::bundle::jenks71";"jenks71";"Yes";"jenks71, area";"";"jenks71::illinois1959countygrossfarmproductvalueperacre";"unique"
"spData";"nydata";"nydata";"response_table";"New York leukemia data";"http://www.sph.emory.edu/~lwaller/ch9index.htm";"AREANAME, AREAKEY, X, Y, POP8, TRACTCAS, PROPCAS, PCTOWNHOME, PCTAGE65P, Z, AVGIDIST, PEXPOSURE";"listw_NY";281;12;"Yes";"Yes";"X, Y";"Yes";"AREAKEY, PROPCAS, PCTAGE65P, Z, AVGIDIST, PEXPOSURE";"POP8";"strong_name";"";"Yes";"";"";"";"";"http://www.sph.emory.edu/~lwaller/ch9index.htm";"http, www.sph.emory.edu, lwaller, ch9index.htm";"";"Source: http://www.sph.emory.edu/~lwaller/ch9index.htm || References: Waller, L. and C. Gotway (2004) _Applied Spatial Statistics for Public Health Data_. New York: John Wiley and Sons. || Description: New York leukemia data taken from the data sets supporting Waller and Gotway 2004 (the data should be loaded by running ‘example(NY_data)’ to demonstrate spatial data import techniques) || Details: The examples section shows how the DBF files from the book website for Chapter 9 were converted into the ‘nydata’ data frame and the ‘listw_NY’ spatial weights list. The ‘shapes’ directory includes the original version of the UTM18 census tract boundaries imported from BNA format (http://sedac.ciesin.columbia.edu/ftpsite/pub/census/usa/tiger/ny/bna_st/t8_36.zip) before the OGR/GDAL BNA driver was available. The ‘NY8_utm18’ shapefile was constructed using a bna2mif converter and converted to shapefile format after adding data using ‘writeOGR’. The new file ‘NY8_bna_utm18.gpkg’ has been constructed from the original BNA file, but read using the OGR BNA driver with GEOS support. The NY8 shapefile and GeoPackage NY8_utm18.gpkg include invalid polygons, but because the OGR BNA driver may have GEOS support (used here), the tract polygon objects in NY8_bna_utm18.gpkg are valid.";"formula_or_model_found";"No";"AREANAME, TRACTCAS, PCTOWNHOME";"";"housing / immobilier";"spData::bundle::nydata";"nydata";"Yes";"POP8";"AREAKEY, PROPCAS, PCTAGE65P, Z, AVGIDIST, PEXPOSURE";"nydata::newyorkleukemiadata";"unique"
