zenodo_id,title,year,license,doi_dataset,doi_publication,n_obs,t_periods,n_t_method,n_files,formats,spatial_formats,total_size_mb,zenodo_url,first_download_url,paper_title,paper_year,abstract_available,paper_abstract_preview,task_type,modeling_signals,modeling_score,candidate_decision
15501603,Aquaplanet simulations using CAM5.4-MPAS4 with two different deep convection schemes,2021,cc-by-4.0,10.5065/gwvt-wt87,,,30,regex_metadata,9,"nc, xml",nc,5108.33,https://zenodo.org/records/15501603,https://zenodo.org/api/records/15501603/files/FC5AQUAP.cam5.4.mp30a-120a-TR_mp30a-120a-TR.gf.final01.branch.cam.h0.average.remap.nc/content,,,False,,simulation_modeling,simulation_modeling,1,review
15501249,Representative Hillslope Geomorphic Parameters 0.9x1.25,2024,cc-by-4.0,10.5065/w01j-y441,,,,regex_metadata,2,"nc, xml",nc,64.83,https://zenodo.org/records/15501249,https://zenodo.org/api/records/15501249/files/hillslopes_0.9x1.25_c240416.nc/content,,,False,,unknown,,0,review
15501159,Contributions of the Liquid and Ice Phases to Global Surface Precipitation: Observations and Global Climate Modeling,2020,cc-by-4.0,10.5065/vm6a-0g11,,,,regex_metadata,14,"docx, txt, xml",,0.19,https://zenodo.org/records/15501159,https://zenodo.org/api/records/15501159/files/readme_components_of_global_precipitation.docx/content,,,False,,unknown,,0,review
15501795,"Datasets used in ""Stomatal conductances influences interannual variability and long-term changes in regional cumulative plant uptake of ozone""",2020,cc-by-4.0,10.5065/wkdj-2s62,10.1088/1748-9326/abc3f1,,,regex_metadata,8,"nc, xml",nc,6089.87,https://zenodo.org/records/15501795,https://zenodo.org/api/records/15501795/files/atmos_level.2010.O3.nc/content,Stomatal conductance influences interannual variability and long-term changes in regional cumulative plant uptake of ozone,2020,True,"Ambient ozone uptake by plant stomata degrades ecosystem and crop health and alters local-to-global carbon and water cycling. Metrics for ozone plant damage are often based solely on ambient ozone concentrations, overlooking the role of var",simulation_modeling,simulation_modeling,1,review
15501296,Climate Changes in the Upper Atmosphere: Contributions by the Changing Greenhouse Gas Concentrations and Earth's Magnetic Field,2020,cc-by-4.0,10.5065/ya0e-pq14,10.1029/2020JA029067,,,regex_metadata,9,"nc, xml",nc,447.05,https://zenodo.org/records/15501296,https://zenodo.org/api/records/15501296/files/ConstMag_1960s-05ut.nc/content,Climate Changes in the Upper Atmosphere: Contributions by the Changing Greenhouse Gas Concentrations and Earth's Magnetic Field From the 1960s to 2010s,2021,True,Abstract Previous studies have established the importance of the increasing greenhouse gas (GHG) concentrations in causing trends in the thermosphere and ionosphere (T‐I). Recent work indicates that the changing Earth's magnetic field is al,simulation_modeling,simulation_modeling,1,review
17414795,Supporting spatial data for Therapeutic manipulation and spatial quantification of the tumour microenvironment in colorectal cancer,2025,cc-by-4.0,10.5281/zenodo.17414795,,,,regex_metadata,2,zip,,810.82,https://zenodo.org/records/17414795,https://zenodo.org/api/records/17414795/files/AlignedPointcloudsALK5.zip/content,,,False,,unknown,,0,review
15504857,Marine Ice Sheet Experiments CISM 2021,2021,cc-by-4.0,10.5065/k3ws-2435,,,0,regex_metadata,4,"tar, xml",,24869.07,https://zenodo.org/records/15504857,https://zenodo.org/api/records/15504857/files/207_gunterl.xml/content,,,False,,unknown,,0,review
17580016,Raw data and code for MS submission to Proceedings of the Royal Society B,2025,cc-by-4.0,10.5281/zenodo.17580016,,,,regex_metadata,1,zip,,30.28,https://zenodo.org/records/17580016,https://zenodo.org/api/records/17580016/files/Code%20and%20data%20for%20Proceedings%20of%20the%20Royal%20Society%20B.zip/content,,,False,,unknown,,0,review
19464957,"Crop Statistic to Annual Map: Tracking spatiotemporal dynamics of crop-specific areas in Africa, China and USA",2024,cc-by-4.0,10.6084/m9.figshare.26028769,,,,regex_metadata,4,"docx, rar",,718.64,https://zenodo.org/records/19464957,https://zenodo.org/api/records/19464957/files/Supplementary%20Table.docx/content,,,False,,descriptive_mapping,spatiotemporal_model,1,review
15501516,Data Release for Retreat and Regrowth of the Greenland Ice Sheet During the Last Interglacial as Simulated by the CESM2-CISM2 Coupled Climate–Ice Sheet Model,2021,cc-by-4.0,10.5065/as0j-6387,10.1029/2021PA004272,,0,regex_metadata,2,"xml, zip",,4232.19,https://zenodo.org/records/15501516,https://zenodo.org/api/records/15501516/files/257_ottobli.zip/content,Retreat and Regrowth of the Greenland Ice Sheet During the Last Interglacial as Simulated by the CESM2‐CISM2 Coupled Climate–Ice Sheet Model,2021,True,"Abstract During the Last Interglacial, approximately 129 to 116 ka (thousand years ago), the Arctic summer climate was warmer than the present, and the Greenland Ice Sheet retreated to a smaller extent than its current state. Previous model",simulation_modeling,simulation_modeling,1,review
3528024,A combined Terra and Aqua MODIS land surface temperature and meteorological station data product for China from 2003–2017,2019,cc-by-4.0,10.5281/zenodo.3528024,,,,regex_metadata,2,"docx, zip",,148.67,https://zenodo.org/records/3528024,https://zenodo.org/api/records/3528024/files/00_Metadata%20for%20LSTC.docx/content,,,False,,unknown,,0,review
