dataset_doi;publication_doi;publication_title;local_pdf;status;source_url;note
10.6084/m9.figshare.3189004;10.1080/13658816.2016.1149181;A bootstrap test for constant coefficients in geographically weighted regression models;corpus\papers\raw_pdf\Mei2016Bootstrap.pdf;pdf_present_pending_grobid;; | synced by sync_manual_retrievals_status.py | dedup: renomme Mei2016Bootstrap.pdf via pdf2bib le 2026-08-12, ancien fichier 'A bootstrap test for constant coefficients in geographically weighted regression models.pdf' supprime
10.5066/p91v2s8c;10.1111/ddi.12927;Local niche differences predict genotype associations in sister taxa of desert tortoise;corpus\papers\raw_pdf\Inman2019Local.pdf;pdf_present_pending_grobid;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.12927;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.12927 | synced by sync_manual_retrievals_status.py | dedup: renomme Inman2019Local.pdf via pdf2bib le 2026-08-12, ancien fichier 'Local niche differences predict genotype associations in sister taxa of desert tortoise.pdf' supprime"
10.5061/dryad.2v6wwpzr8;10.1111/ddi.13709;Predicting climate change impacts on critical fisheries species in Fijian marine systems and its implications for protected area spatial planning;corpus\papers\raw_pdf\Lawson2023Predicting.pdf;pdf_present_pending_grobid;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13709;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13709 | synced by sync_manual_retrievals_status.py | dedup: renomme Lawson2023Predicting.pdf via pdf2bib le 2026-08-12, ancien fichier 'Predicting climate change impacts on critical fisheries species in Fijian marine systems and its implications for protected area spatial planning.pdf' supprime"
10.5061/dryad.41ns1rnht;10.1111/gcb.16389;Predicting the effects of climate change on deep-water coral distribution around New Zealand-Will there be suitable refuges for protection at the end of the 21st century?;corpus\papers\raw_pdf\Anderson2022Predicting.pdf;pdf_present_pending_grobid;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gcb.16389;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gcb.16389 | synced by sync_manual_retrievals_status.py | dedup: renomme Anderson2022Predicting.pdf via pdf2bib le 2026-08-12, ancien fichier 'Predicting the effects of climate change on deep-water coral distribution around New Zealand-Will there be suitable refuges for protection at the end of the 21st century.pdf' supprime"
10.25384/sage.18902846.v1;10.1177/23998083211063885;Uncovering spatial heterogeneity in real estate prices via combined hierarchical linear model and geographically weighted regression;corpus\papers\raw_pdf\Uncovering spatial heterogeneity in real estate prices via combined hierarchical linear model and geographically weighted regression.pdf;not_downloaded;https://doi.org/10.1177/23998083211063885;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1177/23998083211063885"
10.25413/sun.26976469;10.1371/journal.pone.0301850;Spatial distribution and determinants of HIV high burden in the Southern African sub-region;corpus\papers\raw_pdf\Adetokunboh2024Spatial.pdf;pdf_present_pending_grobid;https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0301850&type=printable; | synced by sync_manual_retrievals_status.py | dedup: renomme Adetokunboh2024Spatial.pdf via pdf2bib le 2026-08-12, ancien fichier 'Spatial distribution and determinants of HIV high burden in the Southern African sub-region.pdf' supprime
10.7910/dvn/djvxeh;10.15196/rs04105;Method of the Geographically Weighted Regression and an Example for its Application;corpus\papers\raw_pdf\Fabian2014Method.pdf;pdf_present_pending_grobid;; | synced by sync_manual_retrievals_status.py | dedup: renomme Fabian2014Method.pdf via pdf2bib le 2026-08-12, ancien fichier 'Method of the Geographically Weighted Regression and an Example for its Application.pdf' supprime
10.7910/dvn/clatvy;10.15196/rs05107;New trajectories of the Hungarian regional development: balanced and rush growth of territorial capital;corpus\papers\raw_pdf\Jona2015New.pdf;pdf_present_pending_grobid;https://www.ksh.hu/statszemle_archive/regstat/2015/2015_01/rs05107.pdf; | synced by sync_manual_retrievals_status.py | dedup: renomme Jona2015New.pdf via pdf2bib le 2026-08-12, ancien fichier 'New trajectories of the Hungarian regional development - balanced and rush growth of territorial capital.pdf' supprime
10.7910/dvn/uezmjt;10.1590/1982-7849rac2022200387.en;An Application of Geographically Weighted Quantile Lasso to Weather Index Insurance Design;corpus\papers\raw_pdf\Miquelluti2022Application.pdf;pdf_present_pending_grobid;https://www.scielo.br/j/rac/a/LH7gR5jGBdSWsMMPGwkxpxR/?lang=en&format=pdf; | synced by sync_manual_retrievals_status.py | dedup: renomme Miquelluti2022Application.pdf via pdf2bib le 2026-08-12, ancien fichier 'An Application of Geographically Weighted Quantile Lasso to Weather Index Insurance Design.pdf' supprime
10.4231/490d-hc66;10.5751/es-12481-260327;How do Indigenous and local knowledge systems respond to climate change?;corpus\papers\raw_pdf\Popovici2021How.pdf;pdf_present_pending_grobid;https://www.ecologyandsociety.org/vol26/iss3/art27/ES-2021-12481.pdf; | synced by sync_manual_retrievals_status.py | dedup: renomme Popovici2021How.pdf via pdf2bib le 2026-08-12, ancien fichier 'How do Indigenous and local knowledge systems respond to climate change.pdf' supprime
10.5061/dryad.7sqv9s51c;10.1002/eap.2893;Building use-inspired species distribution models: Using multiple data types to examine and improve model performance;corpus\papers\raw_pdf\Braun2023Data.pdf;pdf_present_pending_grobid;;synced by sync_manual_retrievals_status.py (manual retrieval) | dedup: renomme Braun2023Data.pdf via pdf2bib le 2026-08-12, ancien fichier 'Building use-inspired species distribution models - Using multiple data types to examine and improve model performance.pdf' supprime
10.5061/dryad.mcvdnck6c;10.1002/ecs2.70073;Learning from wildfires: A scalable framework to evaluate treatment effects on burn severity;corpus\papers\raw_pdf\Chamberlain2024Learning.pdf;pdf_present_pending_grobid;;synced by sync_manual_retrievals_status.py (manual retrieval) | dedup: renomme Chamberlain2024Learning.pdf via pdf2bib le 2026-08-12, ancien fichier 'Learning from wildfires A scalable framework to evaluate treatment effects on burn severity.pdf' supprime
10.17863/cam.65907;10.1371/journal.pone.0249633;Climatic change and extinction risk of two globally threatened Ethiopian endemic bird species;corpus\papers\raw_pdf\Bladon2021Climatic.pdf;pdf_present_pending_grobid;;synced by sync_manual_retrievals_status.py (manual retrieval) | dedup: renomme Bladon2021Climatic.pdf via pdf2bib le 2026-08-12, ancien fichier 'Climatic change and extinction risk of two globally threatened Ethiopian endemic bird species.pdf' supprime
10.5061/dryad.3vh79;10.1002/eap.1673;Vegetation cover in relation to socioeconomic factors in a tropical city assessed from sub‐meter resolution imagery;corpus\papers\raw_pdf\Martinuzzi1960Vegetation.pdf;pdf_present_pending_grobid;;"manual retrieval; no KG record yet (orphan promoted candidate) -- added by sync_manual_retrievals_status.py follow-up | dedup: renomme Martinuzzi1960Vegetation.pdf via pdf2bib le 2026-08-12, ancien fichier 'Vegetation cover in relation to socioeconomic factors in a tropical city assessed from sub-meter resolution imagery.pdf' supprime"
10.5061/dryad.34tmpg4v8;10.1002/saj2.20779;Soybean yield is positively linked to organic matter, but planting date remains more influential;corpus\papers\raw_pdf\Malone2024Soybean.pdf;pdf_present_pending_grobid;;"manual retrieval; no KG record yet (orphan promoted candidate) -- added by sync_manual_retrievals_status.py follow-up | dedup: renomme Malone2024Soybean.pdf via pdf2bib le 2026-08-12, ancien fichier 'Soybean yield is positively linked to organic matter but planting date remains more influential.pdf' supprime"
10.25338/b85g98;10.1111/geb.13225;Ectothermy and the macroecology of home range scaling in snakes;corpus\papers\raw_pdf\Todd2020Ectothermy.pdf;pdf_present_pending_grobid;;"manual retrieval; no KG record yet (orphan promoted candidate) -- added by sync_manual_retrievals_status.py follow-up | dedup: renomme Todd2020Ectothermy.pdf via pdf2bib le 2026-08-12, ancien fichier 'Ectothermy and the macroecology of home range scaling in snakes.pdf' supprime"
10.5061/dryad.w0vt4b954;10.1002/ece3.71650;On the Brink: Mapping the Last Strongholds of the Critically Endangered Flapper Skate ( Dipturus intermedius );corpus\papers\raw_pdf\Loca2025OnThe.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.w0vt4b954;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Loca2025OnThe.pdf via pdf2bib, ancien '10_1002_ece3_71650.pdf' supprime
10.5061/dryad.pk0p2ngsd;10.1111/ele.14351;Understanding different dominance patterns in western Amazonian forests;corpus\papers\raw_pdf\MatasGranados2023Understanding.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.pk0p2ngsd;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme MatasGranados2023Understanding.pdf via pdf2bib, ancien '10_1111_ele_14351.pdf' supprime
10.5061/dryad.f180j;10.1371/journal.pone.0147909;Time-Lag in Responses of Birds to Atlantic Forest Fragmentation: Restoration Opportunity and Urgency;corpus\papers\raw_pdf\Uezu2016Time.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.f180j;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Uezu2016Time.pdf via pdf2bib, ancien '10_1371_journal_pone_0147909.pdf' supprime
10.5061/dryad.mw6m9063p;10.1186/s42408-024-00264-0;Climate limits vegetation green-up more than slope, soil erodibility, and immediate precipitation following high-severity wildfire;corpus\papers\raw_pdf\Crockett2024Climate.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.mw6m9063p;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Crockett2024Climate.pdf via pdf2bib, ancien '10_1186_s42408_024_00264_0.pdf' supprime
10.5061/dryad.sq72d;10.1890/09-0879.1;Multiple stressors and the cause of amphibian abnormalities;corpus\papers\raw_pdf\Reeves2010Multiple.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.sq72d;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Reeves2010Multiple.pdf via pdf2bib, ancien '10_1890_09_0879_1.pdf' supprime
10.5061/dryad.jr66k;10.1111/eva.12161;Modelling the dispersal of the two main hosts of the raccoon rabies variant in heterogeneous environments with landscape genetics;corpus\papers\raw_pdf\RiouxPaquette2014Modelling.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.jr66k;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme RiouxPaquette2014Modelling.pdf via pdf2bib, ancien '10_1111_eva_12161.pdf' supprime
10.5061/dryad.c68cj62;10.1098/rspb.2018.0807;Lower bumblebee colony reproductive success in agricultural compared with urban environments;corpus\papers\raw_pdf\Samuelson2018Lower.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.c68cj62;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Samuelson2018Lower.pdf via pdf2bib, ancien '10_1098_rspb_2018_0807.pdf' supprime
10.5061/dryad.5qg30sd;10.1098/rsos.190335;Harbour porpoise responses to pile-driving diminish over time;corpus\papers\raw_pdf\Graham2019Harbour.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.5qg30sd;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Graham2019Harbour.pdf via pdf2bib, ancien '10_1098_rsos_190335.pdf' supprime
10.5061/dryad.prr4xgxmj;10.1002/ece3.8359;Environmental factors influencing spotted hyena and lion population biomass across Africa;corpus\papers\raw_pdf\Jones2021Environmental.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.prr4xgxmj;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Jones2021Environmental.pdf via pdf2bib, ancien '10_1002_ece3_8359.pdf' supprime
10.5061/dryad.9p8cz8wdz;10.1002/ece3.7059;Consistent concentrations of critically endangered Balearic shearwaters in UK waters revealed by at-sea surveys;corpus\papers\raw_pdf\Phillips2021Consistent.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.9p8cz8wdz;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Phillips2021Consistent.pdf via pdf2bib, ancien '10_1002_ece3_7059.pdf' supprime
10.5061/dryad.ncjsxkszw;10.1111/jbi.14708;Forests on the move: Tracking climate-related treeline changes in mountains of the northeastern United States;corpus\papers\raw_pdf\Tourville2023Forests.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.ncjsxkszw;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Tourville2023Forests.pdf via pdf2bib, ancien '10_1111_jbi_14708.pdf' supprime
10.5061/dryad.9kd51c5rr;10.1111/ele.14478;Reconstructing 120 years of climate change impacts on Joshua tree flowering;corpus\papers\raw_pdf\Yoder2024Reconstructing.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.9kd51c5rr;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Yoder2024Reconstructing.pdf via pdf2bib, ancien '10_1111_ele_14478.pdf' supprime
10.5061/dryad.6m905qg03;10.1111/ddi.13297;Reproductive traits explain occupancy of predicted distributions in a genus of eastern North American understory herbs;corpus\papers\raw_pdf\Miller2021Reproductive.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.6m905qg03;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Miller2021Reproductive.pdf via pdf2bib, ancien '10_1111_ddi_13297.pdf' supprime
10.5061/dryad.866t1g1n0;10.1111/ddi.13046;A gap analysis modelling framework to prioritize collecting for ex situ conservation of crop landraces;corpus\papers\raw_pdf\RamirezVillegas2020Gap.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.866t1g1n0;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme RamirezVillegas2020Gap.pdf via pdf2bib, ancien '10_1111_ddi_13046.pdf' supprime
10.5061/dryad.fv322;10.1111/1365-2745.12782;Climate and competition effects on tree growth in Rocky Mountain forests;corpus\papers\raw_pdf\Buechling2017Climate.pdf;pdf_present_pending_grobid;https://datadryad.org/dataset/doi:10.5061/dryad.fv322;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Buechling2017Climate.pdf via pdf2bib, ancien '10_1111_1365_2745_12782.pdf' supprime
10.6084/m9.figshare.4478390;10.1080/01621459.2016.1261710;MWPCR: Multiscale Weighted Principal Component Regression for High-Dimensional Prediction;corpus\papers\raw_pdf\Zhu2017Mwpcr.pdf;pdf_present_pending_grobid;https://tandf.figshare.com/articles/dataset/MWPCR_Multiscale_Weighted_Principal_Component_Regression_for_High-dimensional_Prediction/4478390;Ajoute le 2026-08-13 pour la Phase 5 (Biblio_from_pdf) du nouveau lot DataCite. | dedup: renomme Zhu2017Mwpcr.pdf via pdf2bib, ancien '10_1080_01621459_2016_1261710.pdf' supprime
