top_folder,relative_path,extension,size_mb,line_count_partial,header_or_zip_examples,zip_exts,zip_files,zip_uncompressed_mb,content_readable,content_error,spatial_signal,temporal_signal,model_signal,audit_status,audit_reason
European datasets portal_datasets,European datasets portal_datasets\code_datasets_EDP.ipynb,.ipynb,0.03,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dataset_GBIF,dataset_GBIF\Kastikka Floristic Archives (H)_Ngreater\0098001-260226173443078.csv,.csv,3376.51,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dataset_GBIF,dataset_GBIF\Kastikka Floristic Archives (H)_Ngreater.zip,.zip,699.35,,0098001-260226173443078.csv,.csv:1,1,3376.51,True,,False,False,False,large_archive_needs_selective_extraction,large archive; inspect before copying fully
dataset_GBIF,dataset_GBIF\Nahant Collection_Ngreater(T=1)\0097989-260226173443078.csv,.csv,570.63,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dataset_GBIF,dataset_GBIF\A spatio-temporal Culicoides species dataset produced by the French surveillance program from 2009 to 2012_Ngreater.zip,.zip,355.24,,0097975-260226173443078.csv,.csv:1,1,3696.34,True,,False,False,False,occurrence_or_biodiversity_raw,likely occurrence/specimen data; needs response aggregation and paper/model
dataset_GBIF,dataset_GBIF\Nahant Collection_Ngreater.zip,.zip,70.75,,0097989-260226173443078.csv,.csv:1,1,570.63,True,,False,False,False,unknown_needs_review,insufficient metadata
dataset_copernicius,dataset_copernicius\cc80ccaf439c662b4c218d893a12e397.zip,.zip,984.98,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,large_archive_needs_selective_extraction,large archive; inspect before copying fully
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62sd\ZZBR62FL.SD2,.sd2,69.46,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzhr62dt\ZZHR62FL.DTA,.dta,52.63,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118.zip,.zip,29.92,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzir62\ZZIR62.DAT,.dat,26.16,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62dt\ZZBR62FL.DTA,.dta,25.06,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzpr62dt\ZZPR62FL.DTA,.dta,16.26,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzmr61sd\ZZMR61FL.SD2,.sd2,5.73,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\0. Model Datasets Full Tables and Sampling Errors.pdf,.pdf,4.67,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,True,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzir62\ZZIR62.FRW,.frw,3.6,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzir62\ZZIR62.FRQ,.frq,3.6,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62dt\ZZBR62FL.FRW,.frw,1.68,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62sd\ZZBR62FL.FRW,.frw,1.68,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62dt\ZZBR62FL.FRQ,.frq,1.68,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62sd\ZZBR62FL.FRQ,.frq,1.68,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzpr62dt\ZZPR62FL.FRQ,.frq,1.2,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzpr62dt\ZZPR62FL.FRW,.frw,1.2,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzhr62dt\ZZHR62FL.FRQ,.frq,1.12,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzhr62dt\ZZHR62FL.FRW,.frw,1.12,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzmr61sd\ZZMR61FL.FRQ,.frq,0.85,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzmr61sd\ZZMR61FL.FRW,.frw,0.85,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,"dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\13. HIV Related Knowledge, Attitudes and Behavior.pdf",.pdf,0.8,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzhr62dt\ZZHR62FL.DO,.do,0.68,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.dbf,.dbf,0.66,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.dbf,.dbf,0.66,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\21. Estimates of Sampling Errors.pdf,.pdf,0.61,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzir62\ZZIR62.MAP,.map,0.6,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\15. Women's Empowerment.pdf,.pdf,0.55,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\3. Respondent Characteristics.pdf,.pdf,0.55,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\7. Family Planning.pdf,.pdf,0.55,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\11. Nutrition of Children and Adults.pdf,.pdf,0.54,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\16. Domestic Violence.pdf,.pdf,0.49,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzir62\ZZIR62.DCF,.dcf,0.49,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\10. Child Health.pdf,.pdf,0.48,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\9. Maternal Health Care.pdf,.pdf,0.4,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\2. Housing Characteristics and Household Population.pdf,.pdf,0.38,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\14. HIV Prevalence.pdf,.pdf,0.36,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\12. Malaria.pdf,.pdf,0.34,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62dt\ZZBR62FL.MAP,.map,0.32,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62sd\ZZBR62FL.MAP,.map,0.32,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzhr62dt\ZZHR62FL.DCT,.dct,0.28,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\22. Data Quality Tables.pdf,.pdf,0.28,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.shp,.shp,0.28,,,,,,False,OSError: [Errno 22] Invalid argument,True,False,False,spatial_support_present,vector support detected
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\4. Marriage and Sexual Activity.pdf,.pdf,0.25,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\20. Sample Design.pdf,.pdf,0.24,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62sd\ZZBR62FL.SAS,.sas,0.21,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\17. Female Gential Cutting.pdf,.pdf,0.21,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\5. Fertility.pdf,.pdf,0.19,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\19. Child Labor.pdf,.pdf,0.18,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62dt\ZZBR62FL.DO,.do,0.17,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\6. Fertility Preferences.pdf,.pdf,0.16,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzmr61sd\ZZMR61FL.MAP,.map,0.14,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzmr61sd\ZZMR61FL.SAS,.sas,0.11,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzhr62dt\ZZHR62FL.MAP,.map,0.1,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzpr62dt\ZZPR62FL.MAP,.map,0.1,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\8. Infant and Child Mortality.pdf,.pdf,0.08,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\code_données_dhs.ipynb,.ipynb,0.06,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.shp.xml,.xml,0.06,,,,,,False,OSError: [Errno 22] Invalid argument,True,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzpr62dt\ZZPR62FL.DO,.do,0.05,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.shp.xml,.xml,0.04,,,,,,False,OSError: [Errno 22] Invalid argument,True,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.shp.xml,.xml,0.04,,,,,,False,OSError: [Errno 22] Invalid argument,True,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzbr62dt\ZZBR62FL.DCT,.dct,0.04,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\18. Adult and Maternal Mortality.pdf,.pdf,0.03,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.dbf,.dbf,0.02,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzfulltables\Tables for web\1. Response Rates.pdf,.pdf,0.02,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,True,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzpr62dt\ZZPR62FL.DCT,.dct,0.01,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.shp,.shp,0.01,,,,,,False,OSError: [Errno 22] Invalid argument,True,False,False,spatial_support_present,vector support detected
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.shp,.shp,0.01,,,,,,False,OSError: [Errno 22] Invalid argument,True,False,False,spatial_support_present,vector support detected
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\GPS_Displacement_README.txt,.txt,0.01,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\DHS_README.txt,.txt,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.sbn,.sbn,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.sbn,.sbn,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.shx,.shx,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.shx,.shx,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\MODEL_README.txt,.txt,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.sbx,.sbx,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.sbx,.sbx,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.sbn,.sbn,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.prj,.prj,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.prj,.prj,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.prj,.prj,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.sbx,.sbx,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.shx,.shx,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\regional\regional\model_regional_boundaries.CPG,.cpg,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL.CPG,.cpg,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
dhs_programms_EDP_datasets,dhs_programms_EDP_datasets\zz_2016_DHS_04132026_82118\zzge61fl\zzge61fl\ZZGE61FL_undisplaced.CPG,.cpg,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
