dataset_doi,repo,verified,download_status,n_files,total_mb,local_raw_dir,linked_publication_doi,paper_resolved,title,note
10.5061/dryad.jwstqjqjw,dryad,True,downloaded,2,26.30,data\raw\papers\DatasetFirst_10_5061_dryad_jwstqjqjw,10.1002/ecy.70432,True,From lagging to leading: Increased phenological asynchrony in a Batesian mimicry complex,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.k0p2ngfcc,dryad,True,verified_pending_download,5,5980.94,,10.1016/j.celrep.2023.113494,True,CODEX multiplexed imaging of immunotherapy in human and mouse melanomas,"4 fichier(s) au format donnee reelle detecte(s) | depot 6124482Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.kb401ch,dryad,False,failed,2,17.48,,10.1111/mec.15128,True,Data from: Local and regional scale habitat heterogeneity contribute to genetic adaptation in a commercially important marine mollusc (Haliotis rubra) from southeastern Australia,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.mw6m9067c,dryad,False,failed,2,0.30,,10.1111/1365-2745.70148,True,Several candidate size metrics explain vital rates across multiple populations throughout a widespread species' range,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.n2z34tnb3,dryad,True,downloaded,7,82.67,data\raw\papers\DatasetFirst_10_5061_dryad_n2z34tnb3,10.2139/ssrn.5490726,True,Mapping the prevalence of household-scale livestock ownership by animal taxon in low- and middle-income countries,6 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 7
10.5061/dryad.n4288,dryad,True,downloaded,2,0.01,data\raw\papers\DatasetFirst_10_5061_dryad_n4288,10.1111/2041-210x.12864,True,Data from: Bringing multivariate support to multiscale codependence analysis: assessing the drivers of community structure across spatial scales,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.nh07v50,dryad,True,downloaded,1,44.92,data\raw\papers\DatasetFirst_10_5061_dryad_nh07v50,10.1111/jbi.13581,True,Data from: How does spatial resolution affect model performance? A case for ensemble approaches for marine benthic mesophotic communities,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5061/dryad.nzs7h44s4,dryad,True,verified_pending_download,6,18455.58,,10.1101/2020.05.26.117325,True,Fly and mouse tracking models and kinematics related to Anipose toolkit paper,"6 fichier(s) au format donnee reelle detecte(s) | depot 18898513Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.p8cz8wb18,dryad,False,failed,6,1.02,,10.1101/2025.02.10.637386,True,Data from: Jointly representing long-range genetic similarity and spatially heterogeneous isolation-by-distance,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.prr4xgxm0,dryad,True,downloaded,2,0.24,data\raw\papers\DatasetFirst_10_5061_dryad_prr4xgxm0,10.1016/j.ecolmodel.2022.109943,True,Dataset of habitat quality does not predict animal population abundance on frequently disturbed landscapes,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.r1s8g,dryad,True,downloaded,2,12.22,data\raw\papers\DatasetFirst_10_5061_dryad_r1s8g,10.1111/2041-210x.12567,True,"Data from: Model-based inference for estimating shifts in species distribution, area occupied and centre of gravity",2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.r4xgxd28f,dryad,True,downloaded,2,0.03,data\raw\papers\DatasetFirst_10_5061_dryad_r4xgxd28f,10.5061/dryad.d715g,True,"Demographic fluctuations lead to rapid and cyclic shifts in genetic structure among populations of an alpine butterfly, Parnassius smintheus",2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.r4xgxd2tm,dryad,True,verified_pending_download,3,892.10,,10.1029/2025wr041510,True,Data for: A hybrid biophysical-machine learning framework for diurnal surface energy flux estimation using proximal sensing,"2 fichier(s) au format donnee reelle detecte(s) | depot 913514Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.rt679ng,dryad,True,downloaded,3,0.02,data\raw\papers\DatasetFirst_10_5061_dryad_rt679ng,10.1111/ecog.04115,True,Data from: Disentangling elevational richness: a multi-scale hierarchical Bayesian occupancy model of Colorado ant communities,3 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3
10.5061/dryad.rxwdbrvnn,dryad,True,downloaded,2,1.68,data\raw\papers\DatasetFirst_10_5061_dryad_rxwdbrvnn,10.1139/cjfas-2024-0273,True,Data from: Accounting for movement in spatial surplus production models: A case study of redfish on the Eastern Grand Banks of Newfoundland,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.tdz08kq33,dryad,True,verified_pending_download,2,5582.61,,10.1111/1755-0998.13745,True,The topological nature of tag jumping in environmental DNA metabarcoding studies (sequencing raw data),"1 fichier(s) au format donnee reelle detecte(s) | depot 5716590Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.th865,dryad,False,failed,1,274.85,,10.1111/mec.13954,True,"Data from: Population genomics reveals structure at the individual, host-tree scale and persistence of genotypic variants of the undomesticated yeast Saccharomyces paradoxus in a natural woodland",listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.tqjq2bvv2,dryad,True,downloaded,1,0.03,data\raw\papers\DatasetFirst_10_5061_dryad_tqjq2bvv2,10.1111/ecog.04890,True,Testing whether ensemble modelling is advantageous for maximising predictive performance of species distribution models,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5061/dryad.v6wwpzhb8,dryad,True,verified_pending_download,2,1927.83,,10.7554/elife.95562,True,Data from: Spatially targeted inhibitory rhythms differentially affect neuronal integration,"1 fichier(s) au format donnee reelle detecte(s) | depot 1974097Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.wstqjq2mm,dryad,True,downloaded,20,0.27,data\raw\papers\DatasetFirst_10_5061_dryad_wstqjq2mm,10.1111/ecog.05959,True,Data for: Density dependence and spatial heterogeneity limit the population growth rate of invasive pines at the landscape scale,12 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 20
10.5061/dryad.z08kprrht,dryad,False,failed,4,0.12,,10.1371/journal.pone.0287910,True,Exploring the effect of industrial agglomeration on income inequality in China,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5281/zenodo.14965669,zenodo,True,verified_pending_download,4,2039.57,,,False,The global fish and invertebrate abundance value of mangroves dataset,"4 fichier(s) au format donnee reelle detecte(s) | depot 2088523Ko > seuil max 500000Ko, telechargement saute"
10.5281/zenodo.17316371,zenodo,True,downloaded,1,7.91,data\raw\papers\DatasetFirst_10_5281_zenodo_17316371,,False,"Spatial Dataset for Multi-Source Renewable Energy Potential Assessment in the Makran Region, Iran",1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5281/zenodo.19626336,zenodo,True,downloaded,1,0.04,data\raw\papers\DatasetFirst_10_5281_zenodo_19626336,,False,Spatial analysis of household-scale solar PV systems in Hungary (2024),1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5281/zenodo.20739182,zenodo,True,downloaded,1,106.07,data\raw\papers\DatasetFirst_10_5281_zenodo_20739182,,False,"Data and reproducibility package for regional assessment and recalibration of daily Level-3 satellite chlorophyll-a products in the Bransfield Strait, Antarctica",1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5281/zenodo.21130627,zenodo,True,downloaded,1,402.64,data\raw\papers\DatasetFirst_10_5281_zenodo_21130627,,False,ELITE land surface temperature: seamless 1km LST over China (2010),1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5281/zenodo.4090917,zenodo,True,verified_pending_download,6,22764.90,,,False,iSDAsoil: soil extractable Aluminium for Africa predicted at 30 m resolution at 0-20 and 20-50 cm depths,"5 fichier(s) au format donnee reelle detecte(s) | depot 23311261Ko > seuil max 500000Ko, telechargement saute"
10.5281/zenodo.7298913,zenodo,True,verified_pending_download,8,1116.58,,10.1109/jstars.2022.3188922,True,Uncertainty Analysis of Digital Elevation Models by Spatial Inference From Stable Terrain – Dataset,"8 fichier(s) au format donnee reelle detecte(s) | depot 1143378Ko > seuil max 500000Ko, telechargement saute"
10.5281/zenodo.7352284,zenodo,True,downloaded,2,68.85,data\raw\papers\DatasetFirst_10_5281_zenodo_7352284,,False,A map of global peatland extent created using machine learning (Peat-ML),2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.6071/m3wm3g,dryad,True,verified_pending_download,20,4504.67,,10.5194/gmd-15-5045-2022,True,SnowClim v1.0: High-resolution snow model and data for the western United States,"20 fichier(s) au format donnee reelle detecte(s) | depot 4612780Ko > seuil max 500000Ko, telechargement saute"
