metadata_schema;candidate_status;dataset_doi;dataset_title;dataset_publisher;dataset_year;data_access_url;publication_doi;publication_title;publication_venue;publication_year;publication_url;open_access_pdf_url;cited_by_count;formula_status;formula_pub;estimators_from_metadata;spatial_evidence;model_evidence;verification_notes;local_pdf;ingestion_status;ingestion_next_step;bib_key
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.6m905qg03;Data associated with ecological niche models and post-ENM statistical analyses for Trillium species distributions;Dryad;2021;https://datadryad.org/dataset/doi:10.5061/dryad.6m905qg03;10.1111/ddi.13297;Reproductive traits explain occupancy of predicted distributions in a genus of eastern North American understory herbs;Diversity and Distributions;2021;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13297;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13297;5;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Étude sur les modèles de niche écologique (ENM) pour Trillium en Amérique du Nord de l'Est, données d'occurrence géoréférencées, analyses post-ENM avec traits reproductifs. Domaine biodiversité pertinent, méthodes ENM spatiales.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2021_ReproductiveTraitsExplainOccupancy_10_1111_ddi_1329
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.pk0p2ngsd;Understanding different dominance patterns in western Amazonian forests;Dryad;2023;https://datadryad.org/dataset/doi:10.5061/dryad.pk0p2ngsd;10.1111/ele.14351;Understanding different dominance patterns in western Amazonian forests;Ecology Letters;2023;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ele.14351;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ele.14351;8;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Modèles de régression beta pour analyser les patterns de dominance spatiale d'espèces d'arbres en Amazonie ; 503 parcelles d'inventaire forestier avec coordonnées ; relation abondance-occupation spatiale ; courbes d'agrégation spatiale";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2023_UnderstandingDifferentDominancePatterns_10_1111_ele_1435
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.9kd51c5rr;Data from: Reconstructing 120 years of climate change impacts on Joshua tree flowering;Dryad;2024;https://datadryad.org/dataset/doi:10.5061/dryad.9kd51c5rr;10.1111/ele.14478;Reconstructing 120 years of climate change impacts on Joshua tree flowering;Ecology Letters;2024;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ele.14478;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ele.14478;6;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Étude sur la floraison de Joshua trees avec Bayesian Additive Regression Trees (BART) pour prédiction spatiale à partir de données iNaturalist et météo. Méthode BART spatiale explicite, données géoréférencées, domaine climat/biodiversité pertinent.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2024_Reconstructing120YearsOf_10_1111_ele_1447
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.jr66k;Data from: Modelling the dispersal of the two main hosts of the raccoon rabies variant in heterogeneous environments with landscape genetics;Dryad;2014;https://datadryad.org/dataset/doi:10.5061/dryad.jr66k;10.1111/eva.12161;Modelling the dispersal of the two main hosts of the raccoon rabies variant in heterogeneous environments with landscape genetics;Evolutionary Applications;2014;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/eva.12161;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/eva.12161;49;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Génétique du paysage pour modéliser la dispersion de ratons laveurs et mouffettes (hôtes de la rage) ; Multiple Regression on Distance Matrices (MRDM) avec distance génétique vs géographique et variables paysagères ; 49 citations";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2014_ModellingTheDispersalOf_10_1111_eva_1216
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5281/zenodo.15159899;Table 1 in Global diversity of island floras from a macroecological perspective;Zenodo;2007;https://zenodo.org/doi/10.5281/zenodo.15159899;10.1111/j.1461-0248.2007.01129.x;Global diversity of island floras from a macroecological perspective;Ecology Letters;2007;https://resolver.sub.uni-goettingen.de/purl?gro-2/5814;https://resolver.sub.uni-goettingen.de/purl?gro-2/5814;387;pending_grobid_kg;;['SAR'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Article macroécologique sur la diversité florale des îles avec modèles SAR (Simultaneous Autoregressive) explicites, données multi-îles avec aire/précipitation/température/élévation/distance. Méthode SAR spatiale explicite, domaine biodiversité pertinent, 387 citations.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2007_GlobalDiversityOfIsland_10_1111_j_1461_0
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.ncjsxkszw;Forests on the move: Tracking climate-related treeline changes in mountains of the northeastern United States;Dryad;2023;https://datadryad.org/dataset/doi:10.5061/dryad.ncjsxkszw;10.1111/jbi.14708;Forests on the move: Tracking climate-related treeline changes in mountains of the northeastern United States;Journal of Biogeography;2023;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbi.14708;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbi.14708;14;pending_grobid_kg;;['OLS'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Analyse spatiale de changements de limite forestière alpine avec régression linéaire multiple sur variables topographiques/climatiques, données empiriques géoréférencées (White Mountain, Baxter State Park).;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2023_ForestsOnTheMove_10_1111_jbi_1470
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.25384/sage.18902846.v1;sj-csv-2-epb-10.1177_23998083211063885 - Supplemental Material for Uncovering spatial heterogeneity in real estate prices via combined hierarchical linear model and geographically weighted regression;SAGE Journals;2022;https://sage.figshare.com/articles/dataset/sj-csv-2-epb-10_1177_23998083211063885_Supplemental_Material_for_Uncovering_spatial_heterogeneity_in_real_estate_prices_via_combined_hierarchical_linear_model_and_geographically_weighted_regression/18902846/1;10.1177/23998083211063885;Uncovering spatial heterogeneity in real estate prices via combined hierarchical linear model and geographically weighted regression;Environment and Planning B Urban Analytics and City Science;2022;https://doi.org/10.1177/23998083211063885;;22;pending_grobid_kg;;['GWR'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Modèle combiné HLM + GWR pour hétérogénéité spatiale des prix immobiliers, données empiriques réelles, méthode explicite dans le titre.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2022_UncoveringSpatialHeterogeneityIn_10_1177_23998083
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.mw6m9063p;Climate is more influential to vegetation green-up than factors that contribute to erosion following high-severity wildfire;Dryad;2024;https://datadryad.org/dataset/doi:10.5061/dryad.mw6m9063p;10.1186/s42408-024-00264-0;Climate limits vegetation green-up more than slope, soil erodibility, and immediate precipitation following high-severity wildfire;Fire Ecology;2024;https://fireecology.springeropen.com/counter/pdf/10.1186/s42408-024-00264-0;https://fireecology.springeropen.com/counter/pdf/10.1186/s42408-024-00264-0;7;pending_grobid_kg;;['random_forest'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Étude sur la récupération de la végétation post-feu dans le sud-ouest USA avec Random Forest, données Landsat multi-temporelles, variables topographiques/sol/climat. Domaine feu/végétation/climat pertinent, méthode Random Forest spatiale.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2024_ClimateLimitsVegetationGreen_10_1186_s42408_0
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.f180j;Data from: Time-lag in responses of birds to Atlantic Forest fragmentation: restoration opportunity and urgency;Dryad;2016;https://datadryad.org/dataset/doi:10.5061/dryad.f180j;10.1371/journal.pone.0147909;Time-Lag in Responses of Birds to Atlantic Forest Fragmentation: Restoration Opportunity and Urgency;PLoS ONE;2016;https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0147909&type=printable;https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0147909&type=printable;66;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Étude sur les réponses temporelles des oiseaux à la fragmentation de la forêt atlantique brésilienne, données multi-temporelles (1956-2003) avec aire/isolation des fragments. Domaine biodiversité/déforestation pertinent, analyse spatiale temporelle explicite.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2016_TimeLagInResponses_10_1371_journal_
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.7910/dvn/gy65tp;The Improbable Nature of the Implied Correlation Matrix from Spatial Regression Models;Harvard Dataverse;2015;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/GY65TP;10.15196/rs04101;The Improbable Nature of the Implied Correlation Matrix from Spatial Regression Models;Regional Statistics;2014;https://doi.org/10.15196/rs04101;;5;pending_grobid_kg;;['SAR'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Article méthodologique sur la structure de corrélation implicite des modèles SAR, avec données cigarettes (46 états US, 1963-1992). Spatial econometrics, SAR, weight matrix, variance-covariance. Dataset empirique panel spatial.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2014_TheImprobableNatureOf_10_15196_rs04101
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.sq72d;Data from: Multiple stressors and the cause of amphibian abnormalities;Dryad;2014;https://datadryad.org/dataset/doi:10.5061/dryad.sq72d;10.1890/09-0879.1;Multiple stressors and the cause of amphibian abnormalities;Ecological Monographs;2010;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1890/09-0879.1;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1890/09-0879.1;33;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Régression logistique pour prédire anomalies chez grenouilles en Alaska ; 21 zones humides avec coordonnées ; variables contaminants, prédateurs, parasites ; comparaison de modèles AIC ; 33 citations";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2010_MultipleStressorsAndThe_10_1890_09_0879_
