priority_score,paper_title,paper_year,paper_doi,paper_venue,candidate_decision,literature_score,task_type,detected_methods,mentioned_datasets,useful_dataset_link_count,first_useful_dataset_link,description_excerpt
5,Prediction of Diabetes Empowered With Fused Machine Learning,2022,10.1109/access.2022.3142097,IEEE Access,drop_or_low_priority,5,forecasting,machine_learning; support_vector_machine; artificial_neural_network; fuzzy_logic,,1,https://doaj.org/article/b1fa167269e54f3ba4ced24b152e26c4,"In the medical field, it is essential to predict diseases early to prevent them. Diabetes is one of the most dangerous diseases all over the world. In modern lifestyles, sugar and fat are typically present in our dietary habits, which have increased the risk of diabetes. To predict the disease, it is extremely important to understand its symptoms. Currently, machine-learning (ML) algorithms are valuable for disease detection. This article presents a model using a fused machine learning approach for diabetes prediction. The conceptual framework consists of two types of models: Support Vector Machine (SVM) and Artificial Neural Network (ANN) models. These models analyze the dataset to determine whether a diabetes diagnosis is positive or negative. The dataset used in this research is divided into training data and testing data with a ratio of 70:30 respectively. The output of these models becomes the input membership function for the fuzzy model, whereas the fuzzy logic finally..."
5,Deep Convolutional and LSTM Recurrent Neural Networks for Multimodal Wearable Activity Recognition,2016,10.3390/s16010115,Sensors,review,5,machine_learning,convolutional_neural_network; lstm_rnn; hyperparameter_selection,,2,https://figshare.com/articles/journal_contribution/Deep_convolutional_and_LSTM_recurrent_neural_networks_for_multimodal_wearable_activity_recognition/23426657,"Human activity recognition (HAR) tasks have traditionally been solved using engineered features obtained by heuristic processes. Current research suggests that deep convolutional neural networks are suited to automate feature extraction from raw sensor inputs. However, human activities are made of complex sequences of motor movements, and capturing this temporal dynamics is fundamental for successful HAR. Based on the recent success of recurrent neural networks for time series domains, we propose a generic deep framework for activity recognition based on convolutional and LSTM recurrent units, which: (i) is suitable for multimodal wearable sensors; (ii) can perform sensor fusion naturally; (iii) does not require expert knowledge in designing features; and (iv) explicitly models the temporal dynamics of feature activations. We evaluate our framework on two datasets, one of which has been used in a public activity recognition challenge. Our results show that our framework outperforms..."
5,"Performance Analysis of IoT-Based Sensor, Big Data Processing, and Machine Learning Model for Real-Time Monitoring System in Automotive Manufacturing",2018,10.3390/s18092946,Sensors,review,5,forecasting,random_forest; machine_learning; dbscan; apache_stream_processing,,1,https://doaj.org/article/49473adc2cef44a489c601c4156cbca2,"With the increase in the amount of data captured during the manufacturing process, monitoring systems are becoming important factors in decision making for management. Current technologies such as Internet of Things (IoT)-based sensors can be considered a solution to provide efficient monitoring of the manufacturing process. In this study, a real-time monitoring system that utilizes IoT-based sensors, big data processing, and a hybrid prediction model is proposed. Firstly, an IoT-based sensor that collects temperature, humidity, accelerometer, and gyroscope data was developed. The characteristics of IoT-generated sensor data from the manufacturing process are: real-time, large amounts, and unstructured type. The proposed big data processing platform utilizes Apache Kafka as a message queue, Apache Storm as a real-time processing engine and MongoDB to store the sensor data from the manufacturing process. Secondly, for the proposed hybrid prediction model, Density-Based Spatial..."
4,Global fatal landslide occurrence from 2004 to 2016,2018,10.5194/nhess-18-2161-2018,Natural hazards and earth system sciences,review,6,unknown,,,50,https://nhess.copernicus.org/articles/18/2161/2018/nhess-18-2161-2018.pdf,"Abstract. Landslides are a ubiquitous hazard in terrestrial environments with slopes, incurring human fatalities in urban settlements, along transport corridors and at sites of rural industry. Assessment of landslide risk requires high-quality landslide databases. Recently, global landslide databases have shown the extent to which landslides impact on society and identified areas most at risk. Previous global analysis has focused on rainfall-triggered landslides over short ∼ 5-year observation periods. This paper presents spatiotemporal analysis of a global dataset of fatal non-seismic landslides, covering the period from January 2004 to December 2016. The data show that in total 55 997 people were killed in 4862 distinct landslide events. The spatial distribution of landslides is heterogeneous, with Asia representing the dominant geographical area. There are high levels of interannual variation in the occurrence of landslides. Although more active years coincide with recognised..."
4,The Version-2 Global Precipitation Climatology Project (GPCP) Monthly Precipitation Analysis (1979–Present),2003,10.1175/1525-7541(2003)004<1147:tvgpcp>2.0.co;2,Journal of Hydrometeorology,review,6,unknown,satellite_gauge_merging,GPCP; Global Precipitation Climatology Project,1,https://journals.ametsoc.org/downloadpdf/journals/hydr/4/6/1525-7541_2003_004_1147_tvgpcp_2_0_co_2.pdf,"The Global Precipitation Climatology Project (GPCP) Version-2 Monthly Precipitation Analysis is described. This globally complete, monthly analysis of surface precipitation at 2.5 latitude 2.5 longitude resolution is available from January 1979 to the present. It is a merged analysis that incorporates precipitation estimates from low-orbit satellite microwave data, geosynchronous-orbit satellite infrared data, and surface rain gauge observations. The merging approach utilizes the higher accuracy of the low-orbit microwave observations to calibrate, or adjust, the more frequent geosynchronous infrared observations. The dataset is extended back into the premicrowave era (before mid-1987) by using infrared-only observations calibrated to the microwave-based analysis of the later years. The combined satellite-based product is adjusted by the rain gauge analysis. The dataset archive also contains the individual input fields, a combined satellite estimate, and error estimates for each..."
4,Machine learning for neuroimaging with scikit-learn,2014,10.3389/fninf.2014.00014,Frontiers in Neuroinformatics,review,5,machine_learning,machine_learning,,3,https://doaj.org/article/055de24a9c3540b6b3884081362be90d,"Statistical machine learning methods are increasingly used for neuroimaging data analysis. Their main virtue is their ability to model high-dimensional datasets, e.g., multivariate analysis of activation images or resting-state time series. Supervised learning is typically used in decoding or encoding settings to relate brain images to behavioral or clinical observations, while unsupervised learning can uncover hidden structures in sets of images (e.g., resting state functional MRI) or find sub-populations in large cohorts. By considering different functional neuroimaging applications, we illustrate how scikit-learn, a Python machine learning library, can be used to perform some key analysis steps. Scikit-learn contains a very large set of statistical learning algorithms, both supervised and unsupervised, and its application to neuroimaging data provides a versatile tool to study the brain."
4,Robust mapping of spatiotemporal trajectories and cell–cell interactions in healthy and diseased tissues,2023,10.1038/s41467-023-43120-6,Nature Communications,review,5,machine_learning,,,16,https://www.nature.com/articles/s41467-023-43120-6.pdf,"Spatial transcriptomics (ST) technologies generate multiple data types from biological samples, namely gene expression, physical distance between data points, and/or tissue morphology. Here we developed three computational-statistical algorithms that integrate all three data types to advance understanding of cellular processes. First, we present a spatial graph-based method, pseudo-time-space (PSTS), to model and uncover relationships between transcriptional states of cells across tissues undergoing dynamic change (e.g. neurodevelopment, brain injury and/or microglia activation, and cancer progression). We further developed a spatially-constrained two-level permutation (SCTP) test to study cell-cell interaction, finding highly interactive tissue regions across thousands of ligand-receptor pairs with markedly reduced false discovery rates. Finally, we present a spatial graph-based imputation method with neural network (stSME), to correct for technical noise/dropout and increase ST data..."
4,Multi-decadal increase of forest burned area in Australia is linked to climate change,2021,10.1038/s41467-021-27225-4,Nature Communications,review,5,simulation_modeling,,,12,https://www.nature.com/articles/s41467-021-27225-4.pdf,"Fire activity in Australia is strongly affected by high inter-annual climate variability and extremes. Through changes in the climate, anthropogenic climate change has the potential to alter fire dynamics. Here we compile satellite (19 and 32 years) and ground-based (90 years) burned area datasets, climate and weather observations, and simulated fuel loads for Australian forests. Burned area in Australia's forests shows a linear positive annual trend but an exponential increase during autumn and winter. The mean number of years since the last fire has decreased consecutively in each of the past four decades, while the frequency of forest megafire years (>1 Mha burned) has markedly increased since 2000. The increase in forest burned area is consistent with increasingly more dangerous fire weather conditions, increased risk factors associated with pyroconvection, including fire-generated thunderstorms, and increased ignitions from dry lightning, all associated to varying degrees with..."
4,REST: A Toolkit for Resting-State Functional Magnetic Resonance Imaging Data Processing,2011,10.1371/journal.pone.0025031,PLoS ONE,review,5,regression,,,9,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0025031&type=printable,"Resting-state fMRI (RS-fMRI) has been drawing more and more attention in recent years. However, a publicly available, systematically integrated and easy-to-use tool for RS-fMRI data processing is still lacking. We developed a toolkit for the analysis of RS-fMRI data, namely the RESting-state fMRI data analysis Toolkit (REST). REST was developed in MATLAB with graphical user interface (GUI). After data preprocessing with SPM or AFNI, a few analytic methods can be performed in REST, including functional connectivity analysis based on linear correlation, regional homogeneity, amplitude of low frequency fluctuation (ALFF), and fractional ALFF. A few additional functions were implemented in REST, including a DICOM sorter, linear trend removal, bandpass filtering, time course extraction, regression of covariates, image calculator, statistical analysis, and slice viewer (for result visualization, multiple comparison correction, etc.). REST is an open-source package and is freely available at..."
4,MoleculeNet: a benchmark for molecular machine learning,2017,10.1039/c7sc02664a,Chemical Science,drop_or_low_priority,5,forecasting,machine_learning,MoleculeNet,2,https://github.com/newrelic/newrelic-browser-agent/blob/main/docs/warning-codes.md#,"Molecular machine learning has been maturing rapidly over the last few years. Improved methods and the presence of larger datasets have enabled machine learning algorithms to make increasingly accurate predictions about molecular properties. However, algorithmic progress has been limited due to the lack of a standard benchmark to compare the efficacy of proposed methods; most new algorithms are benchmarked on different datasets making it challenging to gauge the quality of proposed methods. This work introduces MoleculeNet, a large scale benchmark for molecular machine learning. MoleculeNet curates multiple public datasets, establishes metrics for evaluation, and offers high quality open-source implementations of multiple previously proposed molecular featurization and learning algorithms (released as part of the DeepChem open source library). MoleculeNet benchmarks demonstrate that learnable representations are powerful tools for molecular machine learning and broadly offer the best..."
3,"Global, regional, and national incidence, prevalence, and years lived with disability for 310 diseases and injuries, 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015",2016,10.1016/s0140-6736(16)31678-6,The Lancet,review,6,regression,bayesian_meta_regression,Global Burden of Disease; GBD 2015,0,,"BACKGROUND: Non-fatal outcomes of disease and injury increasingly detract from the ability of the world's population to live in full health, a trend largely attributable to an epidemiological transition in many countries from causes affecting children, to non-communicable diseases (NCDs) more common in adults. For the Global Burden of Diseases, Injuries, and Risk Factors Study 2015 (GBD 2015), we estimated the incidence, prevalence, and years lived with disability for diseases and injuries at the global, regional, and national scale over the period of 1990 to 2015. METHODS: We estimated incidence and prevalence by age, sex, cause, year, and geography with a wide range of updated and standardised analytical procedures. Improvements from GBD 2013 included the addition of new data sources, updates to literature reviews for 85 causes, and the identification and inclusion of additional studies published up to November, 2015, to expand the database used for estimation of non-fatal outcomes..."
0,What Do We Learn from the Weather? The New Climate-Economy Literature,2014,10.1257/jel.52.3.740,Journal of Economic Literature,review,5,unknown,,,0,,"A rapidly growing body of research applies panel methods to examine how temperature, precipitation, and windstorms influence economic outcomes. These studies focus on changes in weather realizations over time within a given spatial area and demonstrate impacts on agricultural output, industrial output, labor productivity, energy demand, health, conflict, and economic growth, among other outcomes. By harnessing exogenous variation over time within a given spatial unit, these studies help credibly identify (i) the breadth of channels linking weather and the economy, (ii) heterogeneous treatment effects across different types of locations, and (iii) nonlinear effects of weather variables. This paper reviews the new literature with two purposes. First, we summarize recent work, providing a guide to its methodologies, datasets, and findings. Second, we consider applications of the new literature, including insights for the “damage function” within models that seek to assess the potential..."
