dataset_doi,repo,verified,download_status,n_files,total_mb,local_raw_dir,linked_publication_doi,paper_resolved,title,note
10.5061/dryad.th865,dryad,False,failed,1,274.85,,10.1111/mec.13954,True,"Data from: Population genomics reveals structure at the individual, host-tree scale and persistence of genotypic variants of the undomesticated yeast Saccharomyces paradoxus in a natural woodland",listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.v6wwpzhb8,dryad,True,verified_pending_download,2,1927.83,,10.7554/elife.95562,True,Data from: Spatially targeted inhibitory rhythms differentially affect neuronal integration,"1 fichier(s) au format donnee reelle detecte(s) | depot 1974097Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.wstqjq2mm,dryad,True,downloaded,20,0.27,data\raw\papers\DatasetFirst_10_5061_dryad_wstqjq2mm,10.1111/ecog.05959,True,Data for: Density dependence and spatial heterogeneity limit the population growth rate of invasive pines at the landscape scale,12 fichier(s) au format donnee reelle detecte(s)
10.5061/dryad.z08kprrht,dryad,False,failed,4,0.12,,10.1371/journal.pone.0287910,True,Exploring the effect of industrial agglomeration on income inequality in China,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5281/zenodo.14965669,zenodo,True,verified_pending_download,4,2039.57,,,False,The global fish and invertebrate abundance value of mangroves dataset,"4 fichier(s) au format donnee reelle detecte(s) | depot 2088523Ko > seuil max 500000Ko, telechargement saute"
10.5281/zenodo.19626336,zenodo,True,downloaded,1,0.04,data\raw\papers\DatasetFirst_10_5281_zenodo_19626336,,False,Spatial analysis of household-scale solar PV systems in Hungary (2024),1 fichier(s) au format donnee reelle detecte(s)
10.5281/zenodo.20739182,zenodo,True,downloaded,1,106.07,data\raw\papers\DatasetFirst_10_5281_zenodo_20739182,,False,"Data and reproducibility package for regional assessment and recalibration of daily Level-3 satellite chlorophyll-a products in the Bransfield Strait, Antarctica",1 fichier(s) au format donnee reelle detecte(s)
10.5281/zenodo.21130627,zenodo,True,downloaded,1,402.64,data\raw\papers\DatasetFirst_10_5281_zenodo_21130627,,False,ELITE land surface temperature: seamless 1km LST over China (2010),1 fichier(s) au format donnee reelle detecte(s)
10.5281/zenodo.4090917,zenodo,True,verified_pending_download,6,22764.90,,,False,iSDAsoil: soil extractable Aluminium for Africa predicted at 30 m resolution at 0-20 and 20-50 cm depths,"5 fichier(s) au format donnee reelle detecte(s) | depot 23311261Ko > seuil max 500000Ko, telechargement saute"
10.5281/zenodo.7298913,zenodo,True,verified_pending_download,8,1116.58,,10.1109/jstars.2022.3188922,True,Uncertainty Analysis of Digital Elevation Models by Spatial Inference From Stable Terrain – Dataset,"8 fichier(s) au format donnee reelle detecte(s) | depot 1143378Ko > seuil max 500000Ko, telechargement saute"
10.6071/m3wm3g,dryad,True,verified_pending_download,20,4504.67,,10.5194/gmd-15-5045-2022,True,SnowClim v1.0: High-resolution snow model and data for the western United States,"20 fichier(s) au format donnee reelle detecte(s) | depot 4612780Ko > seuil max 500000Ko, telechargement saute"
