metadata_schema;dataset_doi;dataset_title;dataset_repo;dataset_n_files;dataset_literature_score;publication_doi;publication_title;publication_venue;publication_year;publication_resolved;linked_publication_relationship;discovery_source;estimators_from_metadata;formula_status;formula_pub;formula_completeness;local_pdf;local_tei;local_raw_dir;download_status;verification_notes;ingestion_status;ingestion_next_step;bib_key
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.18725671;Intrinsic Controls on the Spatiotemporal Predictability of Groundwater Levels in Arid Regions: Insights From Dynamic Graph Learning;zenodo;2;8;;[dataset-first, publication non resolue] Intrinsic Controls on the Spatiotemporal Predictability of Groundwater Levels in Arid Regions: Insights From Dynamic Graph Learning;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_18725671;downloaded;2 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_1
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.rv15dv4fv;Replicate analysis from: tinyVAST: R package with an expressive interface to specify lagged and simultaneous effects in multivariate spatio-temporal models;dryad;6;8;10.1111/geb.70035;tinyVAST : R Package With an Expressive Interface to Specify Lagged and Simultaneous Effects in Multivariate Spatio‐Temporal Models;Global Ecology and Biogeography;2025;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_rv15dv4fv;downloaded;5 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2025_TinyvastRPackageWith_10_5061_dryad_rv
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.cfxpnvxg7;Data from: United States cattle market location and annual market sales estimate data;dryad;3;8;10.1016/j.compag.2022.107483;Modeling U.S. cattle movements until the cows come home: Who ships to whom and how many?;Computers and Electronics in Agriculture;2022;True;article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_cfxpnvxg7;downloaded;2 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2022_ModelingUSCattle_10_5061_dryad_cf
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.xsj3tx9g1;WiBB: An integrated method for quantifying the relative importance of predictive variables;dryad;1;8;10.1111/ecog.05651;WiBB : an integrated method for quantifying the relative importance of predictive variables;Ecography;2021;True;primary_article;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\i_WiBB_i_an_integrated_method_for_quantifying_the_relative_importance_of_predict_W3200721675.pdf;corpus\papers\tei\i_WiBB_i_an_integrated_method_for_quantifying_the_relative_importance_of_predict_W3200721675.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_xsj3tx9g1;downloaded;1 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2021_WibbAnIntegratedMethod_10_5061_dryad_xs
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.4j0zpc8j1;Data from: Predictive spatial modeling of sociodemographic risk for COVID-19 mortality;dryad;2;8;10.1101/2023.07.21.23292785;Spatial Modeling of Sociodemographic Risk for COVID-19 Mortality;medRxiv;2023;True;preprint;dataset_first;"[""random_forest""]";pending_grobid_kg;;;corpus\papers\raw_pdf\Spatial_Modeling_of_Sociodemographic_Risk_for_COVID_19_Mortality_W4385269757.pdf;corpus\papers\tei\Spatial_Modeling_of_Sociodemographic_Risk_for_COVID_19_Mortality_W4385269757.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_4j0zpc8j1;downloaded;1 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2023_SpatialModelingOfSociodemographic_10_5061_dryad_4j
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.30hd0;Data from: Contrasting effects of spatial heterogeneity and environmental stochasticity on population dynamics of a perennial wildflower;dryad;3;7;10.1111/1365-2745.12500;Contrasting effects of spatial heterogeneity and environmental stochasticity on population dynamics of a perennial wildflower;Journal of Ecology;2016;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Contrasting_effects_of_spatial_heterogeneity_and_environmental_stochasticity_on__W2293547265.pdf;corpus\papers\tei\Contrasting_effects_of_spatial_heterogeneity_and_environmental_stochasticity_on__W2293547265.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_30hd0;downloaded;3 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2016_ContrastingEffectsOfSpatial_10_5061_dryad_30
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.9p8cz8wkp;Including a spatial predictive process in band recovery models improves inference for Lincoln estimates of animal abundance;dryad;8;7;;[dataset-first, publication non resolue] Including a spatial predictive process in band recovery models improves inference for Lincoln estimates of animal abundance;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_9p8cz8wkp;downloaded;7 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5061_dryad_9p
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.gtht76hm5;Thermal performance under constant temperatures can accurately predict insect development times across naturally variable microclimates;dryad;1;7;;[dataset-first, publication non resolue] Thermal performance under constant temperatures can accurately predict insect development times across naturally variable microclimates;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_gtht76hm5;downloaded;listing ambigu (formats non reconnus) - verification manuelle recommandee | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5061_dryad_gt
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.20703765;Annual Global Ocean Minimum Dissolved Oxygen Concentration and Its Depth From 1960 to 2019;zenodo;1;7;;[dataset-first, publication non resolue] Annual Global Ocean Minimum Dissolved Oxygen Concentration and Its Depth From 1960 to 2019;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_20703765;downloaded;listing ambigu (formats non reconnus) - verification manuelle recommandee | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_2
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.18513602;High-Resolution (30 m) Flood Susceptibility Mapping Data of Pakistan;zenodo;3;7;10.1016/j.ijdrr.2025.105442;High-resolution flood susceptibility mapping and exposure assessment in Pakistan: An integrated artificial intelligence, machine learning and geospatial framework;International Journal of Disaster Risk Reduction;2025;True;cites;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_18513602;partial;"2 fichier(s) au format donnee reelle detecte(s) | erreurs telechargement: Waleed and Sajjad - 2025 - High-resolution flood susceptibility mapping and exposure assessment in Pakistan An integrated arti.pdf: [Errno 2] No such file or directory: ""C:\\Users\\jdoliveira\\SynologyDrive\\johnny D'OLIVEIRA\\Travaux stages\\llm-wiki-karpathy\\data\\raw\\papers\\DatasetFirst_10_5281_zenodo_18513602\\Waleed and Sajjad - 2025 - High-resolution flood susceptibility mapping and exposure assessment in Pakistan";raw_data_partial_download_pending_loader;some files failed to download (see verification_notes) -- inspect local_raw_dir, complete the download manually if needed, then write the loader;JournalFirst_2025_HighResolutionFloodSusceptibility_10_5281_zenodo_1
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.21263914;Reproduction package for lake-aware validation of multi-sensor satellite water-quality retrieval across Chinese inland lakes;zenodo;6;7;;[dataset-first, publication non resolue] Reproduction package for lake-aware validation of multi-sensor satellite water-quality retrieval across Chinese inland lakes;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_21263914;downloaded;3 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_2
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.16923676;Modelling the Spatially Varying Non-Linear Effects of Heat Exposure;zenodo;2;7;;[dataset-first, publication non resolue] Modelling the Spatially Varying Non-Linear Effects of Heat Exposure;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_16923676;downloaded;2 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_1
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.7569337;ENVIRONMENTAL INFLUENCES ON LARGE DAILY WILDFIRE GROWTH IN CALIFORNIA;zenodo;2;7;;[dataset-first, publication non resolue] ENVIRONMENTAL INFLUENCES ON LARGE DAILY WILDFIRE GROWTH IN CALIFORNIA;;;False;;dataset_first;"[""random_forest""]";no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_7569337;downloaded;2 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_7
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.7262062;Burn severity data from: The heterogeneity of burn severity affects bird density in an abandoned mountain landscape of the Atlantic-Mediterranean transition;zenodo;1;7;;[dataset-first, publication non resolue] Burn severity data from: The heterogeneity of burn severity affects bird density in an abandoned mountain landscape of the Atlantic-Mediterranean transition;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_7262062;downloaded;listing ambigu (formats non reconnus) - verification manuelle recommandee | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_7
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.48hq1;Data from: Spatially explicit summary statistics for historical population genetic inference;dryad;3;7;10.1111/2041-210x.12489;Spatially explicit summary statistics for historical population genetic inference;Methods in Ecology and Evolution;2015;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Spatially_explicit_summary_statistics_for_historical_population_genetic_inferenc_W1926750735.pdf;corpus\papers\tei\Spatially_explicit_summary_statistics_for_historical_population_genetic_inferenc_W1926750735.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_48hq1;downloaded;3 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2015_SpatiallyExplicitSummaryStatistics_10_5061_dryad_48
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.15316624;Data from: Minimal Tree Mortality Occurred in Southwestern USA Sky Islands During an Extended Drought;zenodo;2;7;;[dataset-first, publication non resolue] Data from: Minimal Tree Mortality Occurred in Southwestern USA Sky Islands During an Extended Drought;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_15316624;downloaded;listing ambigu (formats non reconnus) - verification manuelle recommandee | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_1
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.s23g7bc;Data from: Spatio-temporally explicit model averaging for forecasting of Alaskan groundfish catch;dryad;1;7;10.1002/ece3.4488;Spatiotemporally explicit model averaging for forecasting of Alaskan groundfish catch;Ecology and Evolution;2018;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Spatiotemporally_explicit_model_averaging_for_forecasting_of_Alaskan_groundfish__W2904556857.pdf;corpus\papers\tei\Spatiotemporally_explicit_model_averaging_for_forecasting_of_Alaskan_groundfish__W2904556857.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_s23g7bc;downloaded;1 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2018_SpatiotemporallyExplicitModelAveraging_10_5061_dryad_s2
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.nk0bj96;Data from: Amphibian functional diversity is related to high annual precipitation and low precipitation seasonality in the New World;dryad;3;7;10.1111/geb.12926;Amphibian functional diversity is related to high annual precipitation and low precipitation seasonality in the New World;Global Ecology and Biogeography;2019;True;primary_article;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Amphibian_functional_diversity_is_related_to_high_annual_precipitation_and_low_p_W2943359851.pdf;corpus\papers\tei\Amphibian_functional_diversity_is_related_to_high_annual_precipitation_and_low_p_W2943359851.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_nk0bj96;downloaded;1 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2019_AmphibianFunctionalDiversityIs_10_5061_dryad_nk
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.4f4qrfjmz;Data from: Forecasting animal distribution through individual habitat selection: Insights for population inference and transferable predictions;dryad;5;7;10.5281/zenodo.11642182;Data from: Forecasting animal distribution through individual habitat selection: Insights for population inference and transferable predictions;Zenodo (CERN European Organization for Nuclear Research);2024;True;software;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_4f4qrfjmz;downloaded;4 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2024_DataFromForecastingAnimal_10_5061_dryad_4f
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.3243926;Keyword frequencies in popular tech media (01.2016-04.2019);zenodo;1;7;;[dataset-first, publication non resolue] Keyword frequencies in popular tech media (01.2016-04.2019);;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_3243926;downloaded;1 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_3
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.j3t86;Data from: Spatio-temporal models reveal subtle changes to demersal communities following the Exxon Valdez oil spill;dryad;1;6;10.1093/icesjms/fsx079;Spatio-temporal models reveal subtle changes to demersal communities following the Exxon Valdez oil spill;ICES Journal of Marine Science;2017;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Spatio_temporal_models_reveal_subtle_changes_to_demersal_communities_following_t_W2618167169.pdf;corpus\papers\tei\Spatio_temporal_models_reveal_subtle_changes_to_demersal_communities_following_t_W2618167169.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_j3t86;downloaded;1 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2017_SpatioTemporalModelsReveal_10_5061_dryad_j3
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.m5g04;Data from: A national-scale model of linear features improves predictions of farmland biodiversity;dryad;2;6;10.1111/1365-2664.12912;A national‐scale model of linear features improves predictions of farmland biodiversity;Journal of Applied Ecology;2017;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_m5g04;partial;"2 fichier(s) au format donnee reelle detecte(s) | erreurs telechargement: Species abundance data from Sullivan et al A national-scale model of linear-features improves predictions of farmland biodiversity.csv: [Errno 2] No such file or directory: ""C:\\Users\\jdoliveira\\SynologyDrive\\johnny D'OLIVEIRA\\Travaux stages\\llm-wiki-karpathy\\data\\raw\\papers\\DatasetFirst_10_5061_dryad_m5g04\\Species abundance data from Sullivan et al A national-scale model of linear-features improves predictions o";raw_data_partial_download_pending_loader;some files failed to download (see verification_notes) -- inspect local_raw_dir, complete the download manually if needed, then write the loader;JournalFirst_2017_ANationalScaleModel_10_5061_dryad_m5
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.292dd;Data from: Comparing cal3 and other a posteriori time-scaling approaches in a case study with the pterocephaliid trilobites;dryad;11;6;10.1017/pab.2016.34;Comparing cal3 and other a posteriori time-scaling approaches in a case study with the pterocephaliid trilobites;Paleobiology;2016;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Comparing_i_cal3_i_and_other_a_posteriori_time_scaling_approaches_in_a_case_stud_W2560059612.pdf;corpus\papers\tei\Comparing_i_cal3_i_and_other_a_posteriori_time_scaling_approaches_in_a_case_stud_W2560059612.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_292dd;downloaded;7 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2016_ComparingCal3AndOther_10_5061_dryad_29
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.11212264;Shasta County Arrest Disposition Data 2022;zenodo;2;6;;[dataset-first, publication non resolue] Shasta County Arrest Disposition Data 2022;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_11212264;downloaded;1 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_1
