metadata_schema;dataset_doi;dataset_title;dataset_repo;dataset_n_files;dataset_literature_score;publication_doi;publication_title;publication_venue;publication_year;publication_resolved;linked_publication_relationship;discovery_source;estimators_from_metadata;formula_status;formula_pub;formula_completeness;local_pdf;local_tei;local_raw_dir;download_status;verification_notes;ingestion_status;ingestion_next_step;bib_key
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.3ffbg79n1;Open-population SCR model to estimate spatiotemporal variation in individual birth locations, detection rates, and survival;dryad;7;4;;[dataset-first, publication non resolue] Open-population SCR model to estimate spatiotemporal variation in individual birth locations, detection rates, and survival;;;False;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_3ffbg79n1;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 7 | publication liee non resolue via OpenAlex: 10.1002/ecs2.4497digital;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5061_dryad_3f
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.3j9kd51kw;Lagged effects of herbivory impact host-choice but not nymphal survivorship in an ant-protected treehopper;dryad;3;8;10.1002/ecs2.4067;Lagged effects of herbivory impact host‐choice but not nymphal survivorship in an ant‐protected treehopper;Ecosphere;2022;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_3j9kd51kw;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2022_LaggedEffectsOfHerbivory_10_5061_dryad_3j
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.3n5tb2rqt;R scripts, input and output data for: Season of death, pathogen persistence and wildlife behaviour alter number of anthrax secondary infections from environmental reservoirs;dryad;18;5;10.1098/rspb.2023.2568;Season of death, pathogen persistence and wildlife behaviour alter number of anthrax secondary infections from environmental reservoirs;Proceedings of the Royal Society B Biological Sciences;2024;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;17 fichier(s) au format donnee reelle detecte(s) | depot 9711234Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2024_SeasonOfDeathPathogen_10_5061_dryad_3n
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.4qrfj6q6b;Spatial proximity moderates genotype uncertainty in genetic tagging studies;dryad;1;4;10.1073/pnas.2000247117;Spatial proximity moderates genotype uncertainty in genetic tagging studies;Proceedings of the National Academy of Sciences;2020;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;1 fichier(s) au format donnee reelle detecte(s) | depot 3783603Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2020_SpatialProximityModeratesGenotype_10_5061_dryad_4q
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.5x69p8d1g;Data and code from: Vector demography, dispersal, and the spread of disease: Experimental epidemics under elevated resource supply;dryad;11;4;10.1111/1365-2435.13672;Vector demography, dispersal and the spread of disease: Experimental epidemics under elevated resource supply;Functional Ecology;2020;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_5x69p8d1g;downloaded;6 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 11;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2020_VectorDemographyDispersalAnd_10_5061_dryad_5x
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.5x69p8djr;Leaf gas exchange measurement for steady-state stomatal conductance model calibration;dryad;20;7;10.17504/protocols.io.j8nlky52wg5r/v1;Protocol for leaf-level gas exchange measurement for stomatal conductance model calibration v1;;2025;True;article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_5x69p8djr;downloaded;19 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 20;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2025_ProtocolForLeafLevel_10_5061_dryad_5x
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.69p8cz94j;Detecting and reducing heterogeneity of error in acoustic classification: Data;dryad;12;7;10.5281/zenodo.6821891;Detecting and reducing heterogeneity of error in acoustic classification: Data;Zenodo (CERN European Organization for Nuclear Research);2022;True;supplemental_information;dataset_first;"[""random_forest""]";pending_grobid_kg;;;;;;verified_pending_download;3 fichier(s) au format donnee reelle detecte(s) | depot 2091469Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2022_DetectingAndReducingHeterogeneity_10_5061_dryad_69
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.6m905qgc7;Data for: A temporal–spatial framework for efficient heat flux monitoring of transient boiling;dryad;2;7;10.1109/tim.2024.3460944;A Temporal–Spatial Framework for Efficient Heat Flux Monitoring of Transient Boiling;IEEE Transactions on Instrumentation and Measurement;2024;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;1 fichier(s) au format donnee reelle detecte(s) | depot 4401843Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2024_ATemporalSpatialFramework_10_5061_dryad_6m
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.7344f3r;Data from: Increased population size of fish in a lowland river following restoration of structural habitat;dryad;1;5;10.1002/eap.1882;Increased population size of fish in a lowland river following restoration of structural habitat;Ecological Applications;2019;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_7344f3r;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2019_IncreasedPopulationSizeOf_10_5061_dryad_73
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.79cnp5hx3;Positional errors in species distribution modelling are not overcome by the coarser grains of analysis;dryad;2;5;10.5281/zenodo.5847066;Positional errors in species distribution modelling are not overcome by the coarser grains of analysis;Zenodo (CERN European Organization for Nuclear Research);2022;True;software;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_79cnp5hx3;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2022_PositionalErrorsInSpecies_10_5061_dryad_79
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.8931zcrm8;Data from: Climate limitation at the cold edge – contrasting perspectives from species distribution modelling and a transplant experiment;dryad;3;4;10.1111/ecog.04490;Climate limitation at the cold edge: contrasting perspectives from species distribution modelling and a transplant experiment;Ecography;2020;True;primary_article;dataset_first;"[""SDM""]";pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_8931zcrm8;downloaded;3 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2020_ClimateLimitationAtThe_10_5061_dryad_89
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.8cq43;Data from: The effects of spatial scale and isoscape on consumer isotopic niche width;dryad;5;4;10.1111/1365-2435.13026;The effects of spatial scale and isoscape on consumer isotopic niche width;Functional Ecology;2017;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_8cq43;downloaded;3 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 5;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2017_TheEffectsOfSpatial_10_5061_dryad_8c
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.8cz8w9gmz;Data from: Projected impacts of warming seas on commercially fished species at a biogeographic boundary of the European continental shelf;dryad;20;4;10.1111/1365-2664.13724;Projected impacts of warming seas on commercially fished species at a biogeographic boundary of the European continental shelf;Journal of Applied Ecology;2020;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_8cz8w9gmz;downloaded;19 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 20;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2020_ProjectedImpactsOfWarming_10_5061_dryad_8c
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.8cz8w9gnp;Avian point-counts from Rhode Island and Connecticut used to test species distribution models;dryad;2;8;10.1111/2041-210x.13525;Spatial thinning and class balancing: Key choices lead to variation in the performance of species distribution models with citizen science data;Methods in Ecology and Evolution;2020;True;primary_article;dataset_first;"[""SDM"", ""random_forest""]";pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_8cz8w9gnp;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2020_SpatialThinningAndClass_10_5061_dryad_8c
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.8gtht76rp;How does the selection of National Development Zones affect urban green innovation?;dryad;2;4;10.1371/journal.pone.0268111;How does the selection of national development zones affect urban green innovation?-Evidence from China;PLoS ONE;2022;True;primary_article;dataset_first;"[""SDM""]";pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_8gtht76rp;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2022_HowDoesTheSelection_10_5061_dryad_8g
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.8pk0p2np4;Data from: Influence of different data cleaning solutions of point-occurrence records on downstream macroecological diversity models;dryad;2;4;10.22541/au.163420130.04455423/v1;Influence of different data cleaning solutions of point-occurrence records on downstream macroecological diversity models;;2021;True;preprint;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_8pk0p2np4;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2021_InfluenceOfDifferentData_10_5061_dryad_8p
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.99pj691;Data from: Spatial processes and evolutionary models: a critical review;dryad;2;4;10.1111/pala.12410;Spatial processes and evolutionary models: a critical review;Palaeontology;2018;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_99pj691;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2018_SpatialProcessesAndEvolutionary_10_5061_dryad_99
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.9v46k;Data from: Can collective memories shape fish distributions? A test, linking space-time occurrence models and population demographics;dryad;4;6;10.1111/ecog.03098;Can collective memories shape fish distributions? A test, linking space‐time occurrence models and population demographics;Ecography;2017;True;primary_article;dataset_first;"[""INLA""]";pending_grobid_kg;;;;;;verified_pending_download;2 fichier(s) au format donnee reelle detecte(s) | depot 926223Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2017_CanCollectiveMemoriesShape_10_5061_dryad_9v
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.bk3j9kdk5;Improved estimation of global gross primary productivity during 1981–2020 using the optimized P model;dryad;20;6;10.1016/j.scitotenv.2022.156172;Improved estimation of global gross primary productivity during 1981–2020 using the optimized P model;The Science of The Total Environment;2022;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;20 fichier(s) au format donnee reelle detecte(s) | depot 511438Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2022_ImprovedEstimationOfGlobal_10_5061_dryad_bk
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.bnzs7h4ch;Data from: Evaluating temporal and spatial transferability of a tidal inundation model for foraging waterbirds;dryad;7;4;10.5281/zenodo.6327693;Code from: Evaluating temporal and spatial transferability of a tidal inundation model for foraging waterbirds;Zenodo (CERN European Organization for Nuclear Research);2022;True;software;dataset_first;"[""SEM""]";pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_bnzs7h4ch;downloaded;4 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 7;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2022_CodeFromEvaluatingTemporal_10_5061_dryad_bn
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.c2fqz61cv;Data for: A new paradigm for medium-range severe weather forecasts: Probabilistic random forest-based predictions;dryad;6;8;10.1175/waf-d-22-0143.1;A New Paradigm for Medium-Range Severe Weather Forecasts: Probabilistic Random Forest–Based Predictions;Weather and Forecasting;2022;True;primary_article;dataset_first;"[""random_forest""]";pending_grobid_kg;;;;;;verified_pending_download;5 fichier(s) au format donnee reelle detecte(s) | depot 819005Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2022_ANewParadigmFor_10_5061_dryad_c2
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.cb8gd26;Data from: Rates of niche and phenotype evolution lag behind diversification in a temperate radiation;dryad;20;4;10.1073/pnas.1817999116;Rates of niche and phenotype evolution lag behind diversification in a temperate radiation;Proceedings of the National Academy of Sciences;2019;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;13 fichier(s) au format donnee reelle detecte(s) | depot 3606458Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2019_RatesOfNicheAnd_10_5061_dryad_cb
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.cn921;Data from: Improving spatial predictions of taxonomic, functional and phylogenetic diversity;dryad;1;4;10.1111/1365-2745.12801;Improving spatial predictions of taxonomic, functional and phylogenetic diversity;Journal of Ecology;2017;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_cn921;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2017_ImprovingSpatialPredictionsOf_10_5061_dryad_cn
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.cnp5hqcm6;Data and code from: Water availability has stronger effects on West Nile virus dynamics in water-limited regions;dryad;6;6;10.64898/2026.05.29.728787;Water availability has stronger effects on West Nile virus dynamics in water-limited regions;bioRxiv (Cold Spring Harbor Laboratory);2026;True;preprint;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_cnp5hqcm6;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 6;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2026_WaterAvailabilityHasStronger_10_5061_dryad_cn
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.d7wm37px9;Spatial sampling bias and model complexity in stream-based species distribution models: a case study of Paddlefish (Polyodon spathula) in the Arkansas River basin, U.S.A.;dryad;1;6;10.1002/ece3.5913;Spatial sampling bias and model complexity in stream‐based species distribution models: A case study of Paddlefish (Polyodon spathula) in the Arkansas River basin, USA;Ecology and Evolution;2019;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_d7wm37px9;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2019_SpatialSamplingBiasAnd_10_5061_dryad_d7
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.db428;Data from: Quantifying demographic uncertainty: Bayesian methods for integral projection models (IPMs);dryad;1;8;10.1890/15-1526.1;Quantifying demographic uncertainty: Bayesian methods for integral projection models;Ecological Monographs;2015;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_db428;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2015_QuantifyingDemographicUncertaintyBayesian_10_5061_dryad_db
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.h38p3b6;Data from: Opportunistic records reveal Mediterranean reptiles’ scale‐dependent responses to anthropogenic land use;dryad;2;4;10.1111/ecog.04122;Opportunistic records reveal Mediterranean reptiles’ scale‐dependent responses to anthropogenic land use;Ecography;2018;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_h38p3b6;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2018_OpportunisticRecordsRevealMediterranean_10_5061_dryad_h3
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.jwstqjqjw;From lagging to leading: Increased phenological asynchrony in a Batesian mimicry complex;dryad;2;4;10.1002/ecy.70432;From lagging to leading: Increased phenological asynchrony in a Batesian mimicry complex;Ecology;2026;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_jwstqjqjw;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2026_FromLaggingToLeading_10_5061_dryad_jw
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.k0p2ngfcc;CODEX multiplexed imaging of immunotherapy in human and mouse melanomas;dryad;5;4;10.1016/j.celrep.2023.113494;T cell-mediated curation and restructuring of tumor tissue coordinates an effective immune response;Cell Reports;2023;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;4 fichier(s) au format donnee reelle detecte(s) | depot 6124482Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2023_TCellMediatedCuration_10_5061_dryad_k0
