source_language,package,dataset,modalite_spatiale,reponse,n_papiers_kg,type_preuve_kg,doi_kg,titre_kg
Python,geodatasets,lasrosas,polygone,YIELD,1,doi,10.1111/j.0002-9092.2004.00610.x,Nitrogen management in corn with a spatial regression model. Proceedings of the Fifth International Conference on Precision Agriculture. Ans
Python,geodatasets,milwaukee1,polygone,TOT_POP,0,,,
Python,geodatasets,milwaukee2,polygone,POP2001,0,,,
Python,geodatasets,ndvi,polygone,TEMP,0,,,
Python,geodatasets,nepal,polygone,population,0,,,
Python,geodatasets,nyc,polygone,rent2002,3,doi,10.1016/j.compenvurbsys.2022.101845,Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost doi:10.1016/j.compe
Python,geodatasets,nyc_education,polygone,pop1619,0,,,
Python,geodatasets,nyc_neighborhoods,polygone,popunemplo,2,doi,10.1016/j.compenvurbsys.2022.101845,Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost doi:10.1016/j.compe
Python,geodatasets,orlando1,polygone,TOT_POP,0,,,
Python,geodatasets,orlando2,polygone,POP2001,0,,,
Python,geodatasets,phoenix_acs,polygone,pop_dens,0,,,
Python,geodatasets,police,polygone,POP,0,,,
Python,geodatasets,sacramento1,polygone,TOT_POP,0,,,
Python,geodatasets,sacramento2,polygone,POP2001,0,,,
Python,geodatasets,savannah1,polygone,TOT_POP,0,,,
Python,geodatasets,savannah2,polygone,POP2001,0,,,
Python,geodatasets,seattle1,polygone,TOT_POP,0,,,
Python,geodatasets,seattle2,polygone,POP2001,0,,,
Python,geodatasets,tampa1,polygone,TOT_POP,0,,,
Python,geodatasets,us_sdoh,polygone,rent_1,0,,,
Python,geodatasets,cities,point,pop_max,1,catalog,,"Visions and Re-visions of Charles Joseph Minard, _Journal of Educational and Behavioral Statistics_, *27*, No. 1, 31-51. Friendly, M. (2003)"
Python,geodatasets,boston,polygone,POP,2,catalog,,"Hedonic prices and the demand for clean air. _J. Environ. Economics and Management_ *5*, 81-102. Belsley D.A., Kuh, E. and Welsch, R.E. (198"
Python,geodatasets,columbus,polygone,CRIME,5,doi,10.1007/s13253-023-00571-0,Spatial Statistics for Data Science doi:10.1007/s13253-023-00571-0
Python,geodatasets,eire,polygone,POPCHG,1,catalog,,", - Bailey and Gatrell 1995, ch. 1 for blood group data, Cliff and Ord (1973), p. 107 for remaining variables (also after O'Sullivan, 1968)."
Python,geodatasets,nydata,polygone,POP8,1,catalog,,_Applied Spatial Statistics for Public Health Data_
Python,geodatasets,wheat,polygone,yield,16,doi,10.3733/hilg.v27n05p183,"Implications of a uniformity trial with small plots of wheat. Hilgardia, 27, 183-188. https://hilgardia.ucanr.edu/Abstract/?a=hilg.v27n05p18"
Python,libpysal,Baltimore,point,PRICE,2,doi,10.1016/0166-0462(92)90038-j,Spatial autocorrelation and neighborhood quality doi:10.1016/0166-0462(92)90038-J
Python,libpysal,Elections,polygone,POP010210,0,,,
Python,libpysal,Milwaukee2,polygone,POP2001,0,,,
Python,libpysal,NYC Socio-Demographics,polygone,UNEMP_RATE,1,doi,10.1016/j.compenvurbsys.2022.101845,Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost doi:10.1016/j.compe
Python,libpysal,Ohiolung,polygone,POPMW68,0,,,
Python,libpysal,Orlando2,polygone,POP2001,0,,,
Python,libpysal,Sacramento2,polygone,POP2001,0,,,
Python,libpysal,Savannah2,polygone,POP2001,0,,,
Python,libpysal,Seattle2,polygone,POP2001,0,,,
Python,libpysal,Snow,point,deaths_r,6,catalog,,"_Cartographies of Disease: Maps, Mapping, and Medicine_. ESRI Press. ISBN: 9781589481206. Koch, T. (2004). The Map as Intent: Variations on "
Python,libpysal,baltim,point,PRICE,3,doi,10.1016/0166-0462(92)90038-j,Spatial autocorrelation and neighborhood quality doi:10.1016/0166-0462(92)90038-J
Python,libpysal,chicagoSDOH,polygone,Pop2014,0,,,
Python,libpysal,georgia,polygone,TotPop90,4,catalog,,", Geographically Weighted Regression: The Analysis of Spatially Varying Relationships, Chichester: Wiley."
Python,xarray,ASE_ice_velocity,raster,,0,,,
Python,xarray,air_temperature_gradient,raster,,0,,,
Python,xarray,example_1,raster,,0,,,
