jeux,papier_ou_livre,annee,doi_ou_lien,type_preuve,telechargeable,note
ade4::avijons,"Thioulouse, Chessel & Champely — Multivariate analysis of spatial patterns (Env. Ecol. Stat. 2:1-14)",1995,(Env. Ecol. Stat. 2:1-14),analyse multivariee spatiale,oui,
ade4::ggtortoises,"Ciofi, Milinkovitch, Gibbs, Caccone & Powell — Microsatellite analysis of genetic divergence among Galapagos tortoises (Molecular Ecology 11:2265-2283)",2002,(Mol. Ecol. 11:2265-2283),genetique des populations spatiale,oui,
ade4::tintoodiel,"Borrego, Morales, de la Torre & Grande — Geochemical characteristics of heavy metal pollution, Tinto-Odiel estuary (Environmental Geology 41:785-796)",2002,(Environmental Geology 41:785-796),geochimie spatiale,oui,
ade4::doubs,"Chessel, Lebreton & Yoccoz — Proprietes de l'analyse canonique des correspondances (Rev. Stat. Appl. 35(4):55-72) ; Verneaux 1973 (these)",1987,(Rev. Stat. Appl.),ordination/CCA spatiale,partiel,
ade4::butterfly / zealand,Manly — Multivariate Statistical Methods. A primer (Chapman & Hall) ; McKechnie et al. 1975 (Genetics 81:571-594) pour butterfly,1994,ISBN (livre),methodes multivariees,manuel,
ade4::westafrica,Hugueny & Leveque — Freshwater fish zoogeography in West Africa (Env. Biol. Fishes 39:365-380),1994,(Env. Biol. Fishes 39:365-380),zoogeographie spatiale,oui,
ade4::buech,"Vespini, Legier & Champeau — Ecologie d'une riviere non amenagee : Le Buech (Annales de Limnologie 23:151-164)",1987,(Ann. Limnol. 23:151-164),ecologie,partiel,
ade4::atlas / atya / kcponds / sarcelles / t3012 / jv73,References de source citees dans les fiches Rd (Lebreton 1977 ; Fievet et al. 2001 ; Cottenie 2002 ; Lebreton 1973 ; Besse 1979 ; Verneaux 1973),0,voir fiches Rd,source des donnees (pas tjrs modelisation),theses/rapports (difficile),"Surtout des sources, peu de DOI."
ade4::elec88 / macon,(donnees publiques / foire des vins),,,aucun papier,n/a,Pas de papier de modelisation attendu.
dismo::acaule,Donnees d'occurrence GBIF (Solanum acaule),,https://www.gbif.org,source de donnees,n/a,Provenance GBIF ; modelisation de niche a sourcer si besoin.
"Python geodatasets + libpysal : us_sdoh, chicagoSDOH","Kolak, Bhatt, Park, Padron & Molefe — Quantification of Neighborhood-Level Social Determinants of Health in the Continental US (JAMA Network Open 3(1):e1919928)",2020,10.1001/jamanetworkopen.2019.19928,construction + analyse spatiale SDOH,oui (PMC libre),Couvre us_sdoh et Chi-SDOH.
Python geodatasets::guerry (+ R sfdep::guerry_nb),Dray & Jombart — A revisit of Guerry's data: introducing spatial constraints in multivariate analysis (Annals of Applied Statistics 5(4):2278-2299),2011,10.1214/10-AOAS356,analyse multivariee spatiale,oui,Deja dans le KG cote R guerry ; a relier au jeu Python.
Python (homicide) natregimes/ncovr si retenus,"Baller, Anselin, Messner, Deane & Hawkins — Structural Covariates of US County Homicide Rates: Incorporating Spatial Effects (Criminology 39(3):561-590)",2001,10.1111/j.1745-9125.2001.tb00933.x,econometrie spatiale (lag/error),oui,Reference des donnees homicides GeoDa.
"Python geodatasets/libpysal : airbnb, charleston1/2, chicago_commpop, chicago_health, chile_labor, cincinnati, health_indicators, hickory1/2, lansing1/2, milwaukee1/2, ndvi, nepal, nyc_education, orlando1/2, phoenix_acs, police, sacramento1/2, savannah1/2, seattle1/2, tampa1, Elections, Ohiolung, Milwaukee2, Orlando2, Sacramento2, Savannah2, Seattle2","Donnees d'exemple GeoDa Center / PySAL — depot commun + manuel : Anselin & Rey, Modern Spatial Econometrics in Practice (GeoDa Press, 2014)",2014,https://geodacenter.github.io/data-and-lab/  +  https://github.com/lanselin/spreg_sample_data,jeux pedagogiques d'econometrie spatiale,oui (pages GeoDa avec citation par jeu),Pas de papier individuel pour la plupart : chaque page GeoDa indique sa source ; le manuel Anselin&Rey couvre l'ensemble.
"Python xarray : ASE_ice_velocity, air_temperature_gradient, example_1","(jeux tutoriels xarray, rasters)",,,hors perimetre modelisation,n/a,"A exclure : donnees de demonstration, rejetees a la conversion sf."
