"variant","distance_lower_fraction","distance_upper_fraction","n_pairs","draws","expected_semivariance","observed_semivariance","mcse_semivariance","gap_over_mcse","required_draws_for_5pct_relative_mcse","dataset","generator","pi_s","range_fraction"
"innovation",0.05,0.15,639,1000,2.55204884935971,2.54753544199593,0.0129992784639201,-0.347204452639653,11,"georgia","polynomial",0.2,0.1
"innovation",0.15,0.35,2062,1000,2.67426908776732,2.66531670742523,0.0134800215529526,-0.66412210892417,11,"georgia","polynomial",0.2,0.1
"innovation",0.35,1.000001,2816,1000,2.67752190446948,2.65441952196026,0.0132018830697479,-1.74993085358885,10,"georgia","polynomial",0.2,0.1
"trend",0,0.05,48,1000,1.4572038377432,1.45192613897467,0.0109522529128301,-0.481882477562703,23,"georgia","polynomial",0.2,0.1
"trend",0.05,0.15,639,1000,1.88777055200176,1.88491174130095,0.0097542544382355,-0.293083466184981,11,"georgia","polynomial",0.2,0.1
"trend",0.15,0.35,2062,1000,2.00999079040937,2.00332011268675,0.0104418716430749,-0.638839276198281,11,"georgia","polynomial",0.2,0.1
"trend",0.35,1.000001,2816,1000,2.01324360711153,1.99499298013133,0.0101781205177509,-1.79312348958465,11,"georgia","polynomial",0.2,0.1
"innovation",0,0.05,48,1000,1.42984700869635,1.41961414473374,0.0101618250476033,-1.00699076343883,21,"georgia","polynomial",0.2,0.3
"innovation",0.05,0.15,639,1000,2.04906807251064,2.05567074833151,0.0106042824593806,0.622642394350225,11,"georgia","polynomial",0.2,0.3
"innovation",0.15,0.35,2062,1000,2.64515933964994,2.64628733996744,0.0177025396550375,0.0637196887837347,18,"georgia","polynomial",0.2,0.3
"innovation",0.35,1.000001,2816,1000,2.82476178482887,2.83386200868412,0.0210158324003281,0.43301753087391,23,"georgia","polynomial",0.2,0.3
"trend",0,0.05,48,1000,0.765568711338403,0.760396434709332,0.00530204631998182,-0.975524602563011,20,"georgia","polynomial",0.2,0.3
"trend",0.05,0.15,639,1000,1.38478977515269,1.389304312948,0.00783350324094846,0.576311473481212,13,"georgia","polynomial",0.2,0.3
"trend",0.15,0.35,2062,1000,1.98088104229198,1.98245416574351,0.0156411705098302,0.100575813717702,25,"georgia","polynomial",0.2,0.3
"trend",0.35,1.000001,2816,1000,2.16048348747092,2.16861588344568,0.01923226343502,0.422851735691048,32,"georgia","polynomial",0.2,0.3
"innovation",0,0.05,48,1000,2.48214316551438,2.49176491750301,0.0191019655548826,0.503704813046277,24,"georgia","forest",0.1,0.1
"innovation",0.05,0.15,639,1000,2.67849683847061,2.69917714274247,0.0127948821437547,1.61629501854844,10,"georgia","forest",0.1,0.1
"innovation",0.15,0.35,2062,1000,2.73423359639033,2.74736994550692,0.0124949087826529,1.05133613578902,9,"georgia","forest",0.1,0.1
"innovation",0.35,1.000001,2816,1000,2.73571699602568,2.75078420684472,0.0125580818401272,1.19980192921636,9,"georgia","forest",0.1,0.1
"trend",0,0.05,48,1000,0.664536566138205,0.668639428617036,0.00493100251815524,0.832054427821576,23,"georgia","forest",0.1,0.1
"trend",0.05,0.15,639,1000,0.860890239094438,0.867640557778195,0.00425421501748596,1.58673660264262,10,"georgia","forest",0.1,0.1
"trend",0.15,0.35,2062,1000,0.916626997014161,0.919955707908124,0.00447004299148137,0.744670890259132,10,"georgia","forest",0.1,0.1
"trend",0.35,1.000001,2816,1000,0.918110396649509,0.921971986513867,0.00446522454175273,0.86481426146666,10,"georgia","forest",0.1,0.1
"innovation",0,0.05,48,1000,2.16673304922383,2.16540482469139,0.0162845487014215,-0.0815634843060655,23,"georgia","forest",0.1,0.3
"innovation",0.05,0.15,639,1000,2.44911978796924,2.45190501135122,0.0117964461613738,0.236106988823029,10,"georgia","forest",0.1,0.3
"innovation",0.15,0.35,2062,1000,2.72095852014223,2.72852904380617,0.0139987726891817,0.540799099466003,11,"georgia","forest",0.1,0.3
"innovation",0.35,1.000001,2816,1000,2.80286359690491,2.80684977355803,0.0151983612931719,0.262276739987322,12,"georgia","forest",0.1,0.3
"trend",0,0.05,48,1000,0.349126449847664,0.348968185818371,0.00245705320512338,-0.0644121295229774,20,"georgia","forest",0.1,0.3
"trend",0.05,0.15,639,1000,0.631513188593071,0.631892058201982,0.00352471853076402,0.107489323077718,13,"georgia","forest",0.1,0.3
"trend",0.15,0.35,2062,1000,0.903351920766056,0.905154373406269,0.00697264265606978,0.258503515685533,24,"georgia","forest",0.1,0.3
"trend",0.35,1.000001,2816,1000,0.985256997528739,0.98961135925668,0.00889218567593908,0.489684076179735,33,"georgia","forest",0.1,0.3
"innovation",0,0.05,48,1000,2.17680974857703,2.17792234461417,0.0167929783266636,0.0662536457502711,24,"georgia","forest",0.2,0.1
"innovation",0.05,0.15,639,1000,2.61860551272855,2.62237516928876,0.0126980157784349,0.296869733506756,10,"georgia","forest",0.2,0.1
"innovation",0.15,0.35,2062,1000,2.74401321804793,2.75516956406161,0.0133693911838388,0.834469263430163,10,"georgia","forest",0.2,0.1
"innovation",0.35,1.000001,2816,1000,2.74735086722746,2.76966903286499,0.0130781766340481,1.70651966723144,10,"georgia","forest",0.2,0.1
"trend",0,0.05,48,1000,1.49520727381096,1.49452450908918,0.0113872937236842,-0.059958471112267,24,"georgia","forest",0.2,0.1
"trend",0.05,0.15,639,1000,1.93700303796248,1.94047208147166,0.0095622377777216,0.36278574009744,10,"georgia","forest",0.2,0.1
"trend",0.15,0.35,2062,1000,2.06241074328186,2.0721374220634,0.0104336887759622,0.932237772315772,11,"georgia","forest",0.2,0.1
"trend",0.35,1.000001,2816,1000,2.06574839246139,2.0841458855875,0.0101339280955221,1.81543553029881,10,"georgia","forest",0.2,0.1
"innovation",0,0.05,48,1000,1.46713698692331,1.45560440087493,0.0105178393708185,-1.09647862472301,21,"georgia","forest",0.2,0.3
"innovation",0.05,0.15,639,1000,2.10250714910047,2.1029723711042,0.0111987412663747,0.0415423477211271,12,"georgia","forest",0.2,0.3
"innovation",0.15,0.35,2062,1000,2.71414429648969,2.71524794966764,0.0188602018408265,0.0585175698150956,20,"georgia","forest",0.2,0.3
"innovation",0.35,1.000001,2816,1000,2.89843071920573,2.91122519369251,0.0228256620461403,0.560530268998313,25,"georgia","forest",0.2,0.3
"trend",0,0.05,48,1000,0.785534512157243,0.778590362906324,0.0055240989018651,-1.25706461348374,20,"georgia","forest",0.2,0.3
"trend",0.05,0.15,639,1000,1.42090467433441,1.4210045410018,0.0083956750176626,0.0118950134661059,14,"georgia","forest",0.2,0.3
"trend",0.15,0.35,2062,1000,2.03254182172362,2.03645584846038,0.016650279931495,0.235072728678464,27,"georgia","forest",0.2,0.3
"trend",0.35,1.000001,2816,1000,2.21682824443966,2.23381030042681,0.0209594193623398,0.810235040082273,36,"georgia","forest",0.2,0.3
"innovation",0,0.05,169,1000,0.154866148665086,0.153299793172381,0.000869441239412294,-1.80156567425351,13,"meuse","polynomial",0.1,0.1
"innovation",0.05,0.15,901,1000,0.173013208178673,0.171378507444954,0.000867378254590391,-1.88464574142571,11,"meuse","polynomial",0.1,0.1
"innovation",0.15,0.35,1878,1000,0.176908576883787,0.17499344354911,0.00087604451868791,-2.18611416865617,10,"meuse","polynomial",0.1,0.1
"innovation",0.35,1.000001,2203,1000,0.177031939188387,0.175587504457154,0.000862927052802443,-1.67387814131193,10,"meuse","polynomial",0.1,0.1
"trend",0,0.05,169,1000,0.0378282985242525,0.0373154555107223,0.000210371251598823,-2.43779988773486,13,"meuse","polynomial",0.1,0.1
"trend",0.05,0.15,901,1000,0.0559753580378393,0.0555908359667299,0.000334370670163451,-1.14998744035008,15,"meuse","polynomial",0.1,0.1
"trend",0.15,0.35,1878,1000,0.0598707267429532,0.0592740713861362,0.000366296263249712,-1.62888736981253,15,"meuse","polynomial",0.1,0.1
"trend",0.35,1.000001,2203,1000,0.0599940890475531,0.0595678265765729,0.000370292123382641,-1.15115187189568,16,"meuse","polynomial",0.1,0.1
"innovation",0,0.05,169,1000,0.13650142554739,0.137199301758733,0.000774093575161115,0.901539857371515,13,"meuse","polynomial",0.1,0.3
"innovation",0.05,0.15,901,1000,0.159039480250346,0.158952298128348,0.00077520236961833,-0.112463693887829,10,"meuse","polynomial",0.1,0.3
"innovation",0.15,0.35,1878,1000,0.177433820445173,0.177276002856663,0.000993311245650103,-0.158880299806746,13,"meuse","polynomial",0.1,0.3
"innovation",0.35,1.000001,2203,1000,0.18370808973856,0.18396097198234,0.00121135924090095,0.20875908255984,18,"meuse","polynomial",0.1,0.3
"trend",0,0.05,169,1000,0.019463575406556,0.0195656218084207,0.000113399766875582,0.899881936941928,14,"meuse","polynomial",0.1,0.3
"trend",0.05,0.15,901,1000,0.0420016301095123,0.041933594537333,0.000302027025729759,-0.225263192970596,21,"meuse","polynomial",0.1,0.3
"trend",0.15,0.35,1878,1000,0.0603959703043393,0.0601058632098892,0.000602159582077874,-0.481777759724511,40,"meuse","polynomial",0.1,0.3
"trend",0.35,1.000001,2203,1000,0.0666702395977257,0.0660296434783579,0.000867616638436849,-0.738340058256486,68,"meuse","polynomial",0.1,0.3
"innovation",0,0.05,169,1000,0.129002865482381,0.128902861100483,0.000718095073808225,-0.139263428402606,13,"meuse","polynomial",0.2,0.1
"innovation",0.05,0.15,901,1000,0.169833749387951,0.169903899537426,0.000900035415863265,0.0779415434532285,12,"meuse","polynomial",0.2,0.1
"innovation",0.15,0.35,1878,1000,0.178598328974457,0.178614569368165,0.000995390021223803,0.016315608315874,13,"meuse","polynomial",0.2,0.1
"innovation",0.35,1.000001,2203,1000,0.178875894159807,0.179013676660559,0.00102666425526688,0.134204049712558,14,"meuse","polynomial",0.2,0.1
"trend",0,0.05,169,1000,0.0851136716795682,0.0851377701892496,0.000478891872702319,0.050321400414418,13,"meuse","polynomial",0.2,0.1
"trend",0.05,0.15,901,1000,0.125944555585138,0.126033544066413,0.000721283991290298,0.123375095453668,14,"meuse","polynomial",0.2,0.1
"trend",0.15,0.35,1878,1000,0.134709135171645,0.134819434777505,0.000823238579560337,0.13398255207986,15,"meuse","polynomial",0.2,0.1
"trend",0.35,1.000001,2203,1000,0.134986700356994,0.135182061146668,0.000859687730081734,0.227246223061725,17,"meuse","polynomial",0.2,0.1
"innovation",0,0.05,169,1000,0.0876822384675636,0.0874454524679014,0.000469579419936986,-0.504251229097627,12,"meuse","polynomial",0.2,0.3
"innovation",0.05,0.15,901,1000,0.138392861549215,0.138290841217956,0.000832585982963516,-0.122534288766197,15,"meuse","polynomial",0.2,0.3
"innovation",0.15,0.35,1878,1000,0.179780126987576,0.179495987514099,0.00154041515043825,-0.184456426175666,30,"meuse","polynomial",0.2,0.3
"innovation",0.35,1.000001,2203,1000,0.193897232897696,0.194092043048227,0.0020678719454903,0.0942080339917588,46,"meuse","polynomial",0.2,0.3
"trend",0,0.05,169,1000,0.0437930446647509,0.0434988333863166,0.000248389363306241,-1.18447615678129,13,"meuse","polynomial",0.2,0.3
"trend",0.05,0.15,901,1000,0.0945036677464026,0.0943427613402853,0.000679535622722034,-0.236788772710383,21,"meuse","polynomial",0.2,0.3
"trend",0.15,0.35,1878,1000,0.135890933184763,0.135704933743928,0.00142071934457212,-0.130919200576847,44,"meuse","polynomial",0.2,0.3
"trend",0.35,1.000001,2203,1000,0.150008039094883,0.150457676663892,0.0019421418583103,0.231516337020051,68,"meuse","polynomial",0.2,0.3
"innovation",0,0.05,169,1000,0.119171158328799,0.120136077361363,0.000675682975610416,1.42806473952063,13,"meuse","forest",0.1,0.1
"innovation",0.05,0.15,901,1000,0.133135514782014,0.133504967663451,0.000645261804875836,0.572562762346831,10,"meuse","forest",0.1,0.1
"innovation",0.15,0.35,1878,1000,0.136133042677604,0.136675072977415,0.000684352532713709,0.79203374562144,11,"meuse","forest",0.1,0.1
"innovation",0.35,1.000001,2203,1000,0.136227971290861,0.136849665781109,0.000684802778432014,0.907844579240395,11,"meuse","forest",0.1,0.1
"trend",0,0.05,169,1000,0.0291092804437972,0.0293562668037337,0.000166757202322527,1.48111359807333,14,"meuse","forest",0.1,0.1
"trend",0.05,0.15,901,1000,0.0430736368970118,0.0432149684324527,0.000250076754871254,0.5651526288945,14,"meuse","forest",0.1,0.1
"trend",0.15,0.35,1878,1000,0.0460711647926018,0.0462376584630414,0.000291185627728933,0.57177846220703,16,"meuse","forest",0.1,0.1
"trend",0.35,1.000001,2203,1000,0.0461660934058591,0.0462985155149549,0.000292100090403796,0.453344978129852,17,"meuse","forest",0.1,0.1
"innovation",0,0.05,169,1000,0.105039307403414,0.105342629587626,0.000588236425841796,0.515646721091569,13,"meuse","forest",0.1,0.3
"innovation",0.05,0.15,901,1000,0.122382581634619,0.122713264681806,0.000611591473121967,0.540692703741264,10,"meuse","forest",0.1,0.3
"innovation",0.15,0.35,1878,1000,0.136537223217733,0.137105429960553,0.00080206151262587,0.708432874382056,14,"meuse","forest",0.1,0.3
"innovation",0.35,1.000001,2203,1000,0.141365340568134,0.142777342802628,0.000951784541600745,1.48353138003259,19,"meuse","forest",0.1,0.3
"trend",0,0.05,169,1000,0.0149774295184117,0.015014657238755,8.73091500976529e-05,0.426389677388721,14,"meuse","forest",0.1,0.3
"trend",0.05,0.15,901,1000,0.0323207037496167,0.0325236567361478,0.00023406111733348,0.86709398315803,21,"meuse","forest",0.1,0.3
"trend",0.15,0.35,1878,1000,0.0464753453327306,0.0470000578892823,0.000511962257310854,1.02490476408917,49,"meuse","forest",0.1,0.3
"trend",0.35,1.000001,2203,1000,0.0513034626831315,0.052242584553915,0.000696107798520196,1.34910407954037,74,"meuse","forest",0.1,0.3
"innovation",0,0.05,169,1000,0.0992690852054194,0.0995208148471197,0.000555463468994164,0.453188473683275,13,"meuse","forest",0.2,0.1
"innovation",0.05,0.15,901,1000,0.130688887225152,0.131766198270084,0.000697220853186869,1.54515034943077,12,"meuse","forest",0.2,0.1
"innovation",0.15,0.35,1878,1000,0.13743332499023,0.138456219454241,0.000785969319703167,1.30144324767968,14,"meuse","forest",0.2,0.1
"innovation",0.35,1.000001,2203,1000,0.137646914370059,0.139222896214731,0.000837199866773004,1.88244397451594,15,"meuse","forest",0.2,0.1
"trend",0,0.05,169,1000,0.0654958809985436,0.0657005483888009,0.000370707236020572,0.552099798359186,13,"meuse","forest",0.2,0.1
"trend",0.05,0.15,901,1000,0.0969156830182766,0.0977985176571278,0.0005548573999715,1.59110185589396,14,"meuse","forest",0.2,0.1
"trend",0.15,0.35,1878,1000,0.103660120783354,0.104595701908246,0.000648445302870175,1.44280654166374,16,"meuse","forest",0.2,0.1
"trend",0.35,1.000001,2203,1000,0.103873710163183,0.105166540561322,0.000697641206827766,1.85314512028014,19,"meuse","forest",0.2,0.1
"innovation",0,0.05,169,1000,0.0674724206233022,0.0672252429985273,0.000374106677460232,-0.660714281960821,13,"meuse","forest",0.2,0.3
"innovation",0.05,0.15,901,1000,0.106494787643513,0.107171355455881,0.000633099293726919,1.06865987542819,15,"meuse","forest",0.2,0.3
"innovation",0.15,0.35,1878,1000,0.13834273120552,0.138191701537317,0.00115847533120795,-0.130369343337951,29,"meuse","forest",0.2,0.3
"innovation",0.35,1.000001,2203,1000,0.149205995243922,0.147682433743281,0.00164819948361158,-0.924379309537444,49,"meuse","forest",0.2,0.3
"trend",0,0.05,169,1000,0.0336992164164264,0.0337174718493931,0.000196853167567999,0.0927362927009696,14,"meuse","forest",0.2,0.3
"trend",0.05,0.15,901,1000,0.0727215834366376,0.0734564724871296,0.000526095094094848,1.39687493523651,21,"meuse","forest",0.2,0.3
"trend",0.15,0.35,1878,1000,0.104569526998644,0.10441980481632,0.00106868916414188,-0.140098905600779,42,"meuse","forest",0.2,0.3
"trend",0.35,1.000001,2203,1000,0.115432791037046,0.114001602460833,0.00158871699688016,-0.900845511833152,76,"meuse","forest",0.2,0.3
